locus_tag	ftype	length_bp	gene	EC_number	COG	product
DBBBBKPJ_00085	CDS	417	hrp1_2		COG0517	Hypoxic response protein 1
DBBBBKPJ_00086	CDS	1248				alcohol dehydrogenase
DBBBBKPJ_00087	CDS	939				hypothetical protein
DBBBBKPJ_00088	CDS	738				hypothetical protein
DBBBBKPJ_00089	CDS	1206				cardiolipin synthase 2
DBBBBKPJ_00090	CDS	996	ybhN		COG0392	Inner membrane protein YbhN
DBBBBKPJ_00091	CDS	2199	glgB	2.4.1.18		1,4-alpha-glucan branching protein GlgB
DBBBBKPJ_00092	CDS	3303				trehalose synthase
DBBBBKPJ_00093	CDS	1995				alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
DBBBBKPJ_00094	CDS	882				non-homologous end joining protein Ku
DBBBBKPJ_00095	CDS	243				hypothetical protein
DBBBBKPJ_00096	CDS	492				transporter
DBBBBKPJ_00097	CDS	135				hypothetical protein
DBBBBKPJ_00098	CDS	2130	katE	1.11.1.6		catalase HPII
DBBBBKPJ_00099	CDS	168				hypothetical protein
DBBBBKPJ_00100	CDS	165				hypothetical protein
DBBBBKPJ_00101	CDS	399				hypothetical protein
DBBBBKPJ_00102	CDS	2439	glgP			glycogen phosphorylase
DBBBBKPJ_00103	CDS	288				hypothetical protein
DBBBBKPJ_00104	CDS	189				hypothetical protein
DBBBBKPJ_00105	CDS	861				short-chain dehydrogenase
DBBBBKPJ_00106	CDS	519	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
DBBBBKPJ_00107	CDS	240				metallothionein
DBBBBKPJ_00108	CDS	216				hypothetical protein
DBBBBKPJ_00109	CDS	2523		6.5.1.1		multifunctional non-homologous end joining protein LigD
DBBBBKPJ_00110	CDS	390				hypothetical protein
DBBBBKPJ_00111	CDS	525				hypothetical protein
DBBBBKPJ_00112	CDS	450				hypothetical protein
DBBBBKPJ_00113	CDS	1365				transporter
DBBBBKPJ_00114	CDS	525				hypothetical protein
DBBBBKPJ_00115	CDS	858				sensor protein
DBBBBKPJ_00116	CDS	648	cupA5			chaperone CupA5
DBBBBKPJ_00117	CDS	1362	cupA4			fimbrial subunit CupA4
DBBBBKPJ_00118	CDS	2619	cupA3			usher CupA3
DBBBBKPJ_00119	CDS	747	cupA2			chaperone CupA2
DBBBBKPJ_00120	CDS	483	cupA1			fimbrial subunit CupA1
DBBBBKPJ_00121	CDS	1227				hypothetical protein
DBBBBKPJ_00122	CDS	636	ybdM		COG1475	putative protein YbdM
DBBBBKPJ_00123	CDS	1449				aldehyde dehydrogenase
DBBBBKPJ_00124	CDS	1638				dehydrogenase
DBBBBKPJ_00125	CDS	933				transcriptional regulator
DBBBBKPJ_00126	CDS	1128				hypothetical protein
DBBBBKPJ_00127	CDS	906				transcriptional regulator
DBBBBKPJ_00128	CDS	429				hypothetical protein
DBBBBKPJ_00129	CDS	1113				hypothetical protein
DBBBBKPJ_00130	CDS	243				hypothetical protein
DBBBBKPJ_00131	CDS	1077	ada			O6-methylguanine-DNA methyltransferase
DBBBBKPJ_00132	CDS	984				hypothetical protein
DBBBBKPJ_00133	CDS	798		4.2.1.-	COG4336	Putative hydro-lyase
DBBBBKPJ_00134	CDS	1047				transcriptional regulator
DBBBBKPJ_00135	CDS	1272				major facilitator superfamily transporter
DBBBBKPJ_00136	CDS	1230	opdO			pyroglutatmate porin OpdO
DBBBBKPJ_00137	CDS	744	pxpA3_1	3.5.2.9	COG1540	5-oxoprolinase subunit A 3
DBBBBKPJ_00138	CDS	714	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
DBBBBKPJ_00139	CDS	942	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
DBBBBKPJ_00140	CDS	477				hypothetical protein
DBBBBKPJ_00141	CDS	1773				thiamine pyrophosphate protein
DBBBBKPJ_00142	CDS	399				hypothetical protein
DBBBBKPJ_00143	CDS	759				short-chain dehydrogenase
DBBBBKPJ_00144	CDS	957				esterase
DBBBBKPJ_00145	CDS	1476				flavin-binding monooxygenase
DBBBBKPJ_00146	CDS	1035				transcriptional regulator
DBBBBKPJ_00147	CDS	846				hypothetical protein
DBBBBKPJ_00148	CDS	957				transmembrane sensor
DBBBBKPJ_00149	CDS	510				RNA polymerase sigma factor
DBBBBKPJ_00150	CDS	1197				major facilitator superfamily transporter
DBBBBKPJ_00151	CDS	1284				major facilitator superfamily transporter
DBBBBKPJ_00152	CDS	1080	msuD_1			methanesulfonate monooxygenase
DBBBBKPJ_00153	CDS	2652	pfeA_1		COG4771	Ferric enterobactin receptor
DBBBBKPJ_00154	CDS	849	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
DBBBBKPJ_00155	CDS	657				hypothetical protein
DBBBBKPJ_00156	CDS	903				epoxide hydrolase
DBBBBKPJ_00157	CDS	510				ring-hydroxylating dioxygenase small subunit
DBBBBKPJ_00158	CDS	1833				asparagine synthetase
DBBBBKPJ_00159	CDS	1275				ring-hydroxylating dioxygenase subunit
DBBBBKPJ_00160	CDS	477				transcriptional regulator
DBBBBKPJ_00161	CDS	642	kynB			kynurenine formamidase KynB
DBBBBKPJ_00162	CDS	1251	kynU			kynureninase KynU
DBBBBKPJ_00163	CDS	1407				amino acid permease
DBBBBKPJ_00164	CDS	1875				hypothetical protein
DBBBBKPJ_00165	CDS	1905				hypothetical protein
DBBBBKPJ_00166	CDS	951				transcriptional regulator
DBBBBKPJ_00167	CDS	210				hypothetical protein
DBBBBKPJ_00168	CDS	1008				hypothetical protein
DBBBBKPJ_00169	CDS	1071				hypothetical protein
DBBBBKPJ_00170	CDS	873	metF			5,10-methylenetetrahydrofolate reductase
DBBBBKPJ_00171	CDS	540				hypothetical protein
DBBBBKPJ_00172	CDS	1410	sahH	3.3.1.1		adenosylhomocysteinase
DBBBBKPJ_00173	CDS	417				hypothetical protein
DBBBBKPJ_00174	CDS	2193				TonB-dependent receptor
DBBBBKPJ_00175	CDS	1479				hypothetical protein
DBBBBKPJ_00176	CDS	621				transcriptional regulator
DBBBBKPJ_00177	CDS	1272	codA	3.5.4.1		cytosine deaminase
DBBBBKPJ_00178	CDS	1251	codB			cytosine permease
DBBBBKPJ_00179	CDS	1275		1.3.1.1		dihydropyrimidine dehydrogenase
DBBBBKPJ_00180	CDS	1368				oxidoreductase
DBBBBKPJ_00181	CDS	1440	dht			D-hydantoinase/dihydropyrimidinase
DBBBBKPJ_00182	CDS	1491				transporter
DBBBBKPJ_00183	CDS	1284				allantoate amidohydrolase
DBBBBKPJ_00184	CDS	1224	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
DBBBBKPJ_00185	CDS	1182	gcdH			glutaryl-CoA dehydrogenase
DBBBBKPJ_00186	CDS	909				transcriptional regulator
DBBBBKPJ_00187	CDS	405				acyl-CoA thioesterase
DBBBBKPJ_00188	CDS	1623				phosphate transporter
DBBBBKPJ_00189	CDS	735				hypothetical protein
DBBBBKPJ_00190	CDS	618				hypothetical protein
DBBBBKPJ_00191	CDS	792				hypothetical protein
DBBBBKPJ_00192	CDS	732				amino acid ABC transporter substrate-binding protein
DBBBBKPJ_00193	CDS	2202	yccS		COG1289	Inner membrane protein YccS
DBBBBKPJ_00194	CDS	1377	dbpA			ATP-dependent RNA helicase DbpA
DBBBBKPJ_00195	CDS	210				cold-shock protein
DBBBBKPJ_00196	CDS	525				hypothetical protein
DBBBBKPJ_00197	CDS	1434				major facilitator superfamily transporter
DBBBBKPJ_00198	CDS	2799				chaperone protein ClpB
DBBBBKPJ_00199	CDS	579				hypothetical protein
DBBBBKPJ_00200	CDS	888				acyltransferase
DBBBBKPJ_00201	CDS	510				hypothetical protein
DBBBBKPJ_00202	CDS	690	creB			DNA-binding response regulator CreB
DBBBBKPJ_00203	CDS	1425	creC			sensory histidine kinase CreC
DBBBBKPJ_00204	CDS	1359	creD		COG4452	Inner membrane protein CreD
DBBBBKPJ_00205	CDS	303				hypothetical protein
DBBBBKPJ_00206	CDS	186				hypothetical protein
DBBBBKPJ_00207	CDS	621				glutathione S-transferase
DBBBBKPJ_00208	CDS	951	vgb	4.2.99.-		Virginiamycin B lyase
DBBBBKPJ_00209	CDS	858				hypothetical protein
DBBBBKPJ_00210	CDS	2394	fiuA_1			ferrichrome receptor FiuA
DBBBBKPJ_00211	CDS	972				transmembrane sensor
DBBBBKPJ_00212	CDS	519				RNA polymerase sigma factor
DBBBBKPJ_00213	CDS	750				glutathione S-transferase
DBBBBKPJ_00214	CDS	402				esterase
DBBBBKPJ_00215	CDS	570				transcriptional regulator
DBBBBKPJ_00216	CDS	1728				permease
DBBBBKPJ_00217	CDS	927				transcriptional regulator
DBBBBKPJ_00218	CDS	477				N-acetyltransferase
DBBBBKPJ_00219	CDS	939				transcriptional regulator
DBBBBKPJ_00220	CDS	798				3-oxoadipate enol-lactonase
DBBBBKPJ_00221	CDS	444				hypothetical protein
DBBBBKPJ_00222	CDS	2178	glcB	2.3.3.9		malate synthase G
DBBBBKPJ_00223	CDS	444				acetyltransferase
DBBBBKPJ_00224	CDS	516				hypothetical protein
DBBBBKPJ_00225	CDS	897				chloramphenicol-sensitive protein RarD
DBBBBKPJ_00226	CDS	975				serine/threonine protein kinase
DBBBBKPJ_00227	CDS	759				molybdenum transport regulator
DBBBBKPJ_00228	CDS	321				hypothetical protein
DBBBBKPJ_00229	CDS	726				phosphoribosyl transferase
DBBBBKPJ_00230	CDS	294				hypothetical protein
DBBBBKPJ_00231	CDS	918				transcriptional regulator
DBBBBKPJ_00232	CDS	759	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
DBBBBKPJ_00233	CDS	249				acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
DBBBBKPJ_00234	CDS	1377				acetyl-CoA carboxylase biotin carboxylase subunit
DBBBBKPJ_00235	CDS	879	pxpB_2	3.5.2.9	COG2049	5-oxoprolinase subunit B
DBBBBKPJ_00236	CDS	978	pxpC_2	3.5.2.9	COG1984	5-oxoprolinase subunit C
DBBBBKPJ_00237	CDS	210				hypothetical protein
DBBBBKPJ_00238	CDS	1059	bioB			biotin synthase
DBBBBKPJ_00239	CDS	1206	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
DBBBBKPJ_00240	CDS	723				biotin biosynthesis protein BioH
DBBBBKPJ_00241	CDS	825				biotin synthesis protein BioC
DBBBBKPJ_00242	CDS	687	bioD	6.3.3.3		ATP-dependent dethiobiotin synthetase BioD
DBBBBKPJ_00243	CDS	231				hypothetical protein
DBBBBKPJ_00244	CDS	1806				acyl-CoA dehydrogenase
DBBBBKPJ_00245	CDS	1797				acyl-CoA dehydrogenase
DBBBBKPJ_00246	CDS	1779				acyl-CoA dehydrogenase
DBBBBKPJ_00247	CDS	1482	nirN			cytochrome C
DBBBBKPJ_00248	CDS	840				uroporphyrin-III C-methyltransferase
DBBBBKPJ_00249	CDS	1164	nirJ			heme d1 biosynthesis protein NirJ
DBBBBKPJ_00250	CDS	516				heme d1 biosynthesis protein NirH
DBBBBKPJ_00251	CDS	444				heme d1 biosynthesis protein NirG
DBBBBKPJ_00252	CDS	525	nirL			heme d1 biosynthesis protein NirL
DBBBBKPJ_00253	CDS	453				heme d1 biosynthesis protein NirD
DBBBBKPJ_00254	CDS	1179	nirF			heme d1 biosynthesis protein NirF
DBBBBKPJ_00255	CDS	360	nirC			cytochrome c55X
DBBBBKPJ_00256	CDS	315	nirM			cytochrome C-551
DBBBBKPJ_00257	CDS	1707	nirS			nitrite reductase
DBBBBKPJ_00258	CDS	783	nirQ			denitrification regulatory protein NirQ
DBBBBKPJ_00259	CDS	573				cytochrome C oxidase subunit
DBBBBKPJ_00260	CDS	258				hypothetical protein
DBBBBKPJ_00261	CDS	441	norC			nitric oxide reductase subunit C
DBBBBKPJ_00262	CDS	1398	norB			nitric oxide reductase subunit B
DBBBBKPJ_00263	CDS	1839				denitrification protein NorD
DBBBBKPJ_00264	CDS	195				hypothetical protein
DBBBBKPJ_00265	CDS	684	dnr			transcriptional regulator Dnr
DBBBBKPJ_00266	CDS	879				transcriptional regulator
DBBBBKPJ_00267	CDS	702	yiiM_1		COG2258	Protein YiiM
DBBBBKPJ_00268	CDS	237				hypothetical protein
DBBBBKPJ_00269	CDS	1182				class III pyridoxal phosphate-dependent aminotransferase
DBBBBKPJ_00270	CDS	717				glutamine amidotransferase
DBBBBKPJ_00271	CDS	264				hypothetical protein
DBBBBKPJ_00272	CDS	1491				transcriptional regulator
DBBBBKPJ_00273	CDS	1290				oxidoreductase
DBBBBKPJ_00274	CDS	555				transcriptional regulator
DBBBBKPJ_00275	CDS	1026				hypothetical protein
DBBBBKPJ_00276	CDS	609	lemA_1		COG1704	Protein LemA
DBBBBKPJ_00277	CDS	582	dsbB			disulfide bond formation protein
DBBBBKPJ_00278	CDS	831				hypothetical protein
DBBBBKPJ_00279	CDS	387				hypothetical protein
DBBBBKPJ_00280	CDS	459				hypothetical protein
DBBBBKPJ_00281	CDS	420	yqjC			Protein YqjC
DBBBBKPJ_00282	CDS	969				hypothetical protein
DBBBBKPJ_00283	CDS	744	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
DBBBBKPJ_00284	CDS	1305		1.14.13.239		Carnitine monooxygenase reductase subunit
DBBBBKPJ_00285	CDS	1191	metK	2.5.1.6		S-adenosylmethionine synthetase
DBBBBKPJ_00286	CDS	1002				transcriptional regulator
DBBBBKPJ_00287	CDS	1998	tktA	2.2.1.1		transketolase
DBBBBKPJ_00288	CDS	1065				hypothetical protein
DBBBBKPJ_00289	CDS	798	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
DBBBBKPJ_00290	CDS	1062	epd			D-erythrose 4-phosphate dehydrogenase
DBBBBKPJ_00291	CDS	1164	pgk	2.7.2.3		phosphoglycerate kinase
DBBBBKPJ_00292	CDS	201				hypothetical protein
DBBBBKPJ_00293	CDS	342				hypothetical protein
DBBBBKPJ_00294	CDS	1065	fda	4.1.2.13		fructose-1,6-bisphosphate aldolase
DBBBBKPJ_00295	CDS	483				hypothetical protein
DBBBBKPJ_00296	CDS	426				hypothetical protein
DBBBBKPJ_00297	CDS	768		2.1.1.-	COG0500	putative methyltransferase
DBBBBKPJ_00298	CDS	1179			COG2081	putative protein
DBBBBKPJ_00299	CDS	489	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
DBBBBKPJ_00300	CDS	696				hydrolase
DBBBBKPJ_00301	CDS	354	yhaI		COG3152	Inner membrane protein YhaI
DBBBBKPJ_00302	CDS	912				transcriptional regulator
DBBBBKPJ_00303	CDS	339				hypothetical protein
DBBBBKPJ_00304	CDS	516				hypothetical protein
DBBBBKPJ_00305	CDS	159				hypothetical protein
DBBBBKPJ_00306	CDS	459				hypothetical protein
DBBBBKPJ_00307	CDS	471				hypothetical protein
DBBBBKPJ_00308	CDS	348				hypothetical protein
DBBBBKPJ_00309	CDS	615				hypothetical protein
DBBBBKPJ_00310	CDS	2727	impA	3.4.24.-		Immunomodulating metalloprotease
DBBBBKPJ_00311	CDS	336				hypothetical protein
DBBBBKPJ_00312	CDS	1122				hypothetical protein
DBBBBKPJ_00313	tRNA	77				tRNA-Met(cat)
DBBBBKPJ_00314	CDS	3738				hypothetical protein
DBBBBKPJ_00315	CDS	1854	rpoD			RNA polymerase sigma factor RpoD
DBBBBKPJ_00316	CDS	1995	dnaG	2.7.7.-		DNA primase
DBBBBKPJ_00317	CDS	450	yqeY		COG1610	putative protein YqeY
DBBBBKPJ_00318	CDS	216	rpsU			30S ribosomal protein S21
DBBBBKPJ_00319	CDS	1026	gcp			tRNA N6-adenosine threonylcarbamoyltransferase
DBBBBKPJ_00320	CDS	570				glycerol-3-phosphate acyltransferase PlsY
DBBBBKPJ_00321	CDS	417	folB			dihydroneopterin aldolase
DBBBBKPJ_00322	CDS	543				hypothetical protein
DBBBBKPJ_00323	CDS	1233	cca	3.1.3.-		multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase
DBBBBKPJ_00324	CDS	507				hypothetical protein
DBBBBKPJ_00325	CDS	1554				hypothetical protein
DBBBBKPJ_00326	CDS	1272				hypothetical protein
DBBBBKPJ_00327	CDS	1923				hypothetical protein
DBBBBKPJ_00328	CDS	333		2.8.1.1		thiosulfate sulfurtransferase
DBBBBKPJ_00329	CDS	852	apaH_1	3.6.1.41		bis(5'-nucleosyl)-tetraphosphatase
DBBBBKPJ_00330	CDS	381				protein ApaG
DBBBBKPJ_00331	CDS	807	ksgA	2.1.1.-		ribosomal RNA small subunit methyltransferase A
DBBBBKPJ_00332	CDS	987	pdxA	1.1.1.262		4-hydroxythreonine-4-phosphate dehydrogenase
DBBBBKPJ_00333	CDS	1293	surA			chaperone SurA
DBBBBKPJ_00334	CDS	2802	ostA			organic solvent tolerance protein OstA
DBBBBKPJ_00335	CDS	1017	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
DBBBBKPJ_00336	CDS	675				nucleotidyl transferase
DBBBBKPJ_00337	CDS	759	djlA		COG1076	Co-chaperone protein DjlA
DBBBBKPJ_00338	CDS	1062				hypothetical protein
DBBBBKPJ_00339	CDS	2394				two-component sensor
DBBBBKPJ_00340	CDS	633				two-component response regulator
DBBBBKPJ_00341	CDS	1035				ABC transporter
DBBBBKPJ_00342	CDS	1110				ABC transporter ATP-binding protein
DBBBBKPJ_00343	CDS	1047				ABC transporter
DBBBBKPJ_00344	CDS	1248				ABC transporter permease
DBBBBKPJ_00345	CDS	831				ABC transporter permease
DBBBBKPJ_00346	CDS	675	rpe	5.1.3.1		ribulose-phosphate 3-epimerase
DBBBBKPJ_00347	CDS	819				phosphoglycolate phosphatase
DBBBBKPJ_00348	CDS	1479	trpE	4.1.3.27		anthranilate synthase component I
DBBBBKPJ_00349	CDS	315	prtN_1			transcriptional regulator PrtN
DBBBBKPJ_00350	CDS	771	prtR_1			HTH-type transcriptional regulator PrtR
DBBBBKPJ_00351	CDS	171				hypothetical protein
DBBBBKPJ_00352	CDS	201	ptrB_1			repressor PtrB
DBBBBKPJ_00353	CDS	360				hypothetical protein
DBBBBKPJ_00354	CDS	354				hypothetical protein
DBBBBKPJ_00355	CDS	516				hypothetical protein
DBBBBKPJ_00356	CDS	558				hypothetical protein
DBBBBKPJ_00357	CDS	327				bacteriophage protein
DBBBBKPJ_00358	CDS	888				bacteriophage protein
DBBBBKPJ_00359	CDS	534				bacteriophage protein
DBBBBKPJ_00360	CDS	2109				bacteriophage protein
DBBBBKPJ_00361	CDS	441				hypothetical protein
DBBBBKPJ_00362	CDS	294				bacteriophage protein
DBBBBKPJ_00363	CDS	735				bacteriophage protein
DBBBBKPJ_00364	CDS	504				bacteriophage protein
DBBBBKPJ_00365	CDS	345				hypothetical protein
DBBBBKPJ_00366	CDS	2238				hypothetical protein
DBBBBKPJ_00367	CDS	873				hypothetical protein
DBBBBKPJ_00368	CDS	207				hypothetical protein
DBBBBKPJ_00369	CDS	990				hypothetical protein
DBBBBKPJ_00370	CDS	630				hypothetical protein
DBBBBKPJ_00371	CDS	363				hypothetical protein
DBBBBKPJ_00372	CDS	258				hypothetical protein
DBBBBKPJ_00373	CDS	606	trpG	4.1.3.27		anthranilate synthase component II
DBBBBKPJ_00374	CDS	1050	trpD_1	2.4.2.18		anthranilate phosphoribosyltransferase
DBBBBKPJ_00375	CDS	837	trpC	4.1.1.48		indole-3-glycerol phosphate synthase
DBBBBKPJ_00376	CDS	645	vfr			cAMP-regulatory protein
DBBBBKPJ_00377	CDS	423	yhfA		COG1765	Protein YhfA
DBBBBKPJ_00378	CDS	795	speD	4.1.1.50		S-adenosylmethionine decarboxylase
DBBBBKPJ_00379	CDS	648				2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
DBBBBKPJ_00380	CDS	339				HIT family protein
DBBBBKPJ_00381	CDS	1482				ATPase
DBBBBKPJ_00382	CDS	801				short-chain dehydrogenase
DBBBBKPJ_00383	CDS	1083				hypothetical protein
DBBBBKPJ_00384	CDS	969				hypothetical protein
DBBBBKPJ_00385	CDS	423				hypothetical protein
DBBBBKPJ_00386	CDS	1035	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
DBBBBKPJ_00387	CDS	720				hypothetical protein
DBBBBKPJ_00388	CDS	414				hypothetical protein
DBBBBKPJ_00389	CDS	351				iron-sulfur cluster insertion protein ErpA
DBBBBKPJ_00390	CDS	1092				anhydro-N-acetylmuramic acid kinase
DBBBBKPJ_00391	CDS	1440				hypothetical protein
DBBBBKPJ_00392	CDS	1200	tyrZ	6.1.1.1		tyrosine--tRNA ligase
DBBBBKPJ_00393	CDS	852	yeaD_1	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
DBBBBKPJ_00394	CDS	858				HTH-type transcriptional regulator
DBBBBKPJ_00395	CDS	1470	zwf	1.1.1.49		glucose-6-phosphate 1-dehydrogenase
DBBBBKPJ_00396	CDS	717	pgl			6-phosphogluconolactonase
DBBBBKPJ_00397	CDS	663		4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
DBBBBKPJ_00398	CDS	438				hypothetical protein
DBBBBKPJ_00399	CDS	1161				ribosomal large subunit pseudouridine synthase B
DBBBBKPJ_00400	CDS	378				hypothetical protein
DBBBBKPJ_00401	CDS	924				hypothetical protein
DBBBBKPJ_00402	CDS	1215	gltS			glutamate/sodium ion symporter GltS
DBBBBKPJ_00403	CDS	936		3.5.3.8		formimidoylglutamase
DBBBBKPJ_00404	CDS	729				transcriptional regulator
DBBBBKPJ_00405	CDS	741				short-chain dehydrogenase
DBBBBKPJ_00406	CDS	672				phosphoglycolate phosphatase
DBBBBKPJ_00407	CDS	699	ubiG	2.1.1.64		ubiquinone biosynthesis O-methyltransferase
DBBBBKPJ_00408	CDS	1335				N-ethylammeline chlorohydrolase
DBBBBKPJ_00409	CDS	1077		5.3.1.23		methylthioribose-1-phosphate isomerase
DBBBBKPJ_00410	CDS	2772	gyrA			DNA gyrase subunit A
DBBBBKPJ_00411	CDS	1086	serC	2.6.1.52		3-phosphoserine/phosphohydroxythreonine aminotransferase
