Gene,Non-unique Gene name,Annotation,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
rplL,rplL,50S ribosomal protein L7/L12,GCDEOBMB_05776,DBBBBKPJ_05105,INHMNHHN_00236,PDFLHPBO_01285,FNCGEDBI_06181
rplO,rplO,50S ribosomal protein L15,GCDEOBMB_05916,DBBBBKPJ_05132,INHMNHHN_00263,PDFLHPBO_01258,FNCGEDBI_06208
rpsE,rpsE,30S ribosomal protein S5,GCDEOBMB_05918,DBBBBKPJ_05130,INHMNHHN_00261,PDFLHPBO_01260,FNCGEDBI_06206
rplJ,rplJ,50S ribosomal protein L10,GCDEOBMB_05777,DBBBBKPJ_05104,INHMNHHN_00235,PDFLHPBO_01286,FNCGEDBI_06180
rpsL,rpsL,30S ribosomal protein S12,GCDEOBMB_05773,DBBBBKPJ_05108,INHMNHHN_00239,PDFLHPBO_01282,FNCGEDBI_06184
rpsJ,rpsJ,30S ribosomal protein S10,GCDEOBMB_05936,DBBBBKPJ_05112,INHMNHHN_00243,PDFLHPBO_01278,FNCGEDBI_06188
rplX,rplX,50S ribosomal protein L24,GCDEOBMB_05924,DBBBBKPJ_05124,INHMNHHN_00255,PDFLHPBO_01266,FNCGEDBI_06200
group_4799,,hypothetical protein;transporter,GCDEOBMB_06418,DBBBBKPJ_05158,INHMNHHN_00289,PDFLHPBO_01232,FNCGEDBI_06245
rpmC,rpmC,50S ribosomal protein L29,GCDEOBMB_05927,DBBBBKPJ_05121,INHMNHHN_00252,PDFLHPBO_01269,FNCGEDBI_06197
uvrA,uvrA,excinuclease ABC subunit A,GCDEOBMB_05906,DBBBBKPJ_05142,INHMNHHN_00273,PDFLHPBO_01248,FNCGEDBI_06218
group_4796,,hypothetical protein,GCDEOBMB_05781,DBBBBKPJ_05100,INHMNHHN_00231,PDFLHPBO_01290,FNCGEDBI_06176
birA,birA,biotin--protein ligase,GCDEOBMB_06443,DBBBBKPJ_05092,INHMNHHN_00223,PDFLHPBO_01298,FNCGEDBI_06168
group_4795,,hypothetical protein,GCDEOBMB_06416,DBBBBKPJ_05156,INHMNHHN_00287,PDFLHPBO_01234,FNCGEDBI_06243
group_4793,,major facilitator superfamily transporter,GCDEOBMB_05905,DBBBBKPJ_05143,INHMNHHN_00274,PDFLHPBO_01247,FNCGEDBI_06219
rpsQ,rpsQ,30S ribosomal protein S17,GCDEOBMB_05926,DBBBBKPJ_05122,INHMNHHN_00253,PDFLHPBO_01268,FNCGEDBI_06198
tufB_1,tufB_1,elongation factor Tu,GCDEOBMB_05937,DBBBBKPJ_05111,INHMNHHN_00242,PDFLHPBO_01279,FNCGEDBI_06187
pchE,pchE,dihydroaeruginoic acid synthetase,GCDEOBMB_06410,DBBBBKPJ_05150,INHMNHHN_00281,PDFLHPBO_01240,FNCGEDBI_06237
rpsK,rpsK,30S ribosomal protein S11,GCDEOBMB_05912,DBBBBKPJ_05136,INHMNHHN_00267,PDFLHPBO_01254,FNCGEDBI_06212
rplQ,rplQ,50S ribosomal protein L17,GCDEOBMB_05909,DBBBBKPJ_05139,INHMNHHN_00270,PDFLHPBO_01251,FNCGEDBI_06215
tufB_1~~~tufB_2,tufB_1;tufB_2,elongation factor Tu,GCDEOBMB_05783,DBBBBKPJ_05098,INHMNHHN_00229,PDFLHPBO_01292,FNCGEDBI_06174
rpsH,rpsH,30S ribosomal protein S8,GCDEOBMB_05921,DBBBBKPJ_05127,INHMNHHN_00258,PDFLHPBO_01263,FNCGEDBI_06203
rplV,rplV,50S ribosomal protein L22,GCDEOBMB_05930,DBBBBKPJ_05118,INHMNHHN_00249,PDFLHPBO_01272,FNCGEDBI_06194
pchD,pchD,23-dihydroxybenzoate-AMP ligase,GCDEOBMB_05884,DBBBBKPJ_05148,INHMNHHN_00279,PDFLHPBO_01242,FNCGEDBI_06235
rpoB,rpoB,DNA-directed RNA polymerase subunit beta,GCDEOBMB_05775,DBBBBKPJ_05106,INHMNHHN_00237,PDFLHPBO_01284,FNCGEDBI_06182
rplD,rplD,50S ribosomal protein L4,GCDEOBMB_05934,DBBBBKPJ_05114,INHMNHHN_00245,PDFLHPBO_01276,FNCGEDBI_06190
rpoC,rpoC,DNA-directed RNA polymerase subunit beta',GCDEOBMB_05774,DBBBBKPJ_05107,INHMNHHN_00238,PDFLHPBO_01283,FNCGEDBI_06183
pchR,pchR,transcriptional regulator PchR,GCDEOBMB_05883,DBBBBKPJ_05149,INHMNHHN_00280,PDFLHPBO_01241,FNCGEDBI_06236
group_4786,,pantothenate kinase,GCDEOBMB_06442,DBBBBKPJ_05093,INHMNHHN_00224,PDFLHPBO_01297,FNCGEDBI_06169
pchF,pchF,pyochelin synthetase,GCDEOBMB_06411,DBBBBKPJ_05151,INHMNHHN_00282,PDFLHPBO_01239,FNCGEDBI_06238
fusA1,fusA1,elongation factor G,GCDEOBMB_05771,DBBBBKPJ_05110,INHMNHHN_00241,PDFLHPBO_01280,FNCGEDBI_06186
rpsS,rpsS,30S ribosomal protein S19,GCDEOBMB_05931,DBBBBKPJ_05117,INHMNHHN_00248,PDFLHPBO_01273,FNCGEDBI_06193
rplF,rplF,50S ribosomal protein L6,GCDEOBMB_05920,DBBBBKPJ_05128,INHMNHHN_00259,PDFLHPBO_01262,FNCGEDBI_06204
bfrA,bfrA,bacterioferritin,GCDEOBMB_05907,DBBBBKPJ_05141,INHMNHHN_00272,PDFLHPBO_01249,FNCGEDBI_06217
exbD1,exbD1,biopolymer transport protein ExbD,GCDEOBMB_04906,DBBBBKPJ_04939,INHMNHHN_06251,PDFLHPBO_05024,4_refound_58
pcaC_2,pcaC_2,4-carboxymuconolactone decarboxylase,GCDEOBMB_04879,DBBBBKPJ_04912,INHMNHHN_05245,PDFLHPBO_04997,FNCGEDBI_04934
group_4784,,malonate transporter MadL,GCDEOBMB_04896,DBBBBKPJ_04929,INHMNHHN_05262,PDFLHPBO_05014,FNCGEDBI_04917
group_4783,,amino acid APC family transporter,GCDEOBMB_04891,DBBBBKPJ_04924,INHMNHHN_05257,PDFLHPBO_05009,FNCGEDBI_04922
pntB,pntB,pyridine nucleotide transhydrogenase subunit beta,GCDEOBMB_04909,DBBBBKPJ_04942,INHMNHHN_01117,PDFLHPBO_05027,FNCGEDBI_01931
group_4782,,ABC transporter,GCDEOBMB_04889,DBBBBKPJ_04922,INHMNHHN_05255,PDFLHPBO_05007,FNCGEDBI_04924
group_4781,,transcriptional regulator,GCDEOBMB_04886,DBBBBKPJ_04919,INHMNHHN_05252,PDFLHPBO_05004,FNCGEDBI_04927
tonB2,tonB2,transporter TonB,GCDEOBMB_04908,DBBBBKPJ_04941,INHMNHHN_06249,PDFLHPBO_05026,4_refound_64_stop
group_4780,,3-ketoacyl-ACP reductase,GCDEOBMB_04922,DBBBBKPJ_04956,INHMNHHN_01132,PDFLHPBO_05042,FNCGEDBI_01946
pcaT,pcaT,dicarboxylic acid transporter PcaT,GCDEOBMB_04882,DBBBBKPJ_04915,INHMNHHN_05248,PDFLHPBO_05000,FNCGEDBI_04931
atsA,atsA,arylsulfatase,GCDEOBMB_04921,DBBBBKPJ_04955,INHMNHHN_01131,PDFLHPBO_05041,FNCGEDBI_01945
tauD_4,tauD_4,taurine dioxygenase,GCDEOBMB_04913,DBBBBKPJ_04946,INHMNHHN_01121,PDFLHPBO_05031,FNCGEDBI_01935
group_4778,,ABC transporter,GCDEOBMB_04918,DBBBBKPJ_04953,INHMNHHN_01128,PDFLHPBO_05038,FNCGEDBI_01942
group_4777,,acetyltransferase,GCDEOBMB_04862,DBBBBKPJ_04895,INHMNHHN_05228,PDFLHPBO_04980,FNCGEDBI_04951
pobA_1,pobA_1,4-hydroxybenzoate 3-monooxygenase,GCDEOBMB_04864,DBBBBKPJ_04897,INHMNHHN_05230,PDFLHPBO_04982,FNCGEDBI_04949
group_4776,,hypothetical protein,GCDEOBMB_04877,DBBBBKPJ_04910,INHMNHHN_05243,PDFLHPBO_04995,FNCGEDBI_04936
group_4775,,phosphoribosyl-dephospho-CoA transferase,GCDEOBMB_04898,DBBBBKPJ_04931,INHMNHHN_05264,PDFLHPBO_05016,FNCGEDBI_04915
group_4773,,malonate transporter MadM,GCDEOBMB_04895,DBBBBKPJ_04928,INHMNHHN_05261,PDFLHPBO_05013,FNCGEDBI_04918
group_4772,,TonB-dependent receptor,GCDEOBMB_04914,DBBBBKPJ_04947,INHMNHHN_01122,PDFLHPBO_05032,FNCGEDBI_01936
group_4771,,major facilitator superfamily transporter,GCDEOBMB_04870,DBBBBKPJ_04903,INHMNHHN_05236,PDFLHPBO_04988,FNCGEDBI_04943
group_4768,,purine-binding chemotaxis protein,GCDEOBMB_06467,DBBBBKPJ_04961,INHMNHHN_01137,PDFLHPBO_05047,FNCGEDBI_01951
group_4767,,aldehyde dehydrogenase,GCDEOBMB_04892,DBBBBKPJ_04925,INHMNHHN_05258,PDFLHPBO_05010,FNCGEDBI_04921
group_4766,,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,GCDEOBMB_04857,DBBBBKPJ_04890,INHMNHHN_05223,PDFLHPBO_04975,FNCGEDBI_04956
mdcC,mdcC,malonate decarboxylase acyl carrier protein,GCDEOBMB_04901,DBBBBKPJ_04934,INHMNHHN_05267,PDFLHPBO_05019,FNCGEDBI_04912
group_4765,,hypothetical protein,GCDEOBMB_04855,DBBBBKPJ_04889,INHMNHHN_05221,PDFLHPBO_04974,FNCGEDBI_04958
tauD_2~~~tauD_3,tauD_2;tauD_3,taurine dioxygenase,GCDEOBMB_04912,DBBBBKPJ_04945,INHMNHHN_01120,PDFLHPBO_05030,FNCGEDBI_01934
pcaF,pcaF,beta-ketoadipyl CoA thiolase,GCDEOBMB_04883,DBBBBKPJ_04916,INHMNHHN_05249,PDFLHPBO_05001,FNCGEDBI_04930
group_4764,,CoA transferase subunit A,GCDEOBMB_04885,DBBBBKPJ_04918,INHMNHHN_05251,PDFLHPBO_05003,FNCGEDBI_04928
group_4763,,transcriptional regulator,GCDEOBMB_04915,DBBBBKPJ_04948,INHMNHHN_01123,PDFLHPBO_05033,FNCGEDBI_01937
group_4762,,two-component response regulator,GCDEOBMB_04926,DBBBBKPJ_04959,INHMNHHN_01135,PDFLHPBO_05045,FNCGEDBI_01949
group_4761,,major facilitator superfamily transporter,GCDEOBMB_04865,DBBBBKPJ_04898,INHMNHHN_05231,PDFLHPBO_04983,FNCGEDBI_04948
group_4760,,shikimate 5-dehydrogenase,GCDEOBMB_04867,DBBBBKPJ_04900,INHMNHHN_05233,PDFLHPBO_04985,FNCGEDBI_04946
group_4759,,transcriptional regulator,GCDEOBMB_04893,DBBBBKPJ_04926,INHMNHHN_05259,PDFLHPBO_05011,FNCGEDBI_04920
pcaK,pcaK,4-hydroxybenzoate transporter PcaK,GCDEOBMB_04876,DBBBBKPJ_04909,INHMNHHN_05242,PDFLHPBO_04994,FNCGEDBI_04937
group_4758,,transcriptional regulator,GCDEOBMB_04875,DBBBBKPJ_04908,INHMNHHN_05241,PDFLHPBO_04993,FNCGEDBI_04938
pntAB,pntAB,NAD(P) transhydrogenase subunit alpha,GCDEOBMB_04910,DBBBBKPJ_04943,INHMNHHN_01118,PDFLHPBO_05028,FNCGEDBI_01932
group_4756,,class II aldolase/adducin domain-containing protein,GCDEOBMB_04887,DBBBBKPJ_04920,INHMNHHN_05253,PDFLHPBO_05005,FNCGEDBI_04926
group_4755,,CoA transferase subunit B,GCDEOBMB_04884,DBBBBKPJ_04917,INHMNHHN_05250,PDFLHPBO_05002,FNCGEDBI_04929
IMPDH,IMPDH,Inosine-5'-monophosphate dehydrogenase,GCDEOBMB_04861,DBBBBKPJ_04894,INHMNHHN_05227,PDFLHPBO_04979,FNCGEDBI_04952
group_4753,,hypothetical protein,GCDEOBMB_04869,DBBBBKPJ_04902,INHMNHHN_05235,PDFLHPBO_04987,FNCGEDBI_04944
mdcD,mdcD,malonate decarboxylase subunit beta,GCDEOBMB_04900,DBBBBKPJ_04933,INHMNHHN_05266,PDFLHPBO_05018,FNCGEDBI_04913
group_4752,,porin,GCDEOBMB_04917,DBBBBKPJ_04950,INHMNHHN_01125,PDFLHPBO_05035,FNCGEDBI_01939
group_4751,,transcriptional regulator,GCDEOBMB_04894,DBBBBKPJ_04927,INHMNHHN_05260,PDFLHPBO_05012,FNCGEDBI_04919
group_4750,,transcriptional regulator,GCDEOBMB_04858,DBBBBKPJ_04891,INHMNHHN_05224,PDFLHPBO_04976,FNCGEDBI_04955
group_4749,,transcriptional regulator,GCDEOBMB_04863,DBBBBKPJ_04896,INHMNHHN_05229,PDFLHPBO_04981,FNCGEDBI_04950
pntAA,pntAA,NAD(P) transhydrogenase subunit alpha,GCDEOBMB_04911,DBBBBKPJ_04944,INHMNHHN_01119,PDFLHPBO_05029,FNCGEDBI_01933
group_4748,,hypothetical protein,GCDEOBMB_04904,DBBBBKPJ_04937,INHMNHHN_06253,PDFLHPBO_05022,FNCGEDBI_04909
pcaD,pcaD,3-oxoadipate enol-lactonase,GCDEOBMB_04880,DBBBBKPJ_04913,INHMNHHN_05246,PDFLHPBO_04998,FNCGEDBI_04933
group_4747,,acyl transferase,GCDEOBMB_04897,DBBBBKPJ_04930,INHMNHHN_05263,PDFLHPBO_05015,FNCGEDBI_04916
group_4746,,hypothetical protein,GCDEOBMB_04854,DBBBBKPJ_04888,INHMNHHN_05220,PDFLHPBO_04973,FNCGEDBI_04959
group_4745,,acid phosphatase,GCDEOBMB_04916,DBBBBKPJ_04949,INHMNHHN_01124,PDFLHPBO_05034,FNCGEDBI_01938
exbB1,exbB1,transporter ExbB,GCDEOBMB_04907,DBBBBKPJ_04940,INHMNHHN_06250,PDFLHPBO_05025,FNCGEDBI_04907
group_4744,,transcriptional regulator,GCDEOBMB_04924,DBBBBKPJ_04957,INHMNHHN_01133,PDFLHPBO_05043,FNCGEDBI_01947
pcaB,pcaB,3-carboxy-ciscis-muconate cycloisomerase,GCDEOBMB_04881,DBBBBKPJ_04914,INHMNHHN_05247,PDFLHPBO_04999,FNCGEDBI_04932
group_4743,,aminotransferase,GCDEOBMB_04890,DBBBBKPJ_04923,INHMNHHN_05256,PDFLHPBO_05008,FNCGEDBI_04923
group_4742,,hypothetical protein,GCDEOBMB_04872,DBBBBKPJ_04905,INHMNHHN_05238,PDFLHPBO_04990,FNCGEDBI_04941
aroQ2,aroQ2,3-dehydroquinate dehydratase,GCDEOBMB_04866,DBBBBKPJ_04899,INHMNHHN_05232,PDFLHPBO_04984,FNCGEDBI_04947
group_4741,,hypothetical protein,GCDEOBMB_04859,DBBBBKPJ_04892,INHMNHHN_05225,PDFLHPBO_04977,FNCGEDBI_04954
group_4740,,transcriptional regulator,GCDEOBMB_04878,DBBBBKPJ_04911,INHMNHHN_05244,PDFLHPBO_04996,FNCGEDBI_04935
group_4738,,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,GCDEOBMB_04902,DBBBBKPJ_04935,INHMNHHN_05268,PDFLHPBO_05020,FNCGEDBI_04911
group_4737,,dihydrodipicolinate synthetase,GCDEOBMB_04888,DBBBBKPJ_04921,INHMNHHN_05254,PDFLHPBO_05006,FNCGEDBI_04925
group_4735,,ABC transporter permease,GCDEOBMB_04919,DBBBBKPJ_04954,INHMNHHN_01129,PDFLHPBO_05039,FNCGEDBI_01943
aer2,aer2,aerotaxis transducer Aer2,0_refound_1,DBBBBKPJ_04962,INHMNHHN_01138,PDFLHPBO_05048,FNCGEDBI_01952
mdcE,mdcE,malonate decarboxylase subunit gamma,GCDEOBMB_04899,DBBBBKPJ_04932,INHMNHHN_05265,PDFLHPBO_05017,FNCGEDBI_04914
group_4734,,porin,GCDEOBMB_04871,DBBBBKPJ_04904,INHMNHHN_05237,PDFLHPBO_04989,FNCGEDBI_04942
cttP,cttP,trichloroethylene chemotactic transducer CttP,GCDEOBMB_04925,DBBBBKPJ_04958,INHMNHHN_01134,PDFLHPBO_05044,FNCGEDBI_01948
group_4733,,two-component sensor,GCDEOBMB_06466,DBBBBKPJ_04960,INHMNHHN_01136,PDFLHPBO_05046,FNCGEDBI_01950
group_4731,,hypothetical protein,GCDEOBMB_04905,DBBBBKPJ_04938,INHMNHHN_06252,PDFLHPBO_05023,FNCGEDBI_04908
group_4730,,hypothetical protein,GCDEOBMB_04860,DBBBBKPJ_04893,INHMNHHN_05226,PDFLHPBO_04978,FNCGEDBI_04953
cheD,cheD,Chemoreceptor glutamine deamidase CheD,GCDEOBMB_06430,DBBBBKPJ_04964,INHMNHHN_01140,PDFLHPBO_05050,FNCGEDBI_01954
group_4729,,transcriptional regulator,GCDEOBMB_04868,DBBBBKPJ_04901,INHMNHHN_05234,PDFLHPBO_04986,FNCGEDBI_04945
mdcA,mdcA,malonate decarboxylase subunit alpha,GCDEOBMB_04903,DBBBBKPJ_04936,INHMNHHN_05269,PDFLHPBO_05021,FNCGEDBI_04910
group_4727,,oxidoreductase,GCDEOBMB_04874,DBBBBKPJ_04907,INHMNHHN_05240,PDFLHPBO_04992,FNCGEDBI_04939
group_4725,,hypothetical protein,GCDEOBMB_04873,DBBBBKPJ_04906,INHMNHHN_05239,PDFLHPBO_04991,FNCGEDBI_04940
group_4724,,chemotaxis response regulator protein-glutamate methylesterase,0_refound_12,DBBBBKPJ_04965,INHMNHHN_01141,3_refound_50,FNCGEDBI_01955
group_4723,,chemotaxis protein methyltransferase,GCDEOBMB_06429,DBBBBKPJ_04963,INHMNHHN_01139,PDFLHPBO_05049,FNCGEDBI_01953
group_4722,,major facilitator superfamily transporter,GCDEOBMB_04844,DBBBBKPJ_05070,INHMNHHN_04787,PDFLHPBO_00517,FNCGEDBI_05244
group_4721,,hypothetical protein,GCDEOBMB_04833,DBBBBKPJ_05081,INHMNHHN_04776,PDFLHPBO_00506,FNCGEDBI_05233
cysT,cysT,sulfate transporter CysT,GCDEOBMB_04835,DBBBBKPJ_05079,INHMNHHN_04778,PDFLHPBO_00508,FNCGEDBI_05235
cysA,cysA,sulfate.thiosulfate ABC transporter ATP-binding protein CysA,GCDEOBMB_04837,DBBBBKPJ_05077,INHMNHHN_04780,PDFLHPBO_00510,FNCGEDBI_05237
group_4720,,transcriptional regulator,GCDEOBMB_04838,DBBBBKPJ_05076,INHMNHHN_04781,PDFLHPBO_00511,FNCGEDBI_05238
group_4719,,hypothetical protein,GCDEOBMB_04839,DBBBBKPJ_05075,INHMNHHN_04782,PDFLHPBO_00512,FNCGEDBI_05239
