Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
pchG,pchG,pyochelin biosynthetic protein PchG,5,5,1.0,20,92,,,,1050,1050,1050.0,GCDEOBMB_06412,DBBBBKPJ_05152,INHMNHHN_00283,PDFLHPBO_01238,FNCGEDBI_06239
pchA,pchA,salicylate biosynthesis isochorismate synthase,5,5,1.0,20,90,,,,1431,1431,1431.0,GCDEOBMB_05887,DBBBBKPJ_05145,INHMNHHN_00276,PDFLHPBO_01245,FNCGEDBI_06232
fptA,fptA,Fe(III)-pyochelin outer membrane receptor,5,5,1.0,20,87,,,,2163,2163,2163.0,GCDEOBMB_06415,DBBBBKPJ_05155,INHMNHHN_00286,PDFLHPBO_01235,FNCGEDBI_06242
rplB,rplB,50S ribosomal protein L2,5,5,1.0,20,85,,,,822,822,822.0,GCDEOBMB_05932,DBBBBKPJ_05116,INHMNHHN_00247,PDFLHPBO_01274,FNCGEDBI_06192
rplE,rplE,50S ribosomal protein L5,5,5,1.0,20,84,,,,540,540,540.0,GCDEOBMB_05923,DBBBBKPJ_05125,INHMNHHN_00256,PDFLHPBO_01265,FNCGEDBI_06201
rpsG,rpsG,30S ribosomal protein S7,5,5,1.0,20,83,,,,471,471,471.0,GCDEOBMB_05772,DBBBBKPJ_05109,INHMNHHN_00240,PDFLHPBO_01281,FNCGEDBI_06185
group_4813,,ABC transporter ATP-binding protein,5,5,1.0,20,82,,,,1713,1713,1713.0,GCDEOBMB_06413,DBBBBKPJ_05153,INHMNHHN_00284,PDFLHPBO_01237,FNCGEDBI_06240
rpmJ,rpmJ,50S ribosomal protein L36,5,5,1.0,20,81,,,,117,117,117.0,GCDEOBMB_05914,DBBBBKPJ_05134,INHMNHHN_00265,PDFLHPBO_01256,FNCGEDBI_06210
pchC,pchC,pyochelin biosynthetic protein PchC,5,5,1.0,20,80,,,,756,756,756.0,GCDEOBMB_05885,DBBBBKPJ_05147,INHMNHHN_00278,PDFLHPBO_01243,FNCGEDBI_06234
group_4812,,ABC transporter ATP-binding protein,5,5,1.0,20,79,,,,1725,1725,1725.0,GCDEOBMB_06414,DBBBBKPJ_05154,INHMNHHN_00285,PDFLHPBO_01236,FNCGEDBI_06241
rpsC,rpsC,30S ribosomal protein S3,5,5,1.0,20,78,,,,687,687,687.0,GCDEOBMB_05929,DBBBBKPJ_05119,INHMNHHN_00250,PDFLHPBO_01271,FNCGEDBI_06195
katA,katA,catalase,5,5,1.0,20,77,,,,1449,1449,1449.0,GCDEOBMB_05908,DBBBBKPJ_05140,INHMNHHN_00271,PDFLHPBO_01250,FNCGEDBI_06216
rplR,rplR,50S ribosomal protein L18,5,5,1.0,20,75,,,,351,351,351.0,GCDEOBMB_05919,DBBBBKPJ_05129,INHMNHHN_00260,PDFLHPBO_01261,FNCGEDBI_06205
rpsD,rpsD,30S ribosomal protein S4,5,5,1.0,20,73,,,,621,621,621.0,GCDEOBMB_05911,DBBBBKPJ_05137,INHMNHHN_00268,PDFLHPBO_01253,FNCGEDBI_06213
rplP,rplP,50S ribosomal protein L16,5,5,1.0,20,72,,,,414,414,414.0,GCDEOBMB_05928,DBBBBKPJ_05120,INHMNHHN_00251,PDFLHPBO_01270,FNCGEDBI_06196
nusG,nusG,transcription antitermination protein NusG,5,5,1.0,20,68,,,,480,480,480.0,GCDEOBMB_05780,DBBBBKPJ_05101,INHMNHHN_00232,PDFLHPBO_01289,FNCGEDBI_06177
rplA,rplA,50S ribosomal protein L1,5,5,1.0,20,67,,,,696,696,696.0,GCDEOBMB_05778,DBBBBKPJ_05103,INHMNHHN_00234,PDFLHPBO_01287,FNCGEDBI_06179
rpsM,rpsM,30S ribosomal protein S13,5,5,1.0,20,66,,,,357,357,357.0,GCDEOBMB_05913,DBBBBKPJ_05135,INHMNHHN_00266,PDFLHPBO_01255,FNCGEDBI_06211
secY,secY,preprotein translocase subunit SecY,5,5,1.0,20,64,,,,1329,1329,1329.0,GCDEOBMB_05915,DBBBBKPJ_05133,INHMNHHN_00264,PDFLHPBO_01257,FNCGEDBI_06209
rplW,rplW,50S ribosomal protein L23,5,5,1.0,20,60,,,,300,300,300.0,GCDEOBMB_05933,DBBBBKPJ_05115,INHMNHHN_00246,PDFLHPBO_01275,FNCGEDBI_06191
group_4805,,hypothetical protein,5,5,1.0,20,58,,,,705,705,705.0,GCDEOBMB_06441,DBBBBKPJ_05094,INHMNHHN_00225,PDFLHPBO_01296,FNCGEDBI_06170
group_4803,,hypothetical protein,5,5,1.0,20,56,,,,1506,1506,1506.0,GCDEOBMB_06417,DBBBBKPJ_05157,INHMNHHN_00288,PDFLHPBO_01233,FNCGEDBI_06244
rpsN,rpsN,30S ribosomal protein S14,5,5,1.0,20,55,,,,306,306,306.0,GCDEOBMB_05922,DBBBBKPJ_05126,INHMNHHN_00257,PDFLHPBO_01264,FNCGEDBI_06202
pchB,pchB,isochorismate-pyruvate lyase,5,5,1.0,20,54,,,,306,306,306.0,GCDEOBMB_05886,DBBBBKPJ_05146,INHMNHHN_00277,PDFLHPBO_01244,FNCGEDBI_06233
rpmD,rpmD,50S ribosomal protein L30,5,5,1.0,20,52,,,,177,177,177.0,GCDEOBMB_05917,DBBBBKPJ_05131,INHMNHHN_00262,PDFLHPBO_01259,FNCGEDBI_06207
rplC,rplC,50S ribosomal protein L3,5,5,1.0,20,51,,,,636,636,636.0,GCDEOBMB_05935,DBBBBKPJ_05113,INHMNHHN_00244,PDFLHPBO_01277,FNCGEDBI_06189
rpoA,rpoA,DNA-directed RNA polymerase subunit alpha,5,5,1.0,20,50,,,,1002,1002,1002.0,GCDEOBMB_05910,DBBBBKPJ_05138,INHMNHHN_00269,PDFLHPBO_01252,FNCGEDBI_06214
rplK,rplK,50S ribosomal protein L11,5,5,1.0,20,49,,,,432,432,432.0,GCDEOBMB_05779,DBBBBKPJ_05102,INHMNHHN_00233,PDFLHPBO_01288,FNCGEDBI_06178
ssb,ssb,single-stranded DNA-binding protein,5,5,1.0,20,47,,,,498,498,498.0,GCDEOBMB_05904,DBBBBKPJ_05144,INHMNHHN_00275,PDFLHPBO_01246,FNCGEDBI_06220
rplN,rplN,50S ribosomal protein L14,5,5,1.0,20,46,,,,369,369,369.0,GCDEOBMB_05925,DBBBBKPJ_05123,INHMNHHN_00254,PDFLHPBO_01267,FNCGEDBI_06199
rplL,rplL,50S ribosomal protein L7/L12,5,5,1.0,20,45,,,,369,369,369.0,GCDEOBMB_05776,DBBBBKPJ_05105,INHMNHHN_00236,PDFLHPBO_01285,FNCGEDBI_06181
rplO,rplO,50S ribosomal protein L15,5,5,1.0,20,44,,,,435,435,435.0,GCDEOBMB_05916,DBBBBKPJ_05132,INHMNHHN_00263,PDFLHPBO_01258,FNCGEDBI_06208
rpsE,rpsE,30S ribosomal protein S5,5,5,1.0,20,43,,,,501,501,501.0,GCDEOBMB_05918,DBBBBKPJ_05130,INHMNHHN_00261,PDFLHPBO_01260,FNCGEDBI_06206
rplJ,rplJ,50S ribosomal protein L10,5,5,1.0,20,42,,,,501,501,501.0,GCDEOBMB_05777,DBBBBKPJ_05104,INHMNHHN_00235,PDFLHPBO_01286,FNCGEDBI_06180
rpsL,rpsL,30S ribosomal protein S12,5,5,1.0,20,41,,,,372,372,372.0,GCDEOBMB_05773,DBBBBKPJ_05108,INHMNHHN_00239,PDFLHPBO_01282,FNCGEDBI_06184
rpsJ,rpsJ,30S ribosomal protein S10,5,5,1.0,20,40,,,,312,312,312.0,GCDEOBMB_05936,DBBBBKPJ_05112,INHMNHHN_00243,PDFLHPBO_01278,FNCGEDBI_06188
rplX,rplX,50S ribosomal protein L24,5,5,1.0,20,39,,,,315,315,315.0,GCDEOBMB_05924,DBBBBKPJ_05124,INHMNHHN_00255,PDFLHPBO_01266,FNCGEDBI_06200
group_4799,,hypothetical protein;transporter,5,5,1.0,20,37,,,,864,1245,1168.8,GCDEOBMB_06418,DBBBBKPJ_05158,INHMNHHN_00289,PDFLHPBO_01232,FNCGEDBI_06245
rpmC,rpmC,50S ribosomal protein L29,5,5,1.0,20,36,,,,192,192,192.0,GCDEOBMB_05927,DBBBBKPJ_05121,INHMNHHN_00252,PDFLHPBO_01269,FNCGEDBI_06197
uvrA,uvrA,excinuclease ABC subunit A,5,5,1.0,20,34,,,,2838,2838,2838.0,GCDEOBMB_05906,DBBBBKPJ_05142,INHMNHHN_00273,PDFLHPBO_01248,FNCGEDBI_06218
group_4796,,hypothetical protein,5,5,1.0,20,32,,,,378,378,378.0,GCDEOBMB_05781,DBBBBKPJ_05100,INHMNHHN_00231,PDFLHPBO_01290,FNCGEDBI_06176
birA,birA,biotin--protein ligase,5,5,1.0,20,31,,,,939,939,939.0,GCDEOBMB_06443,DBBBBKPJ_05092,INHMNHHN_00223,PDFLHPBO_01298,FNCGEDBI_06168
group_4795,,hypothetical protein,5,5,1.0,20,30,,,,282,282,282.0,GCDEOBMB_06416,DBBBBKPJ_05156,INHMNHHN_00287,PDFLHPBO_01234,FNCGEDBI_06243
group_4793,,major facilitator superfamily transporter,5,5,1.0,20,28,,,,1389,1389,1389.0,GCDEOBMB_05905,DBBBBKPJ_05143,INHMNHHN_00274,PDFLHPBO_01247,FNCGEDBI_06219
rpsQ,rpsQ,30S ribosomal protein S17,5,5,1.0,20,27,,,,267,267,267.0,GCDEOBMB_05926,DBBBBKPJ_05122,INHMNHHN_00253,PDFLHPBO_01268,FNCGEDBI_06198
tufB_1,tufB_1,elongation factor Tu,5,5,1.0,20,25,,,,261,1194,1007.4,GCDEOBMB_05937,DBBBBKPJ_05111,INHMNHHN_00242,PDFLHPBO_01279,FNCGEDBI_06187
pchE,pchE,dihydroaeruginoic acid synthetase,5,5,1.0,20,24,,,,930,4317,3639.6,GCDEOBMB_06410,DBBBBKPJ_05150,INHMNHHN_00281,PDFLHPBO_01240,FNCGEDBI_06237
rpsK,rpsK,30S ribosomal protein S11,5,5,1.0,20,23,,,,390,390,390.0,GCDEOBMB_05912,DBBBBKPJ_05136,INHMNHHN_00267,PDFLHPBO_01254,FNCGEDBI_06212
rplQ,rplQ,50S ribosomal protein L17,5,5,1.0,20,22,,,,390,390,390.0,GCDEOBMB_05909,DBBBBKPJ_05139,INHMNHHN_00270,PDFLHPBO_01251,FNCGEDBI_06215
tufB_1~~~tufB_2,tufB_1;tufB_2,elongation factor Tu,5,5,1.0,20,21,,,,261,1194,795.0,GCDEOBMB_05783,DBBBBKPJ_05098,INHMNHHN_00229,PDFLHPBO_01292,FNCGEDBI_06174
rpsH,rpsH,30S ribosomal protein S8,5,5,1.0,20,18,,,,393,393,393.0,GCDEOBMB_05921,DBBBBKPJ_05127,INHMNHHN_00258,PDFLHPBO_01263,FNCGEDBI_06203
rplV,rplV,50S ribosomal protein L22,5,5,1.0,20,17,,,,333,333,333.0,GCDEOBMB_05930,DBBBBKPJ_05118,INHMNHHN_00249,PDFLHPBO_01272,FNCGEDBI_06194
pchD,pchD,23-dihydroxybenzoate-AMP ligase,5,5,1.0,20,15,,,,1644,1644,1644.0,GCDEOBMB_05884,DBBBBKPJ_05148,INHMNHHN_00279,PDFLHPBO_01242,FNCGEDBI_06235
rpoB,rpoB,DNA-directed RNA polymerase subunit beta,5,5,1.0,20,13,,,,4074,4074,4074.0,GCDEOBMB_05775,DBBBBKPJ_05106,INHMNHHN_00237,PDFLHPBO_01284,FNCGEDBI_06182
rplD,rplD,50S ribosomal protein L4,5,5,1.0,20,12,,,,603,603,603.0,GCDEOBMB_05934,DBBBBKPJ_05114,INHMNHHN_00245,PDFLHPBO_01276,FNCGEDBI_06190
rpoC,rpoC,DNA-directed RNA polymerase subunit beta',5,5,1.0,20,11,,,,4200,4200,4200.0,GCDEOBMB_05774,DBBBBKPJ_05107,INHMNHHN_00238,PDFLHPBO_01283,FNCGEDBI_06183
pchR,pchR,transcriptional regulator PchR,5,5,1.0,20,10,,,,891,891,891.0,GCDEOBMB_05883,DBBBBKPJ_05149,INHMNHHN_00280,PDFLHPBO_01241,FNCGEDBI_06236
group_4786,,pantothenate kinase,5,5,1.0,20,7,,,,747,747,747.0,GCDEOBMB_06442,DBBBBKPJ_05093,INHMNHHN_00224,PDFLHPBO_01297,FNCGEDBI_06169
pchF,pchF,pyochelin synthetase,5,5,1.0,20,6,,,,5430,5430,5430.0,GCDEOBMB_06411,DBBBBKPJ_05151,INHMNHHN_00282,PDFLHPBO_01239,FNCGEDBI_06238
fusA1,fusA1,elongation factor G,5,5,1.0,20,5,,,,2121,2121,2121.0,GCDEOBMB_05771,DBBBBKPJ_05110,INHMNHHN_00241,PDFLHPBO_01280,FNCGEDBI_06186
rpsS,rpsS,30S ribosomal protein S19,5,5,1.0,20,4,,,,276,276,276.0,GCDEOBMB_05931,DBBBBKPJ_05117,INHMNHHN_00248,PDFLHPBO_01273,FNCGEDBI_06193
rplF,rplF,50S ribosomal protein L6,5,5,1.0,20,3,,,,534,534,534.0,GCDEOBMB_05920,DBBBBKPJ_05128,INHMNHHN_00259,PDFLHPBO_01262,FNCGEDBI_06204
bfrA,bfrA,bacterioferritin,5,5,1.0,20,2,,,,465,465,465.0,GCDEOBMB_05907,DBBBBKPJ_05141,INHMNHHN_00272,PDFLHPBO_01249,FNCGEDBI_06217
exbD1,exbD1,biopolymer transport protein ExbD,5,5,1.0,18,87,,,,402,402,402.0,GCDEOBMB_04906,DBBBBKPJ_04939,INHMNHHN_06251,PDFLHPBO_05024,4_refound_58
pcaC_2,pcaC_2,4-carboxymuconolactone decarboxylase,5,5,1.0,18,86,,,,402,402,402.0,GCDEOBMB_04879,DBBBBKPJ_04912,INHMNHHN_05245,PDFLHPBO_04997,FNCGEDBI_04934
group_4784,,malonate transporter MadL,5,5,1.0,18,85,,,,405,405,405.0,GCDEOBMB_04896,DBBBBKPJ_04929,INHMNHHN_05262,PDFLHPBO_05014,FNCGEDBI_04917
group_4783,,amino acid APC family transporter,5,5,1.0,18,84,,,,1434,1434,1434.0,GCDEOBMB_04891,DBBBBKPJ_04924,INHMNHHN_05257,PDFLHPBO_05009,FNCGEDBI_04922
pntB,pntB,pyridine nucleotide transhydrogenase subunit beta,5,5,1.0,18,83,,,,1437,1437,1437.0,GCDEOBMB_04909,DBBBBKPJ_04942,INHMNHHN_01117,PDFLHPBO_05027,FNCGEDBI_01931
group_4782,,ABC transporter,5,5,1.0,18,82,,,,1059,1059,1059.0,GCDEOBMB_04889,DBBBBKPJ_04922,INHMNHHN_05255,PDFLHPBO_05007,FNCGEDBI_04924
group_4781,,transcriptional regulator,5,5,1.0,18,81,,,,540,540,540.0,GCDEOBMB_04886,DBBBBKPJ_04919,INHMNHHN_05252,PDFLHPBO_05004,FNCGEDBI_04927
tonB2,tonB2,transporter TonB,5,5,1.0,18,80,,,,216,813,663.75,GCDEOBMB_04908,DBBBBKPJ_04941,INHMNHHN_06249,PDFLHPBO_05026,4_refound_64
group_4780,,3-ketoacyl-ACP reductase,5,5,1.0,18,79,,,,753,753,753.0,GCDEOBMB_04922,DBBBBKPJ_04956,INHMNHHN_01132,PDFLHPBO_05042,FNCGEDBI_01946
pcaT,pcaT,dicarboxylic acid transporter PcaT,5,5,1.0,18,77,,,,1299,1299,1299.0,GCDEOBMB_04882,DBBBBKPJ_04915,INHMNHHN_05248,PDFLHPBO_05000,FNCGEDBI_04931
atsA,atsA,arylsulfatase,5,5,1.0,18,76,,,,1443,1611,1577.4,GCDEOBMB_04921,DBBBBKPJ_04955,INHMNHHN_01131,PDFLHPBO_05041,FNCGEDBI_01945
tauD_4,tauD_4,taurine dioxygenase,5,5,1.0,18,75,,,,903,903,903.0,GCDEOBMB_04913,DBBBBKPJ_04946,INHMNHHN_01121,PDFLHPBO_05031,FNCGEDBI_01935
group_4778,,ABC transporter,5,5,1.0,18,74,,,,1068,1068,1068.0,GCDEOBMB_04918,DBBBBKPJ_04953,INHMNHHN_01128,PDFLHPBO_05038,FNCGEDBI_01942
group_4777,,acetyltransferase,5,5,1.0,18,73,,,,447,447,447.0,GCDEOBMB_04862,DBBBBKPJ_04895,INHMNHHN_05228,PDFLHPBO_04980,FNCGEDBI_04951
pobA_1,pobA_1,4-hydroxybenzoate 3-monooxygenase,5,5,1.0,18,72,,,,1185,1185,1185.0,GCDEOBMB_04864,DBBBBKPJ_04897,INHMNHHN_05230,PDFLHPBO_04982,FNCGEDBI_04949
group_4776,,hypothetical protein,5,5,1.0,18,71,,,,834,834,834.0,GCDEOBMB_04877,DBBBBKPJ_04910,INHMNHHN_05243,PDFLHPBO_04995,FNCGEDBI_04936
group_4775,,phosphoribosyl-dephospho-CoA transferase,5,5,1.0,18,70,,,,693,693,693.0,GCDEOBMB_04898,DBBBBKPJ_04931,INHMNHHN_05264,PDFLHPBO_05016,FNCGEDBI_04915
group_4773,,malonate transporter MadM,5,5,1.0,18,68,,,,765,765,765.0,GCDEOBMB_04895,DBBBBKPJ_04928,INHMNHHN_05261,PDFLHPBO_05013,FNCGEDBI_04918
group_4772,,TonB-dependent receptor,5,5,1.0,18,67,,,,2373,2373,2373.0,GCDEOBMB_04914,DBBBBKPJ_04947,INHMNHHN_01122,PDFLHPBO_05032,FNCGEDBI_01936
group_4771,,major facilitator superfamily transporter,5,5,1.0,18,66,,,,1326,1326,1326.0,GCDEOBMB_04870,DBBBBKPJ_04903,INHMNHHN_05236,PDFLHPBO_04988,FNCGEDBI_04943
group_4768,,purine-binding chemotaxis protein,5,5,1.0,18,63,,,,486,486,486.0,GCDEOBMB_06467,DBBBBKPJ_04961,INHMNHHN_01137,PDFLHPBO_05047,FNCGEDBI_01951
group_4767,,aldehyde dehydrogenase,5,5,1.0,18,62,,,,1491,1491,1491.0,GCDEOBMB_04892,DBBBBKPJ_04925,INHMNHHN_05258,PDFLHPBO_05010,FNCGEDBI_04921
group_4766,,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,5,5,1.0,18,61,,,,1491,1491,1491.0,GCDEOBMB_04857,DBBBBKPJ_04890,INHMNHHN_05223,PDFLHPBO_04975,FNCGEDBI_04956
mdcC,mdcC,malonate decarboxylase acyl carrier protein,5,5,1.0,18,60,,,,300,300,300.0,GCDEOBMB_04901,DBBBBKPJ_04934,INHMNHHN_05267,PDFLHPBO_05019,FNCGEDBI_04912
group_4765,,hypothetical protein,5,5,1.0,18,59,,,,702,702,702.0,GCDEOBMB_04855,DBBBBKPJ_04889,INHMNHHN_05221,PDFLHPBO_04974,FNCGEDBI_04958
tauD_2~~~tauD_3,tauD_2;tauD_3,taurine dioxygenase,5,5,1.0,18,58,,,,900,900,900.0,GCDEOBMB_04912,DBBBBKPJ_04945,INHMNHHN_01120,PDFLHPBO_05030,FNCGEDBI_01934
pcaF,pcaF,beta-ketoadipyl CoA thiolase,5,5,1.0,18,57,,,,1206,1206,1206.0,GCDEOBMB_04883,DBBBBKPJ_04916,INHMNHHN_05249,PDFLHPBO_05001,FNCGEDBI_04930
group_4764,,CoA transferase subunit A,5,5,1.0,18,56,,,,852,852,852.0,GCDEOBMB_04885,DBBBBKPJ_04918,INHMNHHN_05251,PDFLHPBO_05003,FNCGEDBI_04928
group_4763,,transcriptional regulator,5,5,1.0,18,55,,,,918,918,918.0,GCDEOBMB_04915,DBBBBKPJ_04948,INHMNHHN_01123,PDFLHPBO_05033,FNCGEDBI_01937
group_4762,,two-component response regulator,5,5,1.0,18,54,,,,366,366,366.0,GCDEOBMB_04926,DBBBBKPJ_04959,INHMNHHN_01135,PDFLHPBO_05045,FNCGEDBI_01949
group_4761,,major facilitator superfamily transporter,5,5,1.0,18,53,,,,1506,1506,1506.0,GCDEOBMB_04865,DBBBBKPJ_04898,INHMNHHN_05231,PDFLHPBO_04983,FNCGEDBI_04948
group_4760,,shikimate 5-dehydrogenase,5,5,1.0,18,52,,,,855,855,855.0,GCDEOBMB_04867,DBBBBKPJ_04900,INHMNHHN_05233,PDFLHPBO_04985,FNCGEDBI_04946
group_4759,,transcriptional regulator,5,5,1.0,18,51,,,,921,921,921.0,GCDEOBMB_04893,DBBBBKPJ_04926,INHMNHHN_05259,PDFLHPBO_05011,FNCGEDBI_04920
pcaK,pcaK,4-hydroxybenzoate transporter PcaK,5,5,1.0,18,50,,,,1347,1347,1347.0,GCDEOBMB_04876,DBBBBKPJ_04909,INHMNHHN_05242,PDFLHPBO_04994,FNCGEDBI_04937
group_4758,,transcriptional regulator,5,5,1.0,18,49,,,,780,780,780.0,GCDEOBMB_04875,DBBBBKPJ_04908,INHMNHHN_05241,PDFLHPBO_04993,FNCGEDBI_04938
pntAB,pntAB,NAD(P) transhydrogenase subunit alpha,5,5,1.0,18,47,,,,309,309,309.0,GCDEOBMB_04910,DBBBBKPJ_04943,INHMNHHN_01118,PDFLHPBO_05028,FNCGEDBI_01932
group_4756,,class II aldolase/adducin domain-containing protein,5,5,1.0,18,46,,,,783,783,783.0,GCDEOBMB_04887,DBBBBKPJ_04920,INHMNHHN_05253,PDFLHPBO_05005,FNCGEDBI_04926
group_4755,,CoA transferase subunit B,5,5,1.0,18,45,,,,783,783,783.0,GCDEOBMB_04884,DBBBBKPJ_04917,INHMNHHN_05250,PDFLHPBO_05002,FNCGEDBI_04929
IMPDH,IMPDH,Inosine-5'-monophosphate dehydrogenase,5,5,1.0,18,43,,,,435,435,435.0,GCDEOBMB_04861,DBBBBKPJ_04894,INHMNHHN_05227,PDFLHPBO_04979,FNCGEDBI_04952
group_4753,,hypothetical protein,5,5,1.0,18,42,,,,1905,1905,1905.0,GCDEOBMB_04869,DBBBBKPJ_04902,INHMNHHN_05235,PDFLHPBO_04987,FNCGEDBI_04944
