Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,0F525Q1V,4D4LKLYR,A4O0PUJ2,AWGWLE2V,UE20R4AD
infA,infA,translation initiation factor IF-1,5,5,1.0,22,6,,,,219,219,219.0,INHMNHHN_06098,FNCGEDBI_04493,PDFLHPBO_06166,DBBBBKPJ_06279,GCDEOBMB_06186
yqjG,yqjG,Glutathionyl-hydroquinone reductase YqjG,5,5,1.0,22,5,,,,975,975,975.0,0_refound_7,FNCGEDBI_06397,PDFLHPBO_06157,DBBBBKPJ_01267,GCDEOBMB_05876
group_4829,,arginyl-tRNA--protein transferase,5,5,1.0,22,4,,,,708,708,708.0,INHMNHHN_06097,FNCGEDBI_04492,PDFLHPBO_06165,DBBBBKPJ_06278,GCDEOBMB_06187
serS,serS,serine--tRNA ligase,5,5,1.0,22,3,,,,1281,1281,1281.0,INHMNHHN_06091,FNCGEDBI_06395,PDFLHPBO_06159,DBBBBKPJ_01265,GCDEOBMB_05878
group_4828,,sulfurtransferase TusD,5,5,1.0,22,2,,,,270,396,301.5,INHMNHHN_06258,1_refound_31,PDFLHPBO_06152,DBBBBKPJ_01271,GCDEOBMB_05872
group_4827,,recombination factor protein RarA,5,5,1.0,22,1,,,,1326,1326,1326.0,INHMNHHN_06092,FNCGEDBI_06394,PDFLHPBO_06160,DBBBBKPJ_01264,GCDEOBMB_05879
group_4824,,hypothetical protein,5,5,1.0,19,209,,,,534,534,534.0,INHMNHHN_05882,FNCGEDBI_05564,PDFLHPBO_01611,DBBBBKPJ_00592,GCDEOBMB_05355
group_4822,,transcriptional regulator,5,5,1.0,19,207,,,,894,894,894.0,INHMNHHN_05740,FNCGEDBI_05421,PDFLHPBO_03855,DBBBBKPJ_00452,GCDEOBMB_03098
ftsN_2,;ftsN_2,hypothetical protein;Cell division protein FtsN,5,5,1.0,19,206,,,,123,660,552.6,INHMNHHN_05752,FNCGEDBI_05433,PDFLHPBO_03867,DBBBBKPJ_00464,GCDEOBMB_05744
faoA,faoA,fatty acid oxidation complex subunit alpha,5,5,1.0,19,205,,,,2148,2148,2148.0,INHMNHHN_05852,FNCGEDBI_05534,PDFLHPBO_01581,DBBBBKPJ_00562,GCDEOBMB_05385
rpsA,rpsA,30S ribosomal protein S1,5,5,1.0,19,204,,,,1680,1680,1680.0,INHMNHHN_05703,FNCGEDBI_05385,PDFLHPBO_04015,DBBBBKPJ_00416,GCDEOBMB_03062
group_4821,,D-alanyl-D-alanine carboxypeptidase,5,5,1.0,19,203,,,,1431,1431,1431.0,INHMNHHN_05818,FNCGEDBI_05500,PDFLHPBO_01547,DBBBBKPJ_00528,GCDEOBMB_05419
group_4820,,ribosomal large subunit pseudouridine synthase B,5,5,1.0,19,202,,,,1161,1161,1161.0,INHMNHHN_05686,FNCGEDBI_05368,PDFLHPBO_04032,DBBBBKPJ_00399,GCDEOBMB_03045
nqrE,nqrE,Na(+)-translocating NADH-quinone reductase subunit E,5,5,1.0,19,200,,,,609,609,609.0,INHMNHHN_05871,FNCGEDBI_05553,PDFLHPBO_01600,DBBBBKPJ_00581,GCDEOBMB_05366
group_4818,,hypothetical protein,5,5,1.0,19,199,,,,459,477,473.4,INHMNHHN_05809,FNCGEDBI_05491,PDFLHPBO_01538,DBBBBKPJ_00519,GCDEOBMB_05428
group_4817,,ribosomal RNA large subunit methyltransferase K/L,5,5,1.0,19,198,,,,2178,2178,2178.0,INHMNHHN_05817,FNCGEDBI_05499,PDFLHPBO_01546,DBBBBKPJ_00527,GCDEOBMB_05420
group_4816,,hypothetical protein,5,5,1.0,19,197,,,,966,966,966.0,INHMNHHN_05776,FNCGEDBI_05457,PDFLHPBO_01504,DBBBBKPJ_00488,GCDEOBMB_05768
folC,folC,folylpolyglutamate synthetase,5,5,1.0,19,196,,,,1290,1290,1290.0,INHMNHHN_05751,FNCGEDBI_05432,PDFLHPBO_03866,DBBBBKPJ_00463,GCDEOBMB_03109
group_4815,,putative protein,5,5,1.0,19,195,,,,345,345,345.0,INHMNHHN_05819,FNCGEDBI_05501,PDFLHPBO_01548,DBBBBKPJ_00529,GCDEOBMB_05418
group_4814,,hypothetical protein,5,5,1.0,19,194,,,,222,222,222.0,INHMNHHN_05835,FNCGEDBI_05517,PDFLHPBO_01564,DBBBBKPJ_00545,GCDEOBMB_05402
moaB2,moaB2,molybdopterin biosynthesis protein B,5,5,1.0,19,192,,,,540,540,540.0,INHMNHHN_05837,FNCGEDBI_05519,PDFLHPBO_01566,DBBBBKPJ_00547,GCDEOBMB_05400
group_4812,,two-component sensor,5,5,1.0,19,191,,,,1296,1296,1296.0,INHMNHHN_05787,FNCGEDBI_05468,PDFLHPBO_01515,DBBBBKPJ_00499,GCDEOBMB_05448
group_4811,,glutathione S-transferase,5,5,1.0,19,190,,,,597,597,597.0,INHMNHHN_05830,FNCGEDBI_05512,PDFLHPBO_01559,DBBBBKPJ_00540,GCDEOBMB_05407
group_4810,,lipoprotein-releasing system ABC transporter ATP-binding protein,5,5,1.0,19,189,,,,684,684,684.0,INHMNHHN_05880,FNCGEDBI_05562,PDFLHPBO_01609,DBBBBKPJ_00590,GCDEOBMB_05357
lexA,lexA,LexA repressor,5,5,1.0,19,188,,,,615,615,615.0,INHMNHHN_05859,FNCGEDBI_05541,PDFLHPBO_01588,DBBBBKPJ_00569,GCDEOBMB_05378
group_4808,,transcriptional regulator,5,5,1.0,19,186,,,,543,543,543.0,INHMNHHN_05729,FNCGEDBI_05410,PDFLHPBO_03844,DBBBBKPJ_00441,GCDEOBMB_03087
foaB,foaB,3-ketoacyl-CoA thiolase,5,5,1.0,19,184,,,,1176,1176,1176.0,INHMNHHN_05853,FNCGEDBI_05535,PDFLHPBO_01582,DBBBBKPJ_00563,GCDEOBMB_05384
group_4807,,hypothetical protein,5,5,1.0,19,183,,,,309,309,309.0,INHMNHHN_05877,FNCGEDBI_05559,PDFLHPBO_01606,DBBBBKPJ_00587,GCDEOBMB_05360
group_4806,,hypothetical protein,5,5,1.0,19,182,,,,687,687,687.0,INHMNHHN_05848,FNCGEDBI_05530,PDFLHPBO_01577,DBBBBKPJ_00558,GCDEOBMB_05389
group_4805,,hypothetical protein,5,5,1.0,19,181,,,,228,228,228.0,INHMNHHN_05874,FNCGEDBI_05556,PDFLHPBO_01603,DBBBBKPJ_00584,GCDEOBMB_05363
dusC,dusC;,tRNA-dihydrouridine(16) synthase;tRNA-dihydrouridine synthase C,5,5,1.0,19,180,,,,960,1077,983.4,INHMNHHN_05733,FNCGEDBI_05414,PDFLHPBO_03848,DBBBBKPJ_00445,GCDEOBMB_03091
himD,himD,integration host factor subunit beta,5,5,1.0,19,179,,,,285,285,285.0,INHMNHHN_05704,FNCGEDBI_05386,PDFLHPBO_04014,DBBBBKPJ_00417,GCDEOBMB_03063
group_4804,,hypothetical protein,5,5,1.0,19,178,,,,231,231,231.0,INHMNHHN_05808,FNCGEDBI_05490,PDFLHPBO_01537,DBBBBKPJ_00518,GCDEOBMB_05429
group_4803,,hypothetical protein,5,5,1.0,19,177,,,,477,477,477.0,INHMNHHN_05810,FNCGEDBI_05492,PDFLHPBO_01539,DBBBBKPJ_00520,GCDEOBMB_05427
group_4802,,phosphoglycolate phosphatase,5,5,1.0,19,176,,,,672,672,672.0,INHMNHHN_05693,FNCGEDBI_05375,PDFLHPBO_04025,DBBBBKPJ_00406,GCDEOBMB_03052
group_4801,,transcriptional regulator,5,5,1.0,19,175,,,,729,729,729.0,INHMNHHN_05691,FNCGEDBI_05373,PDFLHPBO_04027,DBBBBKPJ_00404,GCDEOBMB_03050
group_4800,,hypothetical protein,5,5,1.0,19,174,,,,1761,1761,1761.0,INHMNHHN_05791,FNCGEDBI_05472,PDFLHPBO_01519,DBBBBKPJ_00504,GCDEOBMB_05444
group_4799,,hypothetical protein,5,5,1.0,19,173,,,,981,981,981.0,INHMNHHN_05795,FNCGEDBI_05476,PDFLHPBO_01523,DBBBBKPJ_00508,GCDEOBMB_05440
group_4798,,glyceraldehyde-3-phosphate dehydrogenase,5,5,1.0,19,172,,,,1467,1467,1467.0,INHMNHHN_05865,FNCGEDBI_05547,PDFLHPBO_01594,DBBBBKPJ_00575,GCDEOBMB_05372
apaH_2,;apaH_2,hypothetical protein;Bis(5'-nucleosyl)-tetraphosphatase symmetrical,5,5,1.0,19,171,,,,264,981,837.6,INHMNHHN_05778,FNCGEDBI_05459,PDFLHPBO_01506,DBBBBKPJ_00490,GCDEOBMB_05457
xcpQ,xcpQ,type II secretion system protein D,5,5,1.0,19,170,,,,1974,1977,1976.4,INHMNHHN_05757,FNCGEDBI_05438,PDFLHPBO_03872,DBBBBKPJ_00469,GCDEOBMB_05749
ycgJ,ycgJ,putative methyltransferase YcgJ,5,5,1.0,19,169,,,,762,762,762.0,INHMNHHN_05743,FNCGEDBI_05424,PDFLHPBO_03858,DBBBBKPJ_00455,GCDEOBMB_03101
group_4797,,hypothetical protein,5,5,1.0,19,168,,,,834,834,834.0,INHMNHHN_05781,FNCGEDBI_05462,PDFLHPBO_01509,DBBBBKPJ_00493,GCDEOBMB_05454
zwf,zwf,glucose-6-phosphate 1-dehydrogenase,5,5,1.0,19,167,,,,1470,1470,1470.0,INHMNHHN_05682,FNCGEDBI_05364,PDFLHPBO_04036,DBBBBKPJ_00395,GCDEOBMB_03041
group_4796,,hypothetical protein,5,5,1.0,19,166,,,,234,234,234.0,INHMNHHN_05857,FNCGEDBI_05539,PDFLHPBO_01586,DBBBBKPJ_00567,GCDEOBMB_05380
group_4795,,lipid kinase,5,5,1.0,19,165,,,,909,909,909.0,INHMNHHN_05843,FNCGEDBI_05525,PDFLHPBO_01572,DBBBBKPJ_00553,GCDEOBMB_05394
group_4794,,two-component response regulator,5,5,1.0,19,164,,,,624,624,624.0,INHMNHHN_05820,FNCGEDBI_05502,PDFLHPBO_01549,DBBBBKPJ_00530,GCDEOBMB_05417
group_4793,,hypothetical protein,5,5,1.0,19,163,,,,933,933,933.0,INHMNHHN_05829,FNCGEDBI_05511,PDFLHPBO_01558,DBBBBKPJ_00539,GCDEOBMB_05408
group_4791,,hypothetical protein,5,5,1.0,19,161,,,,2382,2382,2382.0,INHMNHHN_05786,FNCGEDBI_05467,PDFLHPBO_01514,DBBBBKPJ_00498,GCDEOBMB_05449
leuB,leuB,3-isopropylmalate dehydrogenase,5,5,1.0,19,160,,,,1083,1083,1083.0,INHMNHHN_05744,FNCGEDBI_05425,PDFLHPBO_03859,DBBBBKPJ_00456,GCDEOBMB_03102
group_4790,,oxidoreductase,5,5,1.0,19,159,,,,768,768,768.0,INHMNHHN_05756,FNCGEDBI_05437,PDFLHPBO_03871,DBBBBKPJ_00468,GCDEOBMB_05748
gltX,gltX,glutamate--tRNA ligase,5,5,1.0,19,158,,,,1485,1485,1485.0,INHMNHHN_05724,FNCGEDBI_05405,PDFLHPBO_03839,DBBBBKPJ_00436,GCDEOBMB_03082
pelE,pelE,pellicle/biofilm biosynthesis protein PelE,5,5,1.0,19,157,,,,990,990,990.0,INHMNHHN_05805,FNCGEDBI_05487,PDFLHPBO_01534,DBBBBKPJ_00515,GCDEOBMB_05432
group_4789,,hypothetical protein,5,5,1.0,19,156,,,,1329,1329,1329.0,INHMNHHN_05737,FNCGEDBI_05418,PDFLHPBO_03852,DBBBBKPJ_00449,GCDEOBMB_03095
serC,serC,3-phosphoserine/phosphohydroxythreonine aminotransferase,5,5,1.0,19,155,,,,1086,1086,1086.0,INHMNHHN_05698,FNCGEDBI_05380,PDFLHPBO_04020,DBBBBKPJ_00411,GCDEOBMB_03057
group_4788,,transcriptional regulator,5,5,1.0,19,154,,,,558,558,558.0,INHMNHHN_05831,FNCGEDBI_05513,PDFLHPBO_01560,DBBBBKPJ_00541,GCDEOBMB_05406
group_4787,,hypothetical protein,5,5,1.0,19,153,,,,1089,1089,1089.0,INHMNHHN_05789,FNCGEDBI_05470,PDFLHPBO_01517,DBBBBKPJ_00502,GCDEOBMB_05446
group_4786,,cell division inhibitor SulA,5,5,1.0,19,152,,,,486,486,486.0,INHMNHHN_05858,FNCGEDBI_05540,PDFLHPBO_01587,DBBBBKPJ_00568,GCDEOBMB_05379
group_4785,,deoxyguanosinetriphosphate triphosphohydrolase,5,5,1.0,19,151,,,,1332,1332,1332.0,INHMNHHN_05822,FNCGEDBI_05504,PDFLHPBO_01551,DBBBBKPJ_00532,GCDEOBMB_05415
group_4784,,hypothetical protein,5,5,1.0,19,150,,,,771,771,771.0,INHMNHHN_05796,FNCGEDBI_05477,PDFLHPBO_01524,DBBBBKPJ_00509,GCDEOBMB_05439
group_4783,,hypothetical protein,5,5,1.0,19,149,,,,222,282,270.0,INHMNHHN_05814,FNCGEDBI_05496,PDFLHPBO_01543,DBBBBKPJ_00524,GCDEOBMB_05423
group_4782,,hypothetical protein,5,5,1.0,19,147,,,,630,630,630.0,INHMNHHN_05863,FNCGEDBI_05545,PDFLHPBO_01592,DBBBBKPJ_00573,GCDEOBMB_05374
psrA,psrA,transcriptional regulator PsrA,5,5,1.0,19,145,,,,702,702,702.0,INHMNHHN_05860,FNCGEDBI_05542,PDFLHPBO_01589,DBBBBKPJ_00570,GCDEOBMB_05377
hisC2,hisC2,histidinol-phosphate aminotransferase,5,5,1.0,19,144,,,,1110,1146,1131.6,INHMNHHN_05700,FNCGEDBI_05382,PDFLHPBO_04018,DBBBBKPJ_00413,GCDEOBMB_03059
nqrA,nqrA,Na(+)-translocating NADH-quinone reductase subunit A,5,5,1.0,19,143,,,,1338,1338,1338.0,INHMNHHN_05867,FNCGEDBI_05549,PDFLHPBO_01596,DBBBBKPJ_00577,GCDEOBMB_05370
yeaD_2,yeaD_2,Putative glucose-6-phosphate 1-epimerase,5,5,1.0,19,142,,,,852,852,852.0,INHMNHHN_05680,FNCGEDBI_05362,PDFLHPBO_04038,DBBBBKPJ_00393,GCDEOBMB_03039
xcpX,xcpX,type II secretion system protein K,5,5,1.0,19,141,,,,984,1002,998.4,INHMNHHN_05765,FNCGEDBI_05446,PDFLHPBO_03880,DBBBBKPJ_00477,GCDEOBMB_05757
group_4780,hcf136_2,Ycf48-like protein,5,5,1.0,19,140,,,,1098,1098,1098.0,INHMNHHN_05785,FNCGEDBI_05466,PDFLHPBO_01513,DBBBBKPJ_00497,GCDEOBMB_05450
pheA,pheA,bifunctional chorismate mutase/prephenate dehydratase,5,5,1.0,19,137,,,,1098,1098,1098.0,INHMNHHN_05699,FNCGEDBI_05381,PDFLHPBO_04019,DBBBBKPJ_00412,GCDEOBMB_03058
nagZ,nagZ,beta-hexosaminidase,5,5,1.0,19,135,,,,999,999,999.0,INHMNHHN_05861,FNCGEDBI_05543,PDFLHPBO_01590,DBBBBKPJ_00571,GCDEOBMB_05376
purF,purF,amidophosphoribosyltransferase,5,5,1.0,19,134,,,,1506,1506,1506.0,INHMNHHN_05754,FNCGEDBI_05435,PDFLHPBO_03869,DBBBBKPJ_00466,GCDEOBMB_05746
group_4778,,transporter,5,5,1.0,19,133,,,,1209,1209,1209.0,INHMNHHN_05826,FNCGEDBI_05508,PDFLHPBO_01555,DBBBBKPJ_00536,GCDEOBMB_05411
xcpR,xcpR,type II secretion system protein E,5,5,1.0,19,131,,,,1509,1509,1509.0,INHMNHHN_05759,FNCGEDBI_05440,PDFLHPBO_03874,DBBBBKPJ_00471,GCDEOBMB_05751
xcpT,xcpT,type II secretion system protein G,5,5,1.0,19,130,,,,429,429,429.0,INHMNHHN_05761,FNCGEDBI_05442,PDFLHPBO_03876,DBBBBKPJ_00473,GCDEOBMB_05753
topA_3,topA_3,DNA topoisomerase I,5,5,1.0,19,129,,,,2607,2607,2607.0,INHMNHHN_05855,FNCGEDBI_05537,PDFLHPBO_01584,DBBBBKPJ_00565,GCDEOBMB_05382
group_4777,,hypothetical protein,5,5,1.0,19,128,,,,495,495,495.0,INHMNHHN_05793,FNCGEDBI_05474,PDFLHPBO_01521,DBBBBKPJ_00506,GCDEOBMB_05442
apbE,apbE,FAD:protein FMN transferase,5,5,1.0,19,127,,,,1002,1002,1002.0,INHMNHHN_05873,FNCGEDBI_05555,PDFLHPBO_01602,DBBBBKPJ_00583,GCDEOBMB_05364
nqrB,nqrB,Na(+)-translocating NADH-quinone reductase subunit B,5,5,1.0,19,126,,,,1212,1212,1212.0,INHMNHHN_05868,FNCGEDBI_05550,PDFLHPBO_01597,DBBBBKPJ_00578,GCDEOBMB_05369
group_4776,,hydrolase,5,5,1.0,19,125,,,,1002,1002,1002.0,INHMNHHN_05812,FNCGEDBI_05494,PDFLHPBO_01541,DBBBBKPJ_00522,GCDEOBMB_05425
metZ,metZ,O-succinylhomoserine sulfhydrylase,5,5,1.0,19,124,,,,1212,1212,1212.0,INHMNHHN_05755,FNCGEDBI_05436,PDFLHPBO_03870,DBBBBKPJ_00467,GCDEOBMB_05747
group_4775,,transcriptional regulator,5,5,1.0,19,123,,,,921,921,921.0,INHMNHHN_05723,FNCGEDBI_05404,PDFLHPBO_03838,DBBBBKPJ_00435,GCDEOBMB_03081
trpF,trpF,N-(5'-phosphoribosyl)anthranilate isomerase,5,5,1.0,19,122,,,,636,636,636.0,INHMNHHN_05749,FNCGEDBI_05430,PDFLHPBO_03864,DBBBBKPJ_00461,GCDEOBMB_03107
group_4774,,hydrolase,5,5,1.0,19,121,,,,858,858,858.0,INHMNHHN_05730,FNCGEDBI_05411,PDFLHPBO_03845,DBBBBKPJ_00442,GCDEOBMB_03088
group_4772,,HTH-type transcriptional regulator,5,5,1.0,19,119,,,,858,858,858.0,INHMNHHN_05681,FNCGEDBI_05363,PDFLHPBO_04037,DBBBBKPJ_00394,GCDEOBMB_03040
pepN,pepN,aminopeptidase,5,5,1.0,19,118,,,,2658,2658,2658.0,INHMNHHN_05782,FNCGEDBI_05463,PDFLHPBO_01510,DBBBBKPJ_00494,GCDEOBMB_05453
pgl,pgl,6-phosphogluconolactonase,5,5,1.0,19,116,,,,717,717,717.0,INHMNHHN_05683,FNCGEDBI_05365,PDFLHPBO_04035,DBBBBKPJ_00396,GCDEOBMB_03042
pelF,pelF,pellicle/biofilm biosynthesis glycosyltransferase PelF,5,5,1.0,19,115,,,,1524,1524,1524.0,INHMNHHN_05806,FNCGEDBI_05488,PDFLHPBO_01535,DBBBBKPJ_00516,GCDEOBMB_05431
xcpW,xcpW,type II secretion system protein J,5,5,1.0,19,114,,,,714,714,714.0,INHMNHHN_05764,FNCGEDBI_05445,PDFLHPBO_03879,DBBBBKPJ_00476,GCDEOBMB_05756
leuD,leuD,isopropylmalate isomerase small subunit,5,5,1.0,19,113,,,,639,639,639.0,INHMNHHN_05742,FNCGEDBI_05423,PDFLHPBO_03857,DBBBBKPJ_00454,GCDEOBMB_03100
glpG,glpG,Rhomboid protease GlpG,5,5,1.0,19,112,,,,861,861,861.0,INHMNHHN_05779,FNCGEDBI_05460,PDFLHPBO_01507,DBBBBKPJ_00491,GCDEOBMB_05456
group_4770,,two-component sensor,5,5,1.0,19,111,,,,2226,2226,2226.0,INHMNHHN_05821,FNCGEDBI_05503,PDFLHPBO_01550,DBBBBKPJ_00531,GCDEOBMB_05416
group_4769,,hypothetical protein,5,5,1.0,19,110,,,,1905,1905,1905.0,INHMNHHN_05811,FNCGEDBI_05493,PDFLHPBO_01540,DBBBBKPJ_00521,GCDEOBMB_05426
xcpS_2,xcpS_2,type II secretion system protein F,5,5,1.0,19,109,,,,1218,1218,1218.0,INHMNHHN_05760,FNCGEDBI_05441,PDFLHPBO_03875,DBBBBKPJ_00472,GCDEOBMB_05752
group_4768,,hypothetical protein,5,5,1.0,19,107,,,,435,435,435.0,INHMNHHN_05850,FNCGEDBI_05532,PDFLHPBO_01579,DBBBBKPJ_00560,GCDEOBMB_05387
group_4767,,transcriptional regulator,5,5,1.0,19,106,,,,927,927,927.0,INHMNHHN_05738,FNCGEDBI_05419,PDFLHPBO_03853,DBBBBKPJ_00450,GCDEOBMB_03096
nqrC,nqrC,Na(+)-translocating NADH-quinone reductase subunit C,5,5,1.0,19,105,,,,786,786,786.0,INHMNHHN_05869,FNCGEDBI_05551,PDFLHPBO_01598,DBBBBKPJ_00579,GCDEOBMB_05368
group_4766,,hypothetical protein,5,5,1.0,19,104,,,,240,240,240.0,INHMNHHN_05832,FNCGEDBI_05514,PDFLHPBO_01561,DBBBBKPJ_00542,GCDEOBMB_05405
group_4765,,1-aminocyclopropane-1-carboxylate deaminase,5,5,1.0,19,103,,,,900,933,926.4,INHMNHHN_05775,FNCGEDBI_05456,PDFLHPBO_01503,DBBBBKPJ_00487,GCDEOBMB_05767
fimV,fimV,motility protein FimV,5,5,1.0,19,102,,,,2775,2775,2775.0,INHMNHHN_05747,FNCGEDBI_05428,PDFLHPBO_03862,DBBBBKPJ_00459,GCDEOBMB_03105
gyrA,gyrA,DNA gyrase subunit A,5,5,1.0,19,101,,,,2778,2778,2778.0,INHMNHHN_05697,FNCGEDBI_05379,PDFLHPBO_04021,DBBBBKPJ_00410,GCDEOBMB_03056
nqrF,nqrF,Na(+)-translocating NADH-quinone reductase subunit F,5,5,1.0,19,100,,,,1224,1224,1224.0,INHMNHHN_05872,FNCGEDBI_05554,PDFLHPBO_01601,DBBBBKPJ_00582,GCDEOBMB_05365
asd,asd,aspartate-semialdehyde dehydrogenase,5,5,1.0,19,99,,,,1113,1113,1113.0,INHMNHHN_05745,FNCGEDBI_05426,PDFLHPBO_03860,DBBBBKPJ_00457,GCDEOBMB_03103
cmk,cmk,cytidylate kinase,5,5,1.0,19,98,,,,690,690,690.0,INHMNHHN_05702,FNCGEDBI_05384,PDFLHPBO_04016,DBBBBKPJ_00415,GCDEOBMB_03061
group_4764,,ABC transporter ATP-binding protein,5,5,1.0,19,97,,,,1923,1923,1923.0,INHMNHHN_05847,FNCGEDBI_05529,PDFLHPBO_01576,DBBBBKPJ_00557,GCDEOBMB_05390
group_4763,,hypothetical protein,5,5,1.0,19,96,,,,375,375,375.0,INHMNHHN_05854,FNCGEDBI_05536,PDFLHPBO_01583,DBBBBKPJ_00564,GCDEOBMB_05383
group_4762,,aspartate-semialdehyde dehydrogenase,5,5,1.0,19,95,,,,1011,1011,1011.0,INHMNHHN_05746,FNCGEDBI_05427,PDFLHPBO_03861,DBBBBKPJ_00458,GCDEOBMB_03104
group_4761,,hypothetical protein,5,5,1.0,19,94,,,,921,924,923.4,INHMNHHN_05688,FNCGEDBI_05370,PDFLHPBO_04030,DBBBBKPJ_00401,GCDEOBMB_03047
uspA2,uspA2,Universal stress protein A,5,5,1.0,19,93,,,,438,438,438.0,INHMNHHN_05849,FNCGEDBI_05531,PDFLHPBO_01578,DBBBBKPJ_00559,GCDEOBMB_05388
group_4760,,hypothetical protein,5,5,1.0,19,92,,,,438,438,438.0,INHMNHHN_05732,FNCGEDBI_05413,PDFLHPBO_03847,DBBBBKPJ_00444,GCDEOBMB_03090
group_4758,,hypothetical protein,5,5,1.0,19,90,,,,438,438,438.0,INHMNHHN_05685,FNCGEDBI_05367,PDFLHPBO_04033,DBBBBKPJ_00398,GCDEOBMB_03044
group_4757,,hypothetical protein,5,5,1.0,19,89,,,,867,867,867.0,INHMNHHN_05828,FNCGEDBI_05510,PDFLHPBO_01557,DBBBBKPJ_00538,GCDEOBMB_05409
group_4756,,lytic transglycosylase,5,5,1.0,19,88,,,,1929,1929,1929.0,INHMNHHN_05846,FNCGEDBI_05528,PDFLHPBO_01575,DBBBBKPJ_00556,GCDEOBMB_05391
group_4755,,hypothetical protein,5,5,1.0,19,87,,,,2847,2847,2847.0,INHMNHHN_05801,FNCGEDBI_05483,PDFLHPBO_01530,DBBBBKPJ_00511,GCDEOBMB_05436
group_4754,,carbohydrate kinase,5,5,1.0,19,86,,,,1560,1560,1560.0,INHMNHHN_05842,FNCGEDBI_05524,PDFLHPBO_01571,DBBBBKPJ_00552,GCDEOBMB_05395
