locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJBIBFBA_00044	CDS	807	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
AJBIBFBA_00045	CDS	717	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
AJBIBFBA_00046	CDS	678	yecS_1		COG0765	L-cystine transport system permease protein YecS
AJBIBFBA_00047	CDS	885				hypothetical protein
AJBIBFBA_00048	CDS	1596	pdeB_1	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
AJBIBFBA_00049	CDS	876	garR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
AJBIBFBA_00050	CDS	345				hypothetical protein
AJBIBFBA_00051	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
AJBIBFBA_00052	CDS	585	nemR_1			HTH-type transcriptional repressor NemR
AJBIBFBA_00053	CDS	1254	hcnC_1	1.4.99.5	COG0665	Hydrogen cyanide synthase subunit HcnC
AJBIBFBA_00054	CDS	1395	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
AJBIBFBA_00055	CDS	315	hcnA_1	1.4.99.5	COG0446	Hydrogen cyanide synthase subunit HcnA
AJBIBFBA_00056	CDS	267				hypothetical protein
AJBIBFBA_00057	CDS	414	hrp1_1		COG0517	Hypoxic response protein 1
AJBIBFBA_00058	CDS	747				hypothetical protein
AJBIBFBA_00059	CDS	360				hypothetical protein
AJBIBFBA_00060	CDS	555	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
AJBIBFBA_00061	CDS	423				hypothetical protein
AJBIBFBA_00062	CDS	1215	gshA_1	6.3.2.2		Glutamate--cysteine ligase
AJBIBFBA_00063	CDS	1377				hypothetical protein
AJBIBFBA_00064	CDS	951	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
AJBIBFBA_00065	CDS	231				hypothetical protein
AJBIBFBA_00066	CDS	609	yohC_1			Inner membrane protein YohC
AJBIBFBA_00067	CDS	1953	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
AJBIBFBA_00068	CDS	591				hypothetical protein
AJBIBFBA_00069	CDS	348				hypothetical protein
AJBIBFBA_00070	CDS	264				hypothetical protein
AJBIBFBA_00071	CDS	222				hypothetical protein
AJBIBFBA_00072	CDS	351				hypothetical protein
AJBIBFBA_00073	CDS	1077				hypothetical protein
AJBIBFBA_00074	CDS	471			COG5592	DNA nickase
AJBIBFBA_00075	CDS	453				hypothetical protein
AJBIBFBA_00076	CDS	777				hypothetical protein
AJBIBFBA_00077	CDS	1098				hypothetical protein
AJBIBFBA_00078	CDS	366				hypothetical protein
AJBIBFBA_00079	CDS	1605	glgA	2.4.1.21	COG0297	Glycogen synthase
AJBIBFBA_00080	CDS	1755	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
AJBIBFBA_00081	CDS	2055	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
AJBIBFBA_00082	CDS	2781				hypothetical protein
AJBIBFBA_00083	CDS	306				hypothetical protein
AJBIBFBA_00084	CDS	2151	glgX	3.2.1.-	COG1523	Glycogen operon protein GlgX 
AJBIBFBA_00085	CDS	417	hrp1_2		COG0517	Hypoxic response protein 1
AJBIBFBA_00086	CDS	1248		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
AJBIBFBA_00087	CDS	939				hypothetical protein
AJBIBFBA_00088	CDS	738				hypothetical protein
AJBIBFBA_00089	CDS	1206	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
AJBIBFBA_00090	CDS	996	ybhN		COG0392	Inner membrane protein YbhN
AJBIBFBA_00091	CDS	2199	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
AJBIBFBA_00092	CDS	3303		2.7.1.8		Glucosamine kinase
AJBIBFBA_00093	CDS	1995	glgE2	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 2
AJBIBFBA_00094	CDS	882	ku		COG1273	Non-homologous end joining protein Ku
AJBIBFBA_00095	CDS	243				hypothetical protein
AJBIBFBA_00096	CDS	492				hypothetical protein
AJBIBFBA_00097	CDS	135				hypothetical protein
AJBIBFBA_00098	CDS	2130	katE	1.11.1.6	COG0753	Catalase HPII
AJBIBFBA_00099	CDS	168				hypothetical protein
AJBIBFBA_00100	CDS	165				hypothetical protein
AJBIBFBA_00101	CDS	399				hypothetical protein
AJBIBFBA_00102	CDS	2439	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
AJBIBFBA_00103	CDS	288				hypothetical protein
AJBIBFBA_00104	CDS	189				hypothetical protein
AJBIBFBA_00105	CDS	861	ydaD	1.-.-.-		General stress protein 39
AJBIBFBA_00106	CDS	519	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
AJBIBFBA_00107	CDS	240				hypothetical protein
AJBIBFBA_00108	CDS	216				hypothetical protein
AJBIBFBA_00109	CDS	2523	ligD		COG1793	Multifunctional non-homologous end joining protein LigD
AJBIBFBA_00110	CDS	390				hypothetical protein
AJBIBFBA_00111	CDS	525				hypothetical protein
AJBIBFBA_00112	CDS	450				hypothetical protein
AJBIBFBA_00113	CDS	1365				hypothetical protein
AJBIBFBA_00114	CDS	525				hypothetical protein
AJBIBFBA_00115	CDS	858	pdeB_2	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeB
AJBIBFBA_00116	CDS	648	yadV_1			putative fimbrial chaperone YadV
AJBIBFBA_00117	CDS	1362				hypothetical protein
AJBIBFBA_00118	CDS	2619	elfC		COG3188	putative outer membrane usher protein ElfC
AJBIBFBA_00119	CDS	747	yadV_2			putative fimbrial chaperone YadV
AJBIBFBA_00120	CDS	483				hypothetical protein
AJBIBFBA_00121	CDS	1227				hypothetical protein
AJBIBFBA_00122	CDS	636	ybdM		COG1475	putative protein YbdM
AJBIBFBA_00123	CDS	1449	gbsA_1	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
AJBIBFBA_00124	CDS	1638	betA_1	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
AJBIBFBA_00125	CDS	933	dmlR_1			HTH-type transcriptional regulator DmlR
AJBIBFBA_00126	CDS	1128				hypothetical protein
AJBIBFBA_00127	CDS	906	leuO			HTH-type transcriptional regulator LeuO
AJBIBFBA_00128	CDS	429				hypothetical protein
AJBIBFBA_00129	CDS	1113				hypothetical protein
AJBIBFBA_00130	CDS	243				hypothetical protein
AJBIBFBA_00131	CDS	1077	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
AJBIBFBA_00132	CDS	984				hypothetical protein
AJBIBFBA_00133	CDS	798		4.2.1.-	COG4336	Putative hydro-lyase
AJBIBFBA_00134	CDS	1047	hdfR_1			HTH-type transcriptional regulator HdfR
AJBIBFBA_00135	CDS	1272	yjhB_1			Putative metabolite transport protein YjhB
AJBIBFBA_00136	CDS	1230	nicP_2			Porin-like protein NicP
AJBIBFBA_00137	CDS	744	pxpA3_1	3.5.2.9	COG1540	5-oxoprolinase subunit A 3
AJBIBFBA_00138	CDS	714	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
AJBIBFBA_00139	CDS	942	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
AJBIBFBA_00140	CDS	477				hypothetical protein
AJBIBFBA_00141	CDS	1773	ydaP		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
AJBIBFBA_00142	CDS	399				hypothetical protein
AJBIBFBA_00143	CDS	759				hypothetical protein
AJBIBFBA_00144	CDS	957	lipR	3.1.1.-	COG0657	Putative acetyl-hydrolase LipR
AJBIBFBA_00145	CDS	1476		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
AJBIBFBA_00146	CDS	1035				putative HTH-type transcriptional regulator
AJBIBFBA_00147	CDS	846				hypothetical protein
AJBIBFBA_00148	CDS	957				hypothetical protein
AJBIBFBA_00149	CDS	510	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
AJBIBFBA_00150	CDS	1197	pbuE_1		COG2814	Purine efflux pump PbuE
AJBIBFBA_00151	CDS	1284				hypothetical protein
AJBIBFBA_00152	CDS	1080	ssuD_1	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
AJBIBFBA_00153	CDS	2652	pfeA_1		COG4771	Ferric enterobactin receptor
AJBIBFBA_00154	CDS	849	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
AJBIBFBA_00155	CDS	657				hypothetical protein
AJBIBFBA_00156	CDS	903		3.8.1.3	COG0596	Fluoroacetate dehalogenase
AJBIBFBA_00157	CDS	510	cmtAc			p-cumate 2,3-dioxygenase system, small oxygenase component
AJBIBFBA_00158	CDS	1833	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
AJBIBFBA_00159	CDS	1275	cmtAb	1.14.12.25	COG4638	p-cumate 2,3-dioxygenase system, large oxygenase component
AJBIBFBA_00160	CDS	477	lrp_1		COG1522	Leucine-responsive regulatory protein
AJBIBFBA_00161	CDS	642	kynB	3.5.1.9	COG1878	Kynurenine formamidase
AJBIBFBA_00162	CDS	1251	kynU	3.7.1.3		Kynureninase
AJBIBFBA_00163	CDS	1407	aroP_1		COG1113	Aromatic amino acid transport protein AroP
AJBIBFBA_00164	CDS	1875				hypothetical protein
AJBIBFBA_00165	CDS	1905				hypothetical protein
AJBIBFBA_00166	CDS	951	catM			HTH-type transcriptional regulator CatM
AJBIBFBA_00167	CDS	210				hypothetical protein
AJBIBFBA_00168	CDS	1008				hypothetical protein
AJBIBFBA_00169	CDS	1071				hypothetical protein
AJBIBFBA_00170	CDS	873	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
AJBIBFBA_00171	CDS	540				hypothetical protein
AJBIBFBA_00172	CDS	1410	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
AJBIBFBA_00173	CDS	417				hypothetical protein
AJBIBFBA_00174	CDS	2193	cntO_1			Metal-pseudopaline receptor CntO
AJBIBFBA_00175	CDS	1479				hypothetical protein
AJBIBFBA_00176	CDS	621	rutR_1		COG1309	HTH-type transcriptional regulator RutR
AJBIBFBA_00177	CDS	1272	codA	3.5.4.1	COG0402	Cytosine deaminase
AJBIBFBA_00178	CDS	1251	codB		COG1457	Cytosine permease
AJBIBFBA_00179	CDS	1275	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
AJBIBFBA_00180	CDS	1368	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
AJBIBFBA_00181	CDS	1440	dht	3.5.2.2	COG0044	D-hydantoinase/dihydropyrimidinase
AJBIBFBA_00182	CDS	1491	pucI_1		COG1953	putative allantoin permease
AJBIBFBA_00183	CDS	1284	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
AJBIBFBA_00184	CDS	1224	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
AJBIBFBA_00185	CDS	1182	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
AJBIBFBA_00186	CDS	909	gcvA_1			Glycine cleavage system transcriptional activator
AJBIBFBA_00187	CDS	405				hypothetical protein
AJBIBFBA_00188	CDS	1623	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
AJBIBFBA_00189	CDS	735				hypothetical protein
AJBIBFBA_00190	CDS	618				hypothetical protein
AJBIBFBA_00191	CDS	792				hypothetical protein
AJBIBFBA_00192	CDS	732				hypothetical protein
AJBIBFBA_00193	CDS	2202	yccS		COG1289	Inner membrane protein YccS
AJBIBFBA_00194	CDS	1377	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
AJBIBFBA_00195	CDS	210	cspA_1		COG1278	Major cold shock protein CspA
AJBIBFBA_00196	CDS	525				hypothetical protein
AJBIBFBA_00197	CDS	1434	hsrA			putative transport protein HsrA
AJBIBFBA_00198	CDS	2799	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
AJBIBFBA_00199	CDS	579				hypothetical protein
AJBIBFBA_00200	CDS	888	yihG_1	2.3.-.-	COG0204	putative acyltransferase YihG
AJBIBFBA_00201	CDS	510				hypothetical protein
AJBIBFBA_00202	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
AJBIBFBA_00203	CDS	1425	creC	2.7.13.3	COG0642	Sensor protein CreC
AJBIBFBA_00204	CDS	1359	creD		COG4452	Inner membrane protein CreD
AJBIBFBA_00205	CDS	303				hypothetical protein
AJBIBFBA_00206	CDS	186				hypothetical protein
AJBIBFBA_00207	CDS	621	yibF		COG0625	putative GST-like protein YibF
AJBIBFBA_00208	CDS	951	vgb	4.2.99.-		Virginiamycin B lyase
AJBIBFBA_00209	CDS	858				hypothetical protein
AJBIBFBA_00210	CDS	2394	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
AJBIBFBA_00211	CDS	972	fecR_1		COG3712	Protein FecR
AJBIBFBA_00212	CDS	519	fecI_2		COG1595	putative RNA polymerase sigma factor FecI
AJBIBFBA_00213	CDS	750				hypothetical protein
AJBIBFBA_00214	CDS	402				hypothetical protein
AJBIBFBA_00215	CDS	570	yxaF_1			putative HTH-type transcriptional regulator YxaF
AJBIBFBA_00216	CDS	1728	pucI_2		COG1953	putative allantoin permease
AJBIBFBA_00217	CDS	927	pcpR_1			PCP degradation transcriptional activation protein
AJBIBFBA_00218	CDS	477				hypothetical protein
AJBIBFBA_00219	CDS	939	yhaJ_1			HTH-type transcriptional regulator YhaJ
AJBIBFBA_00220	CDS	798	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
AJBIBFBA_00221	CDS	444				hypothetical protein
AJBIBFBA_00222	CDS	2178	glcB	2.3.3.9	COG2225	Malate synthase G
AJBIBFBA_00223	CDS	444				hypothetical protein
AJBIBFBA_00224	CDS	516				hypothetical protein
AJBIBFBA_00225	CDS	897	rarD_1		COG2962	Protein RarD
AJBIBFBA_00226	CDS	975	rdoA	2.7.11.1	COG2334	Serine/threonine protein kinase RdoA
AJBIBFBA_00227	CDS	759	modE		COG2005	DNA-binding transcriptional dual regulator ModE
AJBIBFBA_00228	CDS	321				hypothetical protein
AJBIBFBA_00229	CDS	726				hypothetical protein
AJBIBFBA_00230	CDS	294				hypothetical protein
AJBIBFBA_00231	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
AJBIBFBA_00232	CDS	759	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
AJBIBFBA_00233	CDS	249	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
AJBIBFBA_00234	CDS	1377	accC_1	6.3.4.14	COG0439	Biotin carboxylase
AJBIBFBA_00235	CDS	879	pxpB_2	3.5.2.9	COG2049	5-oxoprolinase subunit B
AJBIBFBA_00236	CDS	978	pxpC_2	3.5.2.9	COG1984	5-oxoprolinase subunit C
AJBIBFBA_00237	CDS	210				hypothetical protein
AJBIBFBA_00238	CDS	1059	bioB	2.8.1.6	COG0502	Biotin synthase
AJBIBFBA_00239	CDS	1206	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
AJBIBFBA_00240	CDS	723	bioH	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
AJBIBFBA_00241	CDS	825	bioC	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
AJBIBFBA_00242	CDS	687	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
AJBIBFBA_00243	CDS	231				hypothetical protein
AJBIBFBA_00244	CDS	1806	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
AJBIBFBA_00245	CDS	1797	dmdC_2	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
AJBIBFBA_00246	CDS	1779	dmdC_3	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
AJBIBFBA_00247	CDS	1482	nirS_1	1.7.2.1	COG2010	Nitrite reductase
AJBIBFBA_00248	CDS	840	cysG_1		COG0007	Siroheme synthase
AJBIBFBA_00249	CDS	1164	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
AJBIBFBA_00250	CDS	516				hypothetical protein
AJBIBFBA_00251	CDS	444				hypothetical protein
AJBIBFBA_00252	CDS	525				hypothetical protein
AJBIBFBA_00253	CDS	453				hypothetical protein
AJBIBFBA_00254	CDS	1179				hypothetical protein
AJBIBFBA_00255	CDS	360				hypothetical protein
AJBIBFBA_00256	CDS	315	nirM		COG4654	Cytochrome c-551
AJBIBFBA_00257	CDS	1707	nirS_2	1.7.2.1	COG2010	Nitrite reductase
AJBIBFBA_00258	CDS	783	nirQ		COG0714	Denitrification regulatory protein NirQ
AJBIBFBA_00259	CDS	573	qoxC	1.10.3.-		Quinol oxidase subunit 3
AJBIBFBA_00260	CDS	258				hypothetical protein
AJBIBFBA_00261	CDS	441	norC		COG2010	Nitric oxide reductase subunit C
AJBIBFBA_00262	CDS	1398	norB	1.7.2.5	COG3256	Nitric oxide reductase subunit B
AJBIBFBA_00263	CDS	1839				hypothetical protein
AJBIBFBA_00264	CDS	195				hypothetical protein
AJBIBFBA_00265	CDS	684	glxR_1		COG0664	CRP-like cAMP-activated global transcriptional regulator
AJBIBFBA_00266	CDS	879	cynR_1			HTH-type transcriptional regulator CynR
AJBIBFBA_00267	CDS	702	yiiM_1		COG2258	Protein YiiM
AJBIBFBA_00268	CDS	237				hypothetical protein
AJBIBFBA_00269	CDS	1182	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
AJBIBFBA_00270	CDS	717				hypothetical protein
AJBIBFBA_00271	CDS	264				hypothetical protein
AJBIBFBA_00272	CDS	1491	malT_1			HTH-type transcriptional regulator MalT
AJBIBFBA_00273	CDS	1290	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
AJBIBFBA_00274	CDS	555				hypothetical protein
AJBIBFBA_00275	CDS	1026				hypothetical protein
AJBIBFBA_00276	CDS	609	lemA_1		COG1704	Protein LemA
AJBIBFBA_00277	CDS	582	dsbB_1			Disulfide bond formation protein B
AJBIBFBA_00278	CDS	831				hypothetical protein
AJBIBFBA_00279	CDS	387				hypothetical protein
AJBIBFBA_00280	CDS	459				hypothetical protein
AJBIBFBA_00281	CDS	420	yqjC			Protein YqjC
AJBIBFBA_00282	CDS	969				hypothetical protein
AJBIBFBA_00283	CDS	744	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
AJBIBFBA_00284	CDS	1305		1.14.13.239		Carnitine monooxygenase reductase subunit
AJBIBFBA_00285	CDS	1191	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
AJBIBFBA_00286	CDS	1002	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
AJBIBFBA_00287	CDS	1998	tktA	2.2.1.1	COG0021	Transketolase 1
AJBIBFBA_00288	CDS	1065				hypothetical protein
AJBIBFBA_00289	CDS	798	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
AJBIBFBA_00290	CDS	1062	epd_1	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
AJBIBFBA_00291	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
AJBIBFBA_00292	CDS	201				hypothetical protein
AJBIBFBA_00293	CDS	342				hypothetical protein
AJBIBFBA_00294	CDS	1065	cbbA	4.1.2.13		Fructose-bisphosphate aldolase
AJBIBFBA_00295	CDS	483				hypothetical protein
AJBIBFBA_00296	CDS	426				hypothetical protein
AJBIBFBA_00297	CDS	768		2.1.1.-	COG0500	putative methyltransferase
AJBIBFBA_00298	CDS	1179			COG2081	putative protein
AJBIBFBA_00299	CDS	489	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
AJBIBFBA_00300	CDS	696	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
AJBIBFBA_00301	CDS	354	yhaI		COG3152	Inner membrane protein YhaI
AJBIBFBA_00302	CDS	912	mtrA_1			HTH-type transcriptional regulator MtrA
AJBIBFBA_00303	CDS	339				hypothetical protein
AJBIBFBA_00304	CDS	516				hypothetical protein
AJBIBFBA_00305	CDS	159				hypothetical protein
AJBIBFBA_00306	CDS	459				hypothetical protein
AJBIBFBA_00307	CDS	471				hypothetical protein
AJBIBFBA_00308	CDS	348				hypothetical protein
AJBIBFBA_00309	CDS	615				hypothetical protein
AJBIBFBA_00310	CDS	2727	impA	3.4.24.-		Immunomodulating metalloprotease
AJBIBFBA_00311	CDS	336				hypothetical protein
AJBIBFBA_00312	CDS	1122				hypothetical protein
AJBIBFBA_00313	tRNA	77				tRNA-Met(cat)
AJBIBFBA_00314	CDS	3738				hypothetical protein
AJBIBFBA_00315	CDS	1854	rpoD		COG0568	RNA polymerase sigma factor RpoD
AJBIBFBA_00316	CDS	1995	dnaG	2.7.7.-	COG0358	DNA primase
AJBIBFBA_00317	CDS	450	yqeY		COG1610	putative protein YqeY
AJBIBFBA_00318	CDS	216	rpsU		COG0828	30S ribosomal protein S21
AJBIBFBA_00319	CDS	1026	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
AJBIBFBA_00320	CDS	570	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
AJBIBFBA_00321	CDS	417	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
AJBIBFBA_00322	CDS	543				hypothetical protein
AJBIBFBA_00323	CDS	1233	cca		COG0617	Multifunctional CCA protein
AJBIBFBA_00324	CDS	507				hypothetical protein
AJBIBFBA_00325	CDS	1554				hypothetical protein
AJBIBFBA_00326	CDS	1272				hypothetical protein
AJBIBFBA_00327	CDS	1923				hypothetical protein
AJBIBFBA_00328	CDS	333	glpE_1	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
AJBIBFBA_00329	CDS	852	apaH_1	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
AJBIBFBA_00330	CDS	381	apaG		COG2967	Protein ApaG
AJBIBFBA_00331	CDS	807	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
AJBIBFBA_00332	CDS	987	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
AJBIBFBA_00333	CDS	1293	surA_1	5.2.1.8	COG0760	Chaperone SurA
AJBIBFBA_00334	CDS	2802	lptD		COG1452	LPS-assembly protein LptD
AJBIBFBA_00335	CDS	1017	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
AJBIBFBA_00336	CDS	675	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
AJBIBFBA_00337	CDS	759	djlA		COG1076	Co-chaperone protein DjlA
AJBIBFBA_00338	CDS	1062				hypothetical protein
AJBIBFBA_00339	CDS	2394	mltF_2	4.2.2.-		Membrane-bound lytic murein transglycosylase F
AJBIBFBA_00340	CDS	633	uvrY		COG2197	Response regulator UvrY
AJBIBFBA_00341	CDS	1035	potD_1		COG0687	Spermidine/putrescine-binding periplasmic protein
AJBIBFBA_00342	CDS	1110	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
AJBIBFBA_00343	CDS	1047	potD_2		COG0687	Spermidine/putrescine-binding periplasmic protein
AJBIBFBA_00344	CDS	1248				hypothetical protein
AJBIBFBA_00345	CDS	831	ydcV_1			Inner membrane ABC transporter permease protein YdcV
AJBIBFBA_00346	CDS	675	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
AJBIBFBA_00347	CDS	819	gph	3.1.3.18		Phosphoglycolate phosphatase
AJBIBFBA_00348	CDS	1479	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
AJBIBFBA_00349	CDS	315				hypothetical protein
AJBIBFBA_00350	CDS	771	prtR_1		COG2932	HTH-type transcriptional regulator PrtR
AJBIBFBA_00351	CDS	171				hypothetical protein
AJBIBFBA_00352	CDS	201				hypothetical protein
AJBIBFBA_00353	CDS	360				hypothetical protein
AJBIBFBA_00354	CDS	354				hypothetical protein
AJBIBFBA_00355	CDS	516				hypothetical protein
AJBIBFBA_00356	CDS	558				hypothetical protein
AJBIBFBA_00357	CDS	327				hypothetical protein
AJBIBFBA_00358	CDS	888				hypothetical protein
AJBIBFBA_00359	CDS	534				hypothetical protein
