Accession	Name	Description
0000041	deletion mutation	A detection model parameter to describe a set of mapped deletion mutations. A deletion mutation refers to the removal of one or more nucleotides from a DNA strand. In publications, deletion mutations may be reported in nucleotide or in peptide format. Deletion mutations not of a multiple of 3 cause frameshifts in the nucleotide open reading frame. However, the deletion mutation parameter only refers to deletions which modify the peptide sequence and/or change its function, but do not result in premature termination or functional protein knockout.
0000042	deletion mutation from peptide sequence	A peptide sequence change between the translation initiation (start) and termination (stop) codon where, compared to a reference sequence, one or more amino acids are deleted and therefore are not present. These represent in-frame deletions which do not result in frameshift variants and may include multiple amino acids. Format is given by [wildtype AA][position]del for a single peptide deletion or [wildtype AA][position]_[wildtype AA][position]del for a deleted peptide range, e.g. K527del or Q517_N518del.
0000043	deletion mutation from nucleotide sequence	A subtype of the deletion mutation detection model parameter used when a set of deletion mutations are reported in a nucleotide sequence format, encoded as [-]nt[position]:[nucleotides], for example -nt25:T or -nt25:11.
0000044	insertion mutation from peptide sequence	A peptide sequence change between the translation initiation (start) and termination (stop) codon where, compared to the reference sequence, one or more amino acids are inserted. These represent in-frame insertions which do not result in frameshift variants and where the insertion is not a duplication of a sequence immediately N-terminal (5'), and are denoted with wildtype flanking residues. Format is given by [wildtype AA position]_[wildtype AA position]ins[AA sequence], e.g. K464_D465insE or P46_A47insYS.
0000045	insertion mutation from nucleotide sequence	A subtype of the insertion mutation detection model parameter used when a set of insertion mutations are reported in a nucleotide sequence format, encoded as [+]nt[position]:[nucleotides], for example +nt391:GG or +nt368:18. Such mutations may be of variable length, possibly causing a frameshift but not causing premature termination or a functional knockout.
0000046	toxin system meta model	This is a pilot parameter in need of further documentation.
0000047	toxin components	This is a pilot parameter in need of further documentation.
0000048	pilus meta-model	Pilus meta-models are dedicated to bacterial pili and using the pilus components parameter this model type simply includes a list of detection models for each component of the pili.
0000049	pilus components	Components of bacterial pili are encoded by the pilus components paramenter: cvterm_id,cvterm_id,cvterm_id, etc.
0000050	high confidence TB	This parameter is part of a confidence model for AMR developed by the Relational Sequencing Tuberculosis Data platform (ReSeqTB, https://platform.reseqtb.org). The confidence model is based on the likelihood ratio test (LR+) statistic that is used to evaluate whether mutations are positively or negatively associated with phenotypic resistance. The LR+ is derived from a drug susceptibility test, testing sensitivity and specificity. Under the null hypothesis of no association, the LR value is expected to be 1, but deviations from this can be due to an association with resistance or a low number of available isolate samples.  The LR+ measures the strength of association between the presence of a mutation and the drug resistance phenotype. A mutation graded as high confidence has a strong association of the mutation with phenotypic drug resistance. There is sufficient evidence that the mutation confers or is strongly associated with drug resistance. LR value is greater than 10. 2025 Update: Use of this parameter has been discontinued.
0000051	moderate confidence TB	This parameter is part of a confidence model for AMR developed by the Relational Sequencing Tuberculosis Data platform (ReSeqTB, https://platform.reseqtb.org). The confidence model is based on the likelihood ratio test (LR+) statistic that is used to evaluate whether mutations are positively or negatively associated with phenotypic resistance. The LR+ is derived from a drug susceptibility test, testing sensitivity and specificity. Under the null hypothesis of no association, the LR value is expected to be 1, but deviations from this can be due to an association with resistance or a low number of available isolate samples.  The LR+ measures the strength of association between the presence of a mutation and the drug resistance phenotype. A mutation graded as moderate confidence has a moderate association of the mutation with phenotypic drug resistance. Additional data is desirable for improved evidence that the mutation confers or is strongly associated with drug resistance. LR value is greater than 5 but less or equal to 10. 2025 Update: Use of this parameter has been discontinued.
0000052	minimal confidence TB	This parameter is part of a confidence model for AMR developed by the Relational Sequencing Tuberculosis Data platform (ReSeqTB, https://platform.reseqtb.org). The confidence model is based on the likelihood ratio test (LR+) statistic that is used to evaluate whether mutations are positively or negatively associated with phenotypic resistance. The LR+ is derived from a drug susceptibility test, testing sensitivity and specificity. Under the null hypothesis of no association, the LR value is expected to be 1, but deviations from this can be due to an association with resistance or a low number of available isolate samples.  The LR+ measures the strength of association between the presence of a mutation and the drug resistance phenotype. A mutation graded as minimal confidence has a minimal association of the mutation with phenotypic drug resistance. There is inconclusive evidence that the mutation confers or is strongly associated with drug resistance. LR value is greater than 1 but less or equal to 5. 2025 Update: Use of this parameter has been discontinued.
0000053	no association with resistance TB	This parameter is part of a confidence model for AMR developed by the Relational Sequencing Tuberculosis Data platform (ReSeqTB, https://platform.reseqtb.org). The confidence model is based on the likelihood ratio test (LR+) statistic that is used to evaluate whether mutations are positively or negatively associated with phenotypic resistance. The LR+ is derived from a drug susceptibility test, testing sensitivity and specificity. Under the null hypothesis of no association, the LR value is expected to be 1, but deviations from this can be due to an association with resistance or a low number of available isolate samples.  The LR+ measures the strength of association between the presence of a mutation and the drug resistance phenotype. A mutation graded as no association has no association of the mutation with phenotypic drug resistance. There is no evidence of an association between the mutation and drug resistance. LR is less than 1. These data are not visible on the CARD website, included in RGI analyses, nor available in CARD download files. 2025 Update: Use of this parameter has been discontinued.
0000054	indeterminate confidence TB	This parameter is part of a confidence model for AMR developed by the Relational Sequencing Tuberculosis Data platform (ReSeqTB, https://platform.reseqtb.org). The confidence model is based on the likelihood ratio test (LR+) statistic that is used to evaluate whether mutations are positively or negatively associated with phenotypic resistance. The LR+ is derived from a drug susceptibility test, testing sensitivity and specificity. Under the null hypothesis of no association, the LR value is expected to be 1, but deviations from this can be due to an association with resistance or a low number of available isolate samples.  The LR+ measures the strength of association between the presence of a mutation and the drug resistance phenotype. A mutation graded as indeterminate means that there is no statistically significant threshold reached and additional data is required. LR is indeterminate. 2025 Update: Use of this parameter has been discontinued.
0000055	disruptive mutation in regulatory element	A mutation in the promoter region of a gene which alters transcription of that gene. This is a pilot parameter in need of further documentation.
0000056	mutation in TB	Parameters part of a confidence model for AMR developed by the Relational Sequencing Tuberculosis Data platform (ReSeqTB, https://platform.reseqtb.org). The confidence model is based on the likelihood ratio test (LR+) statistic that is used to evaluate whether mutations are positively or negatively associated with phenotypic resistance. The LR+ is derived from a drug susceptibility test, testing sensitivity and specificity. Under the null hypothesis of no association, the LR value is expected to be 1, but deviations from this can be due to an association with resistance or a low number of available isolate samples. The LR+ measures the strength of association between the presence of a mutation and the drug resistance phenotype. 2025 Update: Use of these parameters has been discontinued.
0000057	fungal protein variant model	Functionally identical to the protein variant model with a specific focus on managing antifungal resistance from fungal genomes.
0000058	fungal protein homolog model	Functionally identical to the protein homolog model with a specific focus on antifungal resistance detected in fungal genomes.
0000059	fungal protein knockout model	Fungal Protein Knockout Models (PKM) reflect resistance by the absence of a gene product, most often deletion of a gene involved in antibiotic import, and are specific to fungal organisms. Like Protein Homolog Models (PHMs), PKMs include a reference sequence and a bitscore cut-off for detection using BLASTP but instead are designed to only report lack of detection under Perfect or Strict criteria. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff. This model type is still under development and not currently supported by the Resistance Gene Identifier (RGI) software.
0000060	duplication of peptide sequence	A duplication is a sequence change between the translation initiation (start) and termination (stop) codon where, compared to a reference sequence, a copy of one or more amino acids is inserted directly C-terminal of the original copy of that sequence.
0000061	synonymous substitution for alternative promoter	A synonymous or silent substitution in the coding DNA sequence of one gene which influences the promoter region of another gene. These substitutions do not change the amino acid sequence of a protein but may still influence the phenotype, including decreased susceptibility to antimicrobial compounds.
