locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNCGEDBI_00121	CDS	1140				23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
FNCGEDBI_00122	CDS	759	pilF			type 4 fimbrial biogenesis protein PilF
FNCGEDBI_00123	CDS	1044	rodZ		COG1426	Cytoskeleton protein RodZ
FNCGEDBI_00124	CDS	1116	gcpE	1.17.7.1		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
FNCGEDBI_00125	CDS	1290	hisS	6.1.1.21		histidine--tRNA ligase
FNCGEDBI_00126	CDS	645				hypothetical protein
FNCGEDBI_00127	CDS	1143				outer membrane protein assembly factor BamB
FNCGEDBI_00128	CDS	1482				GTPase Der
FNCGEDBI_00129	CDS	1149				aminotransferase
FNCGEDBI_00130	CDS	795	yafV	3.5.1.3		Omega-amidase YafV
FNCGEDBI_00131	CDS	588				hypothetical protein
FNCGEDBI_00132	CDS	951				oxidoreductase
FNCGEDBI_00133	CDS	456				hypothetical protein
FNCGEDBI_00134	CDS	333				hypothetical protein
FNCGEDBI_00135	CDS	1671	leuA	2.3.3.13		2-isopropylmalate synthase
FNCGEDBI_00136	CDS	462				hypothetical protein
FNCGEDBI_00137	CDS	2160	oprC			copper transport outer membrane porin OprC
FNCGEDBI_00138	CDS	1416				oxidoreductase
FNCGEDBI_00139	CDS	396				hypothetical protein
FNCGEDBI_00140	CDS	849				hypothetical protein
FNCGEDBI_00141	CDS	390				hypothetical protein
FNCGEDBI_00142	CDS	477				hypothetical protein
FNCGEDBI_00143	CDS	573				hypothetical protein
FNCGEDBI_00144	CDS	630	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
FNCGEDBI_00145	CDS	954				transcriptional regulator
FNCGEDBI_00146	CDS	762	ddpX	3.4.13.22		D-alanyl-D-alanine dipeptidase
FNCGEDBI_00147	CDS	1281				transporter
FNCGEDBI_00148	CDS	495				hypothetical protein
FNCGEDBI_00149	CDS	1041				C4-dicarboxylate-binding protein
FNCGEDBI_00150	CDS	936				transcriptional regulator
FNCGEDBI_00151	CDS	1380	xseA	3.1.11.6		exodeoxyribonuclease VII large subunit
FNCGEDBI_00152	CDS	909				transcriptional regulator
FNCGEDBI_00153	CDS	783				hypothetical protein
FNCGEDBI_00154	CDS	1143				acetylpolyamine aminohydrolase
FNCGEDBI_00155	CDS	1158				hypothetical protein
FNCGEDBI_00156	CDS	897				hypothetical protein
FNCGEDBI_00157	CDS	978				transcriptional regulator
FNCGEDBI_00158	CDS	1470	guaB	1.1.1.205		inosine 5'-monophosphate dehydrogenase
FNCGEDBI_00159	CDS	1578	guaA	6.3.5.2		GMP synthase
FNCGEDBI_00160	CDS	1578				hypothetical protein
FNCGEDBI_00161	CDS	963				short-chain dehydrogenase
FNCGEDBI_00162	CDS	1107	ybjJ_1			Inner membrane protein YbjJ
FNCGEDBI_00163	CDS	957				transcriptional regulator
FNCGEDBI_00164	CDS	996				oxidoreductase
FNCGEDBI_00165	CDS	1392				metallo-oxidoreductase
FNCGEDBI_00166	CDS	543	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
FNCGEDBI_00167	CDS	1257				aromatic amino acid transporter
FNCGEDBI_00168	CDS	585				hypothetical protein
FNCGEDBI_00169	CDS	1473				membrane-bound lytic murein transglycosylase F
FNCGEDBI_00170	CDS	3897	purL	6.3.5.3		phosphoribosylformylglycinamidine synthase
FNCGEDBI_00171	CDS	279				hypothetical protein
FNCGEDBI_00172	CDS	318			COG0327	GTP cyclohydrolase 1 type 2 
FNCGEDBI_00173	CDS	1713				N-acetyl-D-glucosamine phosphotransferase system transporter
FNCGEDBI_00174	CDS	2529				N-acetyl-D-glucosamine phosphotransferase system transporter
FNCGEDBI_00175	CDS	1023				aminotransferase
FNCGEDBI_00176	CDS	1092				N-acetylglucosamine-6-phosphate deacetylase
FNCGEDBI_00177	CDS	744				transcriptional regulator
FNCGEDBI_00178	CDS	501				hypothetical protein
FNCGEDBI_00179	CDS	555	nudC_1	3.6.1.22		NADH pyrophosphatase
FNCGEDBI_00180	CDS	612	nudL	3.6.1.-		putative Nudix hydrolase NudL
FNCGEDBI_00181	CDS	525	yrdA_1		COG0663	Protein YrdA
FNCGEDBI_00182	CDS	195				hypothetical protein
FNCGEDBI_00183	CDS	1182	purT			phosphoribosylglycinamide formyltransferase
FNCGEDBI_00184	CDS	750				hypothetical protein
FNCGEDBI_00185	CDS	1314				major facilitator superfamily transporter
FNCGEDBI_00186	CDS	1293				hypothetical protein
FNCGEDBI_00187	CDS	801	ypjD		COG4137	Inner membrane protein YpjD
FNCGEDBI_00188	CDS	1374	ffh			signal recognition particle protein Ffh
FNCGEDBI_00189	CDS	252	rpsP			30S ribosomal protein S16
FNCGEDBI_00190	CDS	537	rimM			ribosome maturation factor RimM
FNCGEDBI_00191	CDS	759	trmD			tRNA (guanine-N(1)-)-methyltransferase
FNCGEDBI_00192	CDS	351	rplS			50S ribosomal protein L19
FNCGEDBI_00193	CDS	426				acyl-CoA thioesterase
FNCGEDBI_00194	CDS	681				hypothetical protein
FNCGEDBI_00195	CDS	1836				sodium/hydrogen antiporter
FNCGEDBI_00196	CDS	897	xerD			site-specific tyrosine recombinase XerD
FNCGEDBI_00197	CDS	729	dsbC			thiol:disulfide interchange protein DsbC
FNCGEDBI_00198	CDS	123				hypothetical protein
FNCGEDBI_00199	CDS	1305	hom	1.1.1.3		homoserine dehydrogenase
FNCGEDBI_00200	CDS	1410	thrC	4.2.3.1		threonine synthase
FNCGEDBI_00201	CDS	1011				hypothetical protein
FNCGEDBI_00202	CDS	285				hypothetical protein
FNCGEDBI_00203	CDS	1200	smtB	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
FNCGEDBI_00204	CDS	621				hypothetical protein
FNCGEDBI_00205	CDS	696	ydjF		COG1842	Phage shock protein A 
FNCGEDBI_00206	CDS	642				hypothetical protein
FNCGEDBI_00207	CDS	2067				hypothetical protein
FNCGEDBI_00208	CDS	5241				hypothetical protein
FNCGEDBI_00209	CDS	693				hypothetical protein
FNCGEDBI_00210	CDS	540	yaeQ		COG4681	putative protein YaeQ
FNCGEDBI_00211	CDS	1716	recJ			single-stranded-DNA-specific exonuclease RecJ
FNCGEDBI_00212	CDS	1497	lasB			elastase LasB
FNCGEDBI_00213	CDS	1107				FMN oxidoreductase
FNCGEDBI_00214	CDS	351				hypothetical protein
FNCGEDBI_00215	CDS	642	nalC			transcriptional regulator
FNCGEDBI_00216	CDS	426				hypothetical protein
FNCGEDBI_00217	CDS	1242				major facilitator superfamily transporter
FNCGEDBI_00218	CDS	342				FkbP-type peptidyl-prolyl cis-trans isomerase
FNCGEDBI_00219	CDS	1707				hypothetical protein
FNCGEDBI_00220	CDS	804				hypothetical protein
FNCGEDBI_00221	CDS	642				two-component response regulator
FNCGEDBI_00222	CDS	1863	spdH			spermidine dehydrogenase SpdH
FNCGEDBI_00223	CDS	696				hypothetical protein
FNCGEDBI_00224	CDS	906				transcriptional regulator
FNCGEDBI_00225	CDS	1674				GMC-type oxidoreductase
FNCGEDBI_00226	CDS	1620				major facilitator superfamily transporter
FNCGEDBI_00227	CDS	1629	wspA			chemotaxis transducer
FNCGEDBI_00228	CDS	510				hypothetical protein
FNCGEDBI_00229	CDS	1269	wspC			biofilm formation methyltransferase WspC
FNCGEDBI_00230	CDS	690				hypothetical protein
FNCGEDBI_00231	CDS	2310	wspE			chemotaxis sensor/effector fusion protein
FNCGEDBI_00232	CDS	1008	wspF	3.1.1.61		chemotaxis-specific methylesterase
FNCGEDBI_00233	CDS	1044	wspR_1			two-component response regulator
FNCGEDBI_00234	CDS	903	prfB			peptide chain release factor 1
FNCGEDBI_00235	CDS	1506	lysS	6.1.1.6		lysine--tRNA ligase
FNCGEDBI_00236	CDS	714				transcriptional regulator
FNCGEDBI_00237	CDS	552				hypothetical protein
FNCGEDBI_00238	CDS	1296				hypothetical protein
FNCGEDBI_00239	CDS	747				putative protein
FNCGEDBI_00240	CDS	906				hypothetical protein
FNCGEDBI_00241	CDS	324				hypothetical protein
FNCGEDBI_00242	CDS	522	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
FNCGEDBI_00243	CDS	786	lptF_2			outer membrane porin F
FNCGEDBI_00244	CDS	405				hypothetical protein
FNCGEDBI_00245	CDS	2235				metal-transporting P-type ATPase
FNCGEDBI_00246	CDS	471				transcriptional regulator
FNCGEDBI_00247	CDS	345				hypothetical protein
FNCGEDBI_00248	CDS	2637	ppc	4.1.1.31		phosphoenolpyruvate carboxylase
FNCGEDBI_00249	CDS	648	adk	2.7.4.3		adenylate kinase
FNCGEDBI_00250	CDS	681	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
FNCGEDBI_00251	CDS	348				hypothetical protein
FNCGEDBI_00252	CDS	867				hypothetical protein
FNCGEDBI_00253	CDS	825	bcpA	2.7.8.23		Carboxyvinyl-carboxyphosphonate phosphorylmutase
FNCGEDBI_00254	CDS	696				hypothetical protein
FNCGEDBI_00255	CDS	786				ribosomal RNA small subunit methyltransferase J
FNCGEDBI_00256	CDS	1278				hypothetical protein
FNCGEDBI_00257	CDS	639				transcriptional regulator
FNCGEDBI_00258	CDS	1104				resistance-nodulation-cell division (RND) efflux membrane fusion protein
FNCGEDBI_00259	CDS	3078				resistance-nodulation-cell division (RND) efflux transporter
FNCGEDBI_00260	CDS	681				hypothetical protein
FNCGEDBI_00261	CDS	399				hypothetical protein
FNCGEDBI_00262	CDS	2505	plsB	2.3.1.15		glycerol-3-phosphate acyltransferase
FNCGEDBI_00263	CDS	924				ABC transporter ATP-binding protein
FNCGEDBI_00264	CDS	735				ABC transporter permease
FNCGEDBI_00265	CDS	1848				hypothetical protein
FNCGEDBI_00266	CDS	981				hypothetical protein
FNCGEDBI_00267	CDS	423	sufE		COG2166	Cysteine desulfuration protein SufE
FNCGEDBI_00268	CDS	1206				cysteine desulfurase
FNCGEDBI_00269	CDS	1035	dapD			2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
FNCGEDBI_00270	CDS	624				leucine export protein LeuE
FNCGEDBI_00271	CDS	348	yffB		COG1393	Protein YffB
FNCGEDBI_00272	CDS	354				hypothetical protein
FNCGEDBI_00273	CDS	294				hypothetical protein
FNCGEDBI_00274	CDS	360				hypothetical protein
FNCGEDBI_00275	CDS	1662				sodium/hydrogen antiporter
FNCGEDBI_00276	CDS	1209				succinyldiaminopimelate transaminase
FNCGEDBI_00277	CDS	2703	glnD	2.7.7.59		bifunctional uridylyltransferase/uridylyl-removing protein
FNCGEDBI_00278	CDS	786	map	3.4.11.18		methionine aminopeptidase
FNCGEDBI_00279	CDS	741	rpsB			30S ribosomal protein S2
FNCGEDBI_00280	CDS	870	tsf			elongation factor Ts
FNCGEDBI_00281	CDS	738	pyrH	2.7.4.22		uridylate kinase
FNCGEDBI_00282	CDS	558	frr			ribosome recycling factor
FNCGEDBI_00283	CDS	756	uppS			ditrans,polycis-undecaprenyl-diphosphate synthase
FNCGEDBI_00284	CDS	816	cdsA			phosphatidate cytidylyltransferase
FNCGEDBI_00285	CDS	1191	dxr			1-deoxy-D-xylulose 5-phosphate reductoisomerase
FNCGEDBI_00286	CDS	1353				zinc metalloprotease
FNCGEDBI_00287	CDS	2394	opr86			outer membrane protein Opr86
FNCGEDBI_00288	CDS	507				hypothetical protein
FNCGEDBI_00289	CDS	1062	lpxD_1	2.3.1.-		UDP-3-O-acylglucosamine N-acyltransferase
FNCGEDBI_00290	CDS	441	fabZ	4.2.1.-		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
FNCGEDBI_00291	CDS	777	lpxA	2.3.1.129		acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
FNCGEDBI_00292	CDS	1137	lpxB	2.4.1.182		lipid-A-disaccharide synthase
FNCGEDBI_00293	CDS	606	rnhB	3.1.26.4		ribonuclease HII
FNCGEDBI_00294	CDS	1416				amino acid permease
FNCGEDBI_00295	CDS	3522	dnaE	2.7.7.7		DNA polymerase III subunit alpha
FNCGEDBI_00296	CDS	951	accA	6.4.1.2		acetyl-CoA carboxylase carboxyltransferase subunit alpha
FNCGEDBI_00297	CDS	1329				tRNA(Ile)-lysidine synthase
FNCGEDBI_00298	CDS	1629	pyrG_1	6.3.4.2		CTP synthetase
FNCGEDBI_00299	CDS	846	kdsA	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
FNCGEDBI_00300	CDS	1290	eno	4.2.1.11		enolase
FNCGEDBI_00301	CDS	285				cell division protein FtsB
FNCGEDBI_00302	CDS	705	ygbP	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
FNCGEDBI_00303	CDS	249	yedF		COG0425	Putative sulfur carrier protein YedF
FNCGEDBI_00304	CDS	1227				hypothetical protein
FNCGEDBI_00305	CDS	909	gfnR			glutathione-dependent formaldehyde neutralization regulator GfnR
FNCGEDBI_00306	CDS	1113	adhC			alcohol dehydrogenase
FNCGEDBI_00307	CDS	852				esterase
FNCGEDBI_00308	CDS	474	ygbB	4.6.1.12		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
FNCGEDBI_00309	CDS	1068		5.4.99.-		tRNA pseudouridine synthase D
FNCGEDBI_00310	CDS	750	surE	3.1.3.5		5'-nucleotidase SurE
FNCGEDBI_00311	CDS	669	pcm	2.1.1.77		protein-L-isoaspartate O-methyltransferase
FNCGEDBI_00312	CDS	894				hypothetical protein
FNCGEDBI_00313	CDS	1005	rpoS			RNA polymerase sigma factor RpoS
FNCGEDBI_00314	CDS	324	fdxA			ferredoxin I
FNCGEDBI_00315	CDS	2568	mutS			DNA mismatch repair protein MutS
FNCGEDBI_00316	CDS	1008	tolB_1			Tol-Pal system protein TolB
FNCGEDBI_00317	CDS	507	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
FNCGEDBI_00318	CDS	1041	recA			recombinase A
FNCGEDBI_00319	CDS	462				recombination regulator RecX
FNCGEDBI_00320	CDS	1071				hypothetical protein
FNCGEDBI_00321	CDS	1404		3.1.-.-	COG1236	Ribonuclease
FNCGEDBI_00322	CDS	2406		4.1.2.-		phosphoketolase
FNCGEDBI_00323	CDS	222				hypothetical protein
FNCGEDBI_00324	CDS	411				hypothetical protein
FNCGEDBI_00325	CDS	1062	potD			polyamine ABC transporter substrate-binding protein PotD
FNCGEDBI_00326	CDS	771	potC			polyamine ABC transporter permease PotC
FNCGEDBI_00327	CDS	894	potB			polyamine ABC transporter permease PotB
FNCGEDBI_00328	CDS	1080	potA			polyamine transporter ATP-binding protein PotA
FNCGEDBI_00329	CDS	717				hypothetical protein
FNCGEDBI_00330	CDS	894				hypothetical protein
FNCGEDBI_00331	CDS	654	erdR			response regulator ErdR
FNCGEDBI_00332	CDS	372	dgkA			diacylglycerol kinase
FNCGEDBI_00333	CDS	1611				hypothetical protein
FNCGEDBI_00334	CDS	264				50S ribosomal protein L31 type B
FNCGEDBI_00335	CDS	153				50S ribosomal protein L36
FNCGEDBI_00336	CDS	786				transcriptional regulator
FNCGEDBI_00337	CDS	816	amiE_1	3.5.1.4		acylamide amidohydrolase
FNCGEDBI_00338	CDS	1323				amino acid permease
FNCGEDBI_00339	CDS	1074				methylated-DNA--protein-cysteine methyltransferase
FNCGEDBI_00340	CDS	1410				major facilitator superfamily transporter
FNCGEDBI_00341	CDS	888				transcriptional regulator
FNCGEDBI_00342	CDS	1728				acyl-CoA dehydrogenase
FNCGEDBI_00343	CDS	1188	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
FNCGEDBI_00344	CDS	798		4.2.1.17		enoyl-CoA hydratase
FNCGEDBI_00345	CDS	1533		1.1.1.157		3-hydroxyacyl-CoA dehydrogenase
FNCGEDBI_00346	CDS	1206		2.3.1.9		acetyl-CoA acetyltransferase
FNCGEDBI_00347	CDS	1251				porin
FNCGEDBI_00348	CDS	921	metR			transcriptional regulator MetR
FNCGEDBI_00349	CDS	987				hydrolase
FNCGEDBI_00350	CDS	330	glpM			membrane protein GlpM
FNCGEDBI_00351	CDS	1539	glpD	1.1.5.3		glycerol-3-phosphate dehydrogenase
FNCGEDBI_00352	CDS	756	glpR			glycerol-3-phosphate regulon repressor
FNCGEDBI_00353	CDS	1518	glpK	2.7.1.30		glycerol kinase
FNCGEDBI_00354	CDS	840	glpF			glycerol uptake facilitator protein
FNCGEDBI_00355	CDS	471	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
FNCGEDBI_00356	CDS	1485		2.7.1.30		glycerol kinase
FNCGEDBI_00357	CDS	786				isomerase
FNCGEDBI_00358	CDS	423				hypothetical protein
FNCGEDBI_00359	CDS	531				cytochrome b561
FNCGEDBI_00360	CDS	198				copper chaperone CopZ
FNCGEDBI_00361	CDS	639	nalD			transcriptional regulator
FNCGEDBI_00362	CDS	1179				major facilitator superfamily transporter
FNCGEDBI_00363	CDS	177				hypothetical protein
FNCGEDBI_00364	CDS	924	mmsR_1			transcriptional regulator MmsR
FNCGEDBI_00365	CDS	1494	mmsA			methylmalonate-semialdehyde dehydrogenase
FNCGEDBI_00366	CDS	897	mmsB			3-hydroxyisobutyrate dehydrogenase
FNCGEDBI_00367	CDS	1887				propionyl-CoA synthetase
FNCGEDBI_00368	CDS	1014				oxidoreductase
FNCGEDBI_00369	CDS	294	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
FNCGEDBI_00370	CDS	921				transcriptional regulator
FNCGEDBI_00371	CDS	303				hypothetical protein
FNCGEDBI_00372	CDS	780	mttC_1			secretion protein MttC
FNCGEDBI_00373	CDS	990	fruR			FruR family transcriptional regulator
FNCGEDBI_00374	CDS	2871	fruI			PTS system fructose-specific transporter subunit FruI
FNCGEDBI_00375	CDS	945	fruK			1-phosphofructokinase
FNCGEDBI_00376	CDS	1758	fruA			PTS system fructose-specific transporter subunit IIBC
FNCGEDBI_00377	CDS	1395				nucleotide sugar dehydrogenase
FNCGEDBI_00378	CDS	414	arnF			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
FNCGEDBI_00379	CDS	348	arnE			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
FNCGEDBI_00380	CDS	1650	arnT_1			4-amino-4-deoxy-L-arabinose lipid A transferase
FNCGEDBI_00381	CDS	888	arnD			4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase ArnD
FNCGEDBI_00382	CDS	1989	arnA			bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase
FNCGEDBI_00383	CDS	1020	arnC			undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
FNCGEDBI_00384	CDS	1149	arnB_1			UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
FNCGEDBI_00385	CDS	1446	algA			bifunctional mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
FNCGEDBI_00386	CDS	651	algF			alginate o-acetyltransferase AlgF
FNCGEDBI_00387	CDS	1176	algJ			alginate o-acetylase AlgJ
FNCGEDBI_00388	CDS	1563	algI			alginate o-acetylase AlgI
FNCGEDBI_00389	CDS	1104	algL	4.2.2.3		alginate lyase
FNCGEDBI_00390	CDS	1425	algX			alginate biosynthesis protein AlgX
FNCGEDBI_00391	CDS	1632	algG			alginate-c5-mannuronan-epimerase AlgG
FNCGEDBI_00392	CDS	1473	algE			alginate production protein AlgE
FNCGEDBI_00393	CDS	1428	algK			alginate biosynthesis protein AlgK
FNCGEDBI_00394	CDS	1170	alg44			alginate biosynthesis protein Alg44
FNCGEDBI_00395	CDS	1482	alg8			glycosyltransferase alg8
FNCGEDBI_00396	CDS	1311	algD			GDP-mannose 6-dehydrogenase AlgD
FNCGEDBI_00397	CDS	780	yaaA		COG3022	Peroxide stress resistance protein YaaA
FNCGEDBI_00398	CDS	1083				ABC transporter ATP-binding protein
FNCGEDBI_00399	CDS	918	argF	2.1.3.3		ornithine carbamoyltransferase
FNCGEDBI_00400	CDS	432				hypothetical protein
FNCGEDBI_00401	CDS	2988				serine protease
FNCGEDBI_00402	CDS	2109				oxidoreductase
