	trimethoprim_sulfamethoxazole	chloramphenicol	erythromycin	clindamycin	penicillin	tetracycline	cefuroxime	meropenem	azithromycin
GCA_001145925.1	1	2	2	2	2	2	2	2	2
GCA_001100385.1	1	2	2	2	2	2	2	2	2
GCA_001340015.1	1	2	2	2	2	2	2	2	2
GCA_001338995.1	1	2	2	2	2	2	2	2	2
GCA_001201295.1	1	2	2	2	2	2	2	2	2
GCA_001205815.1	1	2	2	2	2	2	2	2	2
GCA_001151965.1	1	2	2	2	2	2	2	2	2
GCA_001138945.1	1	2	2	2	2	2	2	2	2
GCA_001339515.1	1	2	2	2	2	2	2	2	2
GCA_001339295.1	1	2	2	2	2	2	2	2	2
GCA_001207115.1	1	2	2	2	2	2	2	2	2
GCA_001198935.1	1	2	2	2	2	2	2	2	2
GCA_001150725.1	1	2	2	2	2	2	2	2	2
GCA_001139485.1	1	2	2	2	2	2	2	2	2
GCA_001156505.1	1	2	2	2	2	2	2	2	2
GCA_001142725.1	1	2	2	2	2	2	2	2	2
GCA_001202435.1	1	2	2	2	2	2	2	2	2
GCA_001200115.1	1	2	2	2	2	2	2	2	2
GCA_001196475.1	1	2	2	2	2	2	2	2	2
GCA_001205575.1	1	2	2	2	2	2	2	2	2
GCA_001341255.1	1	2	2	2	2	2	2	2	2
GCA_001140225.1	1	2	2	2	2	2	2	2	2
GCA_001343055.1	1	2	2	2	2	2	2	2	2
GCA_001342935.1	1	2	2	2	2	2	2	2	2
GCA_001198675.1	1	2	2	2	2	2	2	2	2
GCA_001341135.1	1	2	2	2	2	2	2	2	2
GCA_001158425.1	1	2	2	2	2	2	2	2	2
GCA_001203715.1	1	2	2	2	2	2	2	2	2
GCA_001174465.1	1	2	2	2	2	2	2	2	2
GCA_001341455.1	1	2	2	2	2	2	2	2	2
GCA_001144565.1	1	2	2	2	2	2	2	2	2
GCA_001192015.1	1	2	2	2	2	2	2	2	2
GCA_001132545.1	1	2	2	2	2	2	2	2	2
GCA_001198075.1	1	2	2	2	2	2	2	2	2
GCA_001121685.1	1	2	2	2	2	2	2	2	2
GCA_001170625.1	1	2	2	2	2	2	2	2	2
GCA_001174665.1	1	2	2	2	2	2	2	2	2
GCA_001342475.1	1	2	2	2	2	2	2	2	2
GCA_001164385.1	1	2	2	2	2	2	2	2	2
GCA_001341935.1	1	2	2	2	2	2	2	2	2
GCA_001341815.1	1	2	2	2	2	2	2	2	2
GCA_001340695.1	1	2	2	2	2	2	2	2	2
GCA_001200975.1	1	2	2	2	2	2	2	2	2
GCA_001162105.1	1	2	2	2	2	2	2	2	2
GCA_001342755.1	1	2	2	2	2	2	2	2	2
GCA_001342875.1	1	2	2	2	2	2	2	2	2
GCA_001148285.1	1	2	2	2	2	2	2	2	2
GCA_001122285.1	1	2	2	2	2	2	2	2	2
GCA_001341615.1	1	2	2	2	2	2	2	2	2
GCA_001340595.1	1	2	2	2	2	2	2	2	2
GCA_001125705.1	1	2	2	2	2	2	2	2	2
GCA_001193495.1	1	2	2	2	2	2	2	2	2
GCA_001147805.1	1	2	2	2	2	2	2	2	2
GCA_001116985.1	1	2	2	2	2	2	2	2	2
GCA_001148905.1	1	2	2	2	2	2	2	2	2
GCA_001093325.1	1	2	2	2	2	2	2	2	2
GCA_001115425.1	1	2	2	2	2	2	2	2	2
GCA_001340455.1	1	2	2	2	2	2	2	2	2
GCA_001166165.1	1	2	2	2	2	2	2	2	2
GCA_001341695.1	1	2	2	2	2	2	2	2	2
GCA_001205595.1	1	2	2	2	2	2	2	2	2
GCA_001199555.1	1	2	2	2	2	2	2	2	2
GCA_001204555.1	1	2	2	2	2	2	2	2	2
GCA_001147485.1	1	2	2	2	2	2	2	2	2
GCA_001206255.1	1	2	2	2	2	2	2	2	2
GCA_001195505.1	1	2	2	2	2	2	2	2	2
GCA_001204785.1	1	2	2	2	2	2	2	2	2
GCA_001262235.1	1	2	2	2	2	2	2	2	2
GCA_001194205.1	1	2	2	2	2	2	2	2	2
GCA_001199095.1	1	2	2	2	2	2	2	2	2
GCA_001212105.1	1	2	2	2	2	2	2	2	2
GCA_001341855.1	1	2	2	2	2	2	2	2	2
GCA_001206595.1	1	2	2	2	2	2	2	2	2
GCA_001212205.1	1	2	2	2	2	2	2	2	2
GCA_001127445.1	1	2	2	2	2	2	2	2	2
GCA_001114705.1	1	2	2	2	2	2	2	2	2
GCA_001118405.1	1	2	2	2	2	2	2	2	2
GCA_001118565.1	1	2	2	2	2	2	2	2	2
GCA_001123745.1	1	2	2	2	2	2	2	2	2
GCA_001149245.1	1	2	2	2	2	2	2	2	2
GCA_001136905.1	1	2	2	2	2	2	2	2	2
GCA_001090785.1	1	2	2	2	2	2	2	2	2
GCA_001344255.1	1	2	2	2	2	2	2	2	2
GCA_001092045.1	1	2	2	2	2	2	2	2	2
GCA_001566075.1	1	2	2	2	2	2	2	2	2
GCA_001092885.1	1	2	2	2	2	2	2	2	2
GCA_001127085.1	1	2	2	2	2	2	2	2	2
GCA_001343435.1	1	2	2	2	2	2	2	2	2
GCA_001135985.1	1	2	2	2	2	2	2	2	2
GCA_001137485.1	1	2	2	2	2	2	2	2	2
GCA_001344775.1	1	2	2	2	2	2	2	2	2
GCA_001157005.1	1	2	2	2	2	2	2	2	2
GCA_001166765.1	1	2	2	2	2	2	2	2	2
GCA_001141365.1	1	2	2	2	2	2	2	2	2
GCA_001142265.1	1	2	2	2	2	2	2	2	2
GCA_001110465.1	1	2	2	2	2	2	2	2	2
GCA_001085065.1	1	2	2	2	2	2	2	2	2
GCA_001164485.1	1	2	2	2	2	2	2	2	2
GCA_001165445.1	1	2	2	2	2	2	2	2	2
GCA_001148205.1	1	2	2	2	2	2	2	2	2
GCA_001162725.1	1	2	2	2	2	2	2	2	2
GCA_001112685.1	1	2	2	2	2	2	2	2	2
GCA_001344415.1	1	2	2	2	2	2	2	2	2
GCA_001137125.1	1	2	2	2	2	2	2	2	2
GCA_001119205.1	1	2	2	2	2	2	2	2	2
GCA_001123005.1	1	2	2	2	2	2	2	2	2
GCA_001344235.1	1	2	2	2	2	2	2	2	2
GCA_001343675.1	1	2	2	2	2	2	2	2	2
GCA_001148605.1	1	2	2	2	2	2	2	2	2
GCA_001171285.1	1	2	2	2	2	2	2	2	2
GCA_001088125.1	1	2	2	2	2	2	2	2	2
GCA_001344395.1	1	2	2	2	2	2	2	2	2
GCA_001151805.1	1	2	2	2	2	2	2	2	2
GCA_001084925.1	1	2	2	2	2	2	2	2	2
GCA_001086385.1	1	2	2	2	2	2	2	2	2
GCA_001344475.1	1	2	2	2	2	2	2	2	2
GCA_001094125.1	1	2	2	2	2	2	2	2	2
GCA_001163545.1	1	2	2	2	2	2	2	2	2
GCA_001128825.1	1	2	2	2	2	2	2	2	2
GCA_001164425.1	1	2	2	2	2	2	2	2	2
GCA_001344195.1	1	2	2	2	2	2	2	2	2
GCA_001344155.1	1	2	2	2	2	2	2	2	2
GCA_001134865.1	1	2	2	2	2	2	2	2	2
GCA_001130565.1	1	2	2	2	2	2	2	2	2
GCA_001344675.1	1	2	2	2	2	2	2	2	2
GCA_001091565.1	1	2	2	2	2	2	2	2	2
GCA_001122705.1	1	2	2	2	2	2	2	2	2
GCA_001344895.1	1	2	2	2	2	2	2	2	2
GCA_001345055.1	1	2	2	2	2	2	2	2	2
GCA_001124205.1	1	2	2	2	2	2	2	2	2
GCA_001344055.1	1	2	2	2	2	2	2	2	2
GCA_001343955.1	1	2	2	2	2	2	2	2	2
GCA_001157945.1	1	2	2	2	2	2	2	2	2
GCA_001344615.1	1	2	2	2	2	2	2	2	2
GCA_001088265.1	1	2	2	2	2	2	2	2	2
GCA_001127365.1	1	2	2	2	2	2	2	2	2
GCA_001160325.1	1	2	2	2	2	2	2	2	2
GCA_001128925.1	1	2	2	2	2	2	2	2	2
GCA_001344755.1	1	2	2	2	2	2	2	2	2
GCA_001157845.1	1	2	2	2	2	2	2	2	2
GCA_001170665.1	1	2	2	2	2	2	2	2	2
GCA_001160765.1	1	2	2	2	2	2	2	2	2
GCA_001114485.1	1	2	2	2	2	2	2	2	2
GCA_001127605.1	1	2	2	2	2	2	2	2	2
GCA_001154925.1	1	2	2	2	2	2	2	2	2
GCA_001140085.1	1	2	2	2	2	2	2	2	2
GCA_001171685.1	1	2	2	2	2	2	2	2	2
GCA_001090805.1	1	2	2	2	2	2	2	2	2
GCA_001093785.1	1	2	2	2	2	2	2	2	2
GCA_001109405.1	1	2	2	2	2	2	2	2	2
GCA_001086065.1	1	2	2	2	2	2	2	2	2
GCA_001087025.1	1	2	2	2	2	2	2	2	2
GCA_001106685.1	1	2	2	2	2	2	2	2	2
GCA_001120825.1	1	2	2	2	2	2	2	2	2
GCA_001085425.1	1	2	2	2	2	2	2	2	2
GCA_001170445.1	1	2	2	2	2	2	2	2	2
GCA_001099665.1	1	2	2	2	2	2	2	2	2
GCA_001112905.1	1	2	2	2	2	2	2	2	2
GCA_001147905.1	1	2	2	2	2	2	2	2	2
GCA_001155925.1	1	2	2	2	2	2	2	2	2
GCA_001170465.1	1	2	2	2	2	2	2	2	2
GCA_001118605.1	1	2	2	2	2	2	2	2	2
GCA_001101925.1	1	2	2	2	2	2	2	2	2
GCA_001110525.1	1	2	2	2	2	2	2	2	2
GCA_001097765.1	1	2	2	2	2	2	2	2	2
GCA_001085585.1	1	2	2	2	2	2	2	2	2
GCA_001345535.1	1	2	2	2	2	2	2	2	2
GCA_001096545.1	1	2	2	2	2	2	2	2	2
GCA_001087125.1	1	2	2	2	2	2	2	2	2
GCA_001114625.1	1	2	2	2	2	2	2	2	2
GCA_001125305.1	1	2	2	2	2	2	2	2	2
GCA_001146565.1	1	2	2	2	2	2	2	2	2
GCA_001126485.1	1	2	2	2	2	2	2	2	2
GCA_001132865.1	1	2	2	2	2	2	2	2	2
GCA_001142825.1	1	2	2	2	2	2	2	2	2
GCA_001145825.1	1	2	2	2	2	2	2	2	2
GCA_001345955.1	1	2	2	2	2	2	2	2	2
GCA_001083125.1	1	2	2	2	2	2	2	2	2
GCA_001165545.1	1	2	2	2	2	2	2	2	2
GCA_001123265.1	1	2	2	2	2	2	2	2	2
GCA_001346635.1	1	2	2	2	2	2	2	2	2
GCA_001156045.1	1	2	2	2	2	2	2	2	2
GCA_001090985.1	1	2	2	2	2	2	2	2	2
GCA_001110085.1	1	2	2	2	2	2	2	2	2
GCA_001143185.1	1	2	2	2	2	2	2	2	2
GCA_001149485.1	1	2	2	2	2	2	2	2	2
GCA_001094585.1	1	2	2	2	2	2	2	2	2
GCA_001092725.1	1	2	2	2	2	2	2	2	2
GCA_001106705.1	1	2	2	2	2	2	2	2	2
GCA_001345755.1	1	2	2	2	2	2	2	2	2
GCA_001157965.1	1	2	2	2	2	2	2	2	2
GCA_001106465.1	1	2	2	2	2	2	2	2	2
GCA_001346915.1	1	2	2	2	2	2	2	2	2
GCA_001085045.1	1	2	2	2	2	2	2	2	2
GCA_001166185.1	1	2	2	2	2	2	2	2	2
GCA_001124965.1	1	2	2	2	2	2	2	2	2
GCA_001098265.1	1	2	2	2	2	2	2	2	2
GCA_001130985.1	1	2	2	2	2	2	2	2	2
GCA_001119585.1	1	2	2	2	2	2	2	2	2
GCA_001127425.1	1	2	2	2	2	2	2	2	2
GCA_001146605.1	1	2	2	2	2	2	2	2	2
GCA_001171785.1	1	2	2	2	2	2	2	2	2
GCA_001347135.1	1	2	2	2	2	2	2	2	2
GCA_001168945.1	1	2	2	2	2	2	2	2	2
GCA_001347455.1	1	2	2	2	2	2	2	2	2
GCA_001126985.1	1	2	2	2	2	2	2	2	2
GCA_001171765.1	1	2	2	2	2	2	2	2	2
GCA_001347475.1	1	2	2	2	2	2	2	2	2
GCA_001347555.1	1	2	2	2	2	2	2	2	2
GCA_001107765.1	1	2	2	2	2	2	2	2	2
GCA_001149545.1	1	2	2	2	2	2	2	2	2
GCA_001089785.1	1	2	2	2	2	2	2	2	2
GCA_001116465.1	1	2	2	2	2	2	2	2	2
GCA_001135725.1	1	2	2	2	2	2	2	2	2
GCA_001171705.1	1	2	2	2	2	2	2	2	2
GCA_001088905.1	1	2	2	2	2	2	2	2	2
GCA_001117945.1	1	2	2	2	2	2	2	2	2
GCA_001141305.1	1	2	2	2	2	2	2	2	2
GCA_001153965.1	1	2	2	2	2	2	2	2	2
GCA_001114545.1	1	2	2	2	2	2	2	2	2
GCA_001163345.1	1	2	2	2	2	2	2	2	2
GCA_001340395.1	1	2	2	2	2	2	2	2	2
GCA_001116945.1	1	2	2	2	2	2	2	2	2
GCA_001152045.1	1	2	2	2	2	2	2	2	2
GCA_001136865.1	1	2	2	2	2	2	2	2	2
GCA_001156525.1	1	2	2	2	2	2	2	2	2
GCA_001335335.1	1	2	2	2	2	2	2	2	2
GCA_001102425.1	1	2	2	2	2	2	2	2	2
GCA_001150045.1	1	2	2	2	2	2	2	2	2
GCA_001136625.1	1	2	2	2	2	2	2	2	2
GCA_001113805.1	1	2	2	2	2	2	2	2	2
GCA_001093925.1	1	2	2	2	2	2	2	2	2
GCA_001145145.1	1	2	2	2	2	2	2	2	2
GCA_001336235.1	1	2	2	2	2	2	2	2	2
GCA_001339995.1	1	2	2	2	2	2	2	2	2
GCA_001167025.1	1	2	2	2	2	2	2	2	2
GCA_001197835.1	1	2	2	2	2	2	2	2	2
GCA_002889195.1	1	2	2	2	2	2	2	2	2
GCA_002889175.1	1	2	2	2	2	2	2	2	2
GCA_002889135.1	1	2	2	2	2	2	2	2	2
GCA_001202935.1	1	2	2	2	2	2	2	2	2
GCA_001152585.1	1	2	2	2	2	2	2	2	2
GCA_001338655.1	1	2	2	2	2	2	2	2	2
GCA_001206555.1	1	2	2	2	2	2	2	2	2
GCA_001156205.1	1	2	2	2	2	2	2	2	2
GCA_001340075.1	1	2	2	2	2	2	2	2	2
GCA_001149005.1	1	2	2	2	2	2	2	2	2
GCA_001091365.1	1	2	2	2	2	2	2	2	2
GCA_001141265.1	1	2	2	2	2	2	2	2	2
GCA_001338275.1	1	2	2	2	2	2	2	2	2
GCA_002888975.1	1	2	2	2	2	2	2	2	2
GCA_002889675.1	1	2	2	2	2	2	2	2	2
GCA_001338235.1	1	2	2	2	2	2	2	2	2
GCA_001205755.1	1	2	2	2	2	2	2	2	2
GCA_001338835.1	1	2	2	2	2	2	2	2	2
GCA_001197855.1	1	2	2	2	2	2	2	2	2
GCA_001338195.1	1	2	2	2	2	2	2	2	2
GCA_001206475.1	1	2	2	2	2	2	2	2	2
GCA_001196535.1	1	2	2	2	2	2	2	2	2
GCA_001209105.1	1	2	2	2	2	2	2	2	2
GCA_001196595.1	1	2	2	2	2	2	2	2	2
GCA_001342175.1	1	2	2	2	2	2	2	2	2
GCA_001199255.1	1	2	2	2	2	2	2	2	2
GCA_001200915.1	1	2	2	2	2	2	2	2	2
GCA_001198915.1	1	2	2	2	2	2	2	2	2
GCA_001193315.1	1	2	2	2	2	2	2	2	2
GCA_001208425.1	1	2	2	2	2	2	2	2	2
GCA_001196375.1	1	2	2	2	2	2	2	2	2
GCA_001204215.1	1	2	2	2	2	2	2	2	2
GCA_001092605.1	1	2	2	2	2	2	2	2	2
GCA_001343495.1	1	2	2	2	2	2	2	2	2
GCA_001126765.1	1	2	2	2	2	2	2	2	2
GCA_001103545.1	1	2	2	2	2	2	2	2	2
GCA_001161685.1	1	2	2	2	2	2	2	2	2
GCA_001344915.1	1	2	2	2	2	2	2	2	2
GCA_001115645.1	1	2	2	2	2	2	2	2	2
GCA_001095725.1	1	2	2	2	2	2	2	2	2
GCA_001107085.1	1	2	2	2	2	2	2	2	2
GCA_001125585.1	1	2	2	2	2	2	2	2	2
GCA_001171005.1	1	2	2	2	2	2	2	2	2
GCA_001163525.1	1	2	2	2	2	2	2	2	2
GCA_001086605.1	1	2	2	2	2	2	2	2	2
GCA_001091465.1	1	2	2	2	2	2	2	2	2
GCA_001088025.1	1	2	2	2	2	2	2	2	2
GCA_001344815.1	1	2	2	2	2	2	2	2	2
GCA_001137565.1	1	2	2	2	2	2	2	2	2
GCA_001166465.1	1	2	2	2	2	2	2	2	2
GCA_001122405.1	1	2	2	2	2	2	2	2	2
GCA_001106105.1	1	2	2	2	2	2	2	2	2
GCA_001111105.1	1	2	2	2	2	2	2	2	2
GCA_001123225.1	1	2	2	2	2	2	2	2	2
GCA_001149525.1	1	2	2	2	2	2	2	2	2
GCA_001171385.1	1	2	2	2	2	2	2	2	2
GCA_001086465.1	1	2	2	2	2	2	2	2	2
GCA_001159585.1	1	2	2	2	2	2	2	2	2
GCA_001144165.1	1	2	2	2	2	2	2	2	2
GCA_001104305.1	1	2	2	2	2	2	2	2	2
GCA_001085465.1	1	2	2	2	2	2	2	2	2
GCA_001128485.1	1	2	2	2	2	2	2	2	2
GCA_001126005.1	1	2	2	2	2	2	2	2	2
GCA_001167125.1	1	2	2	2	2	2	2	2	2
GCA_001157365.1	1	2	2	2	2	2	2	2	2
GCA_001125565.1	1	2	2	2	2	2	2	2	2
GCA_001147265.1	1	2	2	2	2	2	2	2	2
GCA_001087825.1	1	2	2	2	2	2	2	2	2
GCA_001139425.1	1	2	2	2	2	2	2	2	2
GCA_001098725.1	1	2	2	2	2	2	2	2	2
GCA_001103725.1	1	2	2	2	2	2	2	2	2
GCA_001347735.1	1	2	2	2	2	2	2	2	2
GCA_001138765.1	1	2	2	2	2	2	2	2	2
GCA_001135145.1	1	2	2	2	2	2	2	2	2
GCA_001173045.1	1	2	2	2	2	2	2	2	2
GCA_001128245.1	1	2	2	2	2	2	2	2	2
GCA_001140965.1	1	2	2	2	2	2	2	2	2
GCA_001101085.1	1	2	2	2	2	2	2	2	2
GCA_001132525.1	1	2	2	2	2	2	2	2	2
GCA_001171425.1	1	2	2	2	2	2	2	2	2
GCA_001171325.1	1	2	2	2	2	2	2	2	2
GCA_001127465.1	1	2	2	2	2	2	2	2	2
GCA_001115165.1	1	2	2	2	2	2	2	2	2
GCA_001141725.1	1	2	2	2	2	2	2	2	2
GCA_001128985.1	1	2	2	2	2	2	2	2	2
GCA_001197315.1	1	2	2	2	2	2	2	2	2
GCA_001335595.1	1	2	2	2	2	2	2	2	2
GCA_001191935.1	1	2	2	2	2	2	2	2	2
GCA_001195385.1	1	2	2	2	2	2	2	2	2
GCA_001336955.1	1	2	2	2	2	2	2	2	2
GCA_001338395.1	1	2	2	2	2	2	2	2	2
GCA_001199795.1	1	2	2	2	2	2	2	2	2
GCA_002889535.1	1	2	2	2	2	2	2	2	2
GCA_002889415.1	1	2	2	2	2	2	2	2	2
GCA_001338535.1	1	2	2	2	2	2	2	2	2
GCA_001197195.1	1	2	2	2	2	2	2	2	2
GCA_001191675.1	1	2	2	2	2	2	2	2	2
GCA_001337395.1	1	2	2	2	2	2	2	2	2
GCA_001338155.1	1	2	2	2	2	2	2	2	2
GCA_001339895.1	1	2	2	2	2	2	2	2	2
GCA_001338915.1	1	2	2	2	2	2	2	2	2
GCA_001339615.1	1	2	2	2	2	2	2	2	2
GCA_001209865.1	1	2	2	2	2	2	2	2	2
GCA_001193175.1	1	2	2	2	2	2	2	2	2
GCA_001205155.1	1	2	2	2	2	2	2	2	2
GCA_001195445.1	1	2	2	2	2	2	2	2	2
GCA_001339475.1	1	2	2	2	2	2	2	2	2
GCA_001193555.1	1	2	2	2	2	2	2	2	2
GCA_001337015.1	1	2	2	2	2	2	2	2	2
GCA_001163585.1	1	2	2	2	2	2	2	2	2
GCA_001338055.1	1	2	2	2	2	2	2	2	2
GCA_001084145.1	1	2	2	2	2	2	2	2	2
GCA_001086245.1	1	2	2	2	2	2	2	2	2
GCA_001205795.1	1	2	2	2	2	2	2	2	2
GCA_002890035.1	1	2	2	2	2	2	2	2	2
GCA_001192995.1	1	2	2	2	2	2	2	2	2
GCA_001193435.1	1	2	2	2	2	2	2	2	2
GCA_001162165.1	1	2	2	2	2	2	2	2	2
GCA_001148365.1	1	2	2	2	2	2	2	2	2
GCA_001173145.1	1	2	2	2	2	2	2	2	2
GCA_001201435.1	1	2	2	2	2	2	2	2	2
GCA_001340175.1	1	2	2	2	2	2	2	2	2
GCA_001192295.1	1	2	2	2	2	2	2	2	2
GCA_001204815.1	1	2	2	2	2	2	2	2	2
