locus_tag	ftype	length_bp	gene	EC_number	COG	product
PDFLHPBO_00033	CDS	534				bacteriophage protein
PDFLHPBO_00034	CDS	888				bacteriophage protein
PDFLHPBO_00035	CDS	327				bacteriophage protein
PDFLHPBO_00036	CDS	558				hypothetical protein
PDFLHPBO_00037	CDS	516				hypothetical protein
PDFLHPBO_00038	CDS	354				hypothetical protein
PDFLHPBO_00039	CDS	360				hypothetical protein
PDFLHPBO_00040	CDS	201	ptrB			repressor PtrB
PDFLHPBO_00041	CDS	171				hypothetical protein
PDFLHPBO_00042	CDS	771	prtR_1			HTH-type transcriptional regulator PrtR
PDFLHPBO_00043	CDS	315	prtN			transcriptional regulator PrtN
PDFLHPBO_00044	CDS	1479	trpE	4.1.3.27		anthranilate synthase component I
PDFLHPBO_00045	CDS	819				phosphoglycolate phosphatase
PDFLHPBO_00046	CDS	675	rpe	5.1.3.1		ribulose-phosphate 3-epimerase
PDFLHPBO_00047	CDS	831				ABC transporter permease
PDFLHPBO_00048	CDS	1248				ABC transporter permease
PDFLHPBO_00049	CDS	1047				ABC transporter
PDFLHPBO_00050	CDS	1110				ABC transporter ATP-binding protein
PDFLHPBO_00051	CDS	1035				ABC transporter
PDFLHPBO_00052	CDS	633				two-component response regulator
PDFLHPBO_00053	CDS	2394				two-component sensor
PDFLHPBO_00054	CDS	1062				hypothetical protein
PDFLHPBO_00055	CDS	759	djlA		COG1076	Co-chaperone protein DjlA
PDFLHPBO_00056	CDS	675				nucleotidyl transferase
PDFLHPBO_00057	CDS	1017	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
PDFLHPBO_00058	CDS	135				hypothetical protein
PDFLHPBO_00059	CDS	1311				hypothetical protein
PDFLHPBO_00060	CDS	2772	ostA			organic solvent tolerance protein OstA
PDFLHPBO_00061	CDS	1293	surA			chaperone SurA
PDFLHPBO_00062	CDS	987	pdxA	1.1.1.262		4-hydroxythreonine-4-phosphate dehydrogenase
PDFLHPBO_00063	CDS	807	ksgA	2.1.1.-		ribosomal RNA small subunit methyltransferase A
PDFLHPBO_00064	CDS	381				protein ApaG
PDFLHPBO_00065	CDS	852	apaH_1	3.6.1.41		bis(5'-nucleosyl)-tetraphosphatase
PDFLHPBO_00066	CDS	333		2.8.1.1		thiosulfate sulfurtransferase
PDFLHPBO_00067	CDS	1923				hypothetical protein
PDFLHPBO_00068	CDS	1272				hypothetical protein
PDFLHPBO_00069	CDS	1554				hypothetical protein
PDFLHPBO_00070	CDS	507				hypothetical protein
PDFLHPBO_00071	CDS	1233	cca	3.1.3.-		multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase
PDFLHPBO_00072	CDS	543				hypothetical protein
PDFLHPBO_00073	CDS	417	folB			dihydroneopterin aldolase
PDFLHPBO_00074	CDS	570				glycerol-3-phosphate acyltransferase PlsY
PDFLHPBO_00075	CDS	1026	gcp			tRNA N6-adenosine threonylcarbamoyltransferase
PDFLHPBO_00076	CDS	216	rpsU			30S ribosomal protein S21
PDFLHPBO_00077	CDS	450	yqeY		COG1610	putative protein YqeY
PDFLHPBO_00078	CDS	1995	dnaG	2.7.7.-		DNA primase
PDFLHPBO_00079	CDS	1854	rpoD			RNA polymerase sigma factor RpoD
PDFLHPBO_00080	CDS	3738				hypothetical protein
PDFLHPBO_00081	CDS	1686				hypothetical protein
PDFLHPBO_00082	tRNA	77				tRNA-Met(cat)
PDFLHPBO_00083	CDS	240				hypothetical protein
PDFLHPBO_00084	CDS	231				hypothetical protein
PDFLHPBO_00085	CDS	2691				hypothetical protein
PDFLHPBO_00086	CDS	402				hypothetical protein
PDFLHPBO_00087	CDS	348				hypothetical protein
PDFLHPBO_00088	CDS	360				hypothetical protein
PDFLHPBO_00089	CDS	267				hypothetical protein
PDFLHPBO_00090	CDS	246	amrZ_1			alginate and motility regulator Z
PDFLHPBO_00091	CDS	231				hypothetical protein
PDFLHPBO_00092	CDS	279				hypothetical protein
PDFLHPBO_00093	CDS	210				hypothetical protein
PDFLHPBO_00094	CDS	708				hypothetical protein
PDFLHPBO_00095	CDS	2049				hypothetical protein
PDFLHPBO_00096	CDS	954				hypothetical protein
PDFLHPBO_00097	CDS	1023				hypothetical protein
PDFLHPBO_00098	CDS	735				hypothetical protein
PDFLHPBO_00099	CDS	462				hypothetical protein
PDFLHPBO_00100	CDS	438				hypothetical protein
PDFLHPBO_00101	CDS	666				hypothetical protein
PDFLHPBO_00102	CDS	1116				hypothetical protein
PDFLHPBO_00103	CDS	450				hypothetical protein
PDFLHPBO_00104	CDS	210				hypothetical protein
PDFLHPBO_00105	CDS	306				hypothetical protein
PDFLHPBO_00106	CDS	462	rrrD	3.2.1.17	COG3772	Lysozyme RrrD
PDFLHPBO_00107	CDS	486				hypothetical protein
PDFLHPBO_00108	CDS	288				hypothetical protein
PDFLHPBO_00109	CDS	2055				hypothetical protein
PDFLHPBO_00110	CDS	321				hypothetical protein
PDFLHPBO_00111	CDS	1173				hypothetical protein
PDFLHPBO_00112	CDS	525				hypothetical protein
PDFLHPBO_00113	CDS	1965				hypothetical protein
PDFLHPBO_00114	CDS	711				hypothetical protein
PDFLHPBO_00115	CDS	921				hypothetical protein
PDFLHPBO_00116	CDS	540				hypothetical protein
PDFLHPBO_00117	CDS	699				hypothetical protein
PDFLHPBO_00118	CDS	972				hypothetical protein
PDFLHPBO_00119	CDS	405				hypothetical protein
PDFLHPBO_00120	CDS	183				hypothetical protein
PDFLHPBO_00121	CDS	162				hypothetical protein
PDFLHPBO_00122	CDS	1122				hypothetical protein
PDFLHPBO_00123	CDS	165				hypothetical protein
PDFLHPBO_00124	CDS	2727	impA	3.4.24.-		Immunomodulating metalloprotease
PDFLHPBO_00125	CDS	615				hypothetical protein
PDFLHPBO_00126	CDS	348				hypothetical protein
PDFLHPBO_00127	CDS	471				hypothetical protein
PDFLHPBO_00128	CDS	459				hypothetical protein
PDFLHPBO_00129	CDS	159				hypothetical protein
PDFLHPBO_00130	CDS	516				hypothetical protein
PDFLHPBO_00131	CDS	339				hypothetical protein
PDFLHPBO_00132	CDS	912				transcriptional regulator
PDFLHPBO_00133	CDS	354	yhaI		COG3152	Inner membrane protein YhaI
PDFLHPBO_00134	CDS	696				hydrolase
PDFLHPBO_00135	CDS	489	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
PDFLHPBO_00136	CDS	1179			COG2081	putative protein
PDFLHPBO_00137	CDS	768		2.1.1.-	COG0500	putative methyltransferase
PDFLHPBO_00138	CDS	426				hypothetical protein
PDFLHPBO_00139	CDS	483				hypothetical protein
PDFLHPBO_00140	CDS	1065	fda	4.1.2.13		fructose-1,6-bisphosphate aldolase
PDFLHPBO_00141	CDS	342				hypothetical protein
PDFLHPBO_00142	CDS	201				hypothetical protein
PDFLHPBO_00143	CDS	1164	pgk	2.7.2.3		phosphoglycerate kinase
PDFLHPBO_00144	CDS	1062	epd			D-erythrose 4-phosphate dehydrogenase
PDFLHPBO_00145	CDS	798	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
PDFLHPBO_00146	CDS	1065				hypothetical protein
PDFLHPBO_00147	CDS	1998	tktA	2.2.1.1		transketolase
PDFLHPBO_00148	CDS	1002				transcriptional regulator
PDFLHPBO_00149	CDS	1191	metK	2.5.1.6		S-adenosylmethionine synthetase
PDFLHPBO_00150	CDS	1305		1.14.13.239		Carnitine monooxygenase reductase subunit
PDFLHPBO_00151	CDS	744	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PDFLHPBO_00152	CDS	969				hypothetical protein
PDFLHPBO_00153	CDS	420	yqjC			Protein YqjC
PDFLHPBO_00154	CDS	459				hypothetical protein
PDFLHPBO_00155	CDS	387				hypothetical protein
PDFLHPBO_00156	CDS	831				hypothetical protein
PDFLHPBO_00157	CDS	582	dsbB			disulfide bond formation protein
PDFLHPBO_00158	CDS	609	lemA_1		COG1704	Protein LemA
PDFLHPBO_00159	CDS	1026				hypothetical protein
PDFLHPBO_00160	CDS	555				transcriptional regulator
PDFLHPBO_00161	CDS	1290				oxidoreductase
PDFLHPBO_00162	CDS	1491				transcriptional regulator
PDFLHPBO_00163	CDS	264				hypothetical protein
PDFLHPBO_00164	CDS	717				glutamine amidotransferase
PDFLHPBO_00165	CDS	1182				class III pyridoxal phosphate-dependent aminotransferase
PDFLHPBO_00166	CDS	237				hypothetical protein
PDFLHPBO_00167	CDS	702	yiiM_1		COG2258	Protein YiiM
PDFLHPBO_00168	CDS	879				transcriptional regulator
PDFLHPBO_00169	CDS	684	dnr			transcriptional regulator Dnr
PDFLHPBO_00170	CDS	195				hypothetical protein
PDFLHPBO_00171	CDS	1839				denitrification protein NorD
PDFLHPBO_00172	CDS	1398	norB			nitric oxide reductase subunit B
PDFLHPBO_00173	CDS	441	norC			nitric oxide reductase subunit C
PDFLHPBO_00174	CDS	258				hypothetical protein
PDFLHPBO_00175	CDS	573				cytochrome C oxidase subunit
PDFLHPBO_00176	CDS	783	nirQ			denitrification regulatory protein NirQ
PDFLHPBO_00177	CDS	1707	nirS			nitrite reductase
PDFLHPBO_00178	CDS	315	nirM			cytochrome C-551
PDFLHPBO_00179	CDS	360	nirC			cytochrome c55X
PDFLHPBO_00180	CDS	1179	nirF			heme d1 biosynthesis protein NirF
PDFLHPBO_00181	CDS	453				heme d1 biosynthesis protein NirD
PDFLHPBO_00182	CDS	525	nirL			heme d1 biosynthesis protein NirL
PDFLHPBO_00183	CDS	444				heme d1 biosynthesis protein NirG
PDFLHPBO_00184	CDS	516				heme d1 biosynthesis protein NirH
PDFLHPBO_00185	CDS	1164	nirJ			heme d1 biosynthesis protein NirJ
PDFLHPBO_00186	CDS	840				uroporphyrin-III C-methyltransferase
PDFLHPBO_00187	CDS	1482	nirN			cytochrome C
PDFLHPBO_00188	CDS	1779				acyl-CoA dehydrogenase
PDFLHPBO_00189	CDS	1797				acyl-CoA dehydrogenase
PDFLHPBO_00190	CDS	1806				acyl-CoA dehydrogenase
PDFLHPBO_00191	CDS	231				hypothetical protein
PDFLHPBO_00192	CDS	687	bioD	6.3.3.3		ATP-dependent dethiobiotin synthetase BioD
PDFLHPBO_00193	CDS	825				biotin synthesis protein BioC
PDFLHPBO_00194	CDS	723				biotin biosynthesis protein BioH
PDFLHPBO_00195	CDS	1206	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
PDFLHPBO_00196	CDS	1059	bioB			biotin synthase
PDFLHPBO_00197	CDS	669				pili assembly chaperone
PDFLHPBO_00198	CDS	1008				hypothetical protein
PDFLHPBO_00199	CDS	1083				hypothetical protein
PDFLHPBO_00200	CDS	978	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
PDFLHPBO_00201	CDS	879	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
PDFLHPBO_00202	CDS	1377				acetyl-CoA carboxylase biotin carboxylase subunit
PDFLHPBO_00203	CDS	249				acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
PDFLHPBO_00204	CDS	759	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
PDFLHPBO_00205	CDS	918				transcriptional regulator
PDFLHPBO_00206	CDS	294				hypothetical protein
PDFLHPBO_00207	CDS	726				phosphoribosyl transferase
PDFLHPBO_00208	CDS	321				hypothetical protein
PDFLHPBO_00209	CDS	759				molybdenum transport regulator
PDFLHPBO_00210	CDS	975				serine/threonine protein kinase
PDFLHPBO_00211	CDS	897				chloramphenicol-sensitive protein RarD
PDFLHPBO_00212	CDS	516				hypothetical protein
PDFLHPBO_00213	CDS	444				acetyltransferase
PDFLHPBO_00214	CDS	2178	glcB	2.3.3.9		malate synthase G
PDFLHPBO_00215	CDS	552				hypothetical protein
PDFLHPBO_00216	CDS	798				3-oxoadipate enol-lactonase
PDFLHPBO_00217	CDS	951				transcriptional regulator
PDFLHPBO_00218	CDS	477				N-acetyltransferase
PDFLHPBO_00219	CDS	927				transcriptional regulator
PDFLHPBO_00220	CDS	1728				permease
PDFLHPBO_00221	CDS	570				transcriptional regulator
PDFLHPBO_00222	CDS	402				esterase
PDFLHPBO_00223	CDS	750				glutathione S-transferase
PDFLHPBO_00224	CDS	519				RNA polymerase sigma factor
PDFLHPBO_00225	CDS	972				transmembrane sensor
PDFLHPBO_00226	CDS	2394	fiuA_1			ferrichrome receptor FiuA
PDFLHPBO_00227	CDS	858				hypothetical protein
PDFLHPBO_00228	CDS	951	vgb	4.2.99.-		Virginiamycin B lyase
PDFLHPBO_00229	CDS	621				glutathione S-transferase
PDFLHPBO_00230	CDS	219				hypothetical protein
PDFLHPBO_00231	CDS	303				hypothetical protein
PDFLHPBO_00232	CDS	1359	creD		COG4452	Inner membrane protein CreD
PDFLHPBO_00233	CDS	1425	creC			sensory histidine kinase CreC
PDFLHPBO_00234	CDS	690	creB			DNA-binding response regulator CreB
PDFLHPBO_00235	CDS	510				hypothetical protein
PDFLHPBO_00236	CDS	888				acyltransferase
PDFLHPBO_00237	CDS	705	prtR_2			HTH-type transcriptional regulator PrtR
PDFLHPBO_00238	CDS	357				hypothetical protein
PDFLHPBO_00239	CDS	435				hypothetical protein
PDFLHPBO_00240	CDS	210				hypothetical protein
PDFLHPBO_00241	CDS	2073				hypothetical protein
PDFLHPBO_00242	CDS	753				hypothetical protein
PDFLHPBO_00243	CDS	636				hypothetical protein
PDFLHPBO_00244	CDS	546				hypothetical protein
PDFLHPBO_00245	CDS	117				hypothetical protein
PDFLHPBO_00246	CDS	414				hypothetical protein
PDFLHPBO_00247	CDS	312				hypothetical protein
PDFLHPBO_00248	CDS	519				hypothetical protein
PDFLHPBO_00249	CDS	282				hypothetical protein
PDFLHPBO_00250	CDS	309				hypothetical protein
PDFLHPBO_00251	CDS	282				hypothetical protein
PDFLHPBO_00252	CDS	207				hypothetical protein
PDFLHPBO_00253	CDS	270				hypothetical protein
PDFLHPBO_00254	CDS	297				hypothetical protein
PDFLHPBO_00255	CDS	402				hypothetical protein
PDFLHPBO_00256	CDS	450				hypothetical protein
PDFLHPBO_00257	CDS	348				hypothetical protein
PDFLHPBO_00258	CDS	471				hypothetical protein
PDFLHPBO_00259	CDS	417				hypothetical protein
PDFLHPBO_00260	CDS	243				hypothetical protein
PDFLHPBO_00261	CDS	255				hypothetical protein
PDFLHPBO_00262	CDS	189				hypothetical protein
PDFLHPBO_00263	CDS	501				hypothetical protein
PDFLHPBO_00264	CDS	504				hypothetical protein
PDFLHPBO_00265	CDS	1653				hypothetical protein
PDFLHPBO_00266	CDS	1581				hypothetical protein
PDFLHPBO_00267	CDS	1287				hypothetical protein
PDFLHPBO_00268	CDS	468				hypothetical protein
PDFLHPBO_00269	CDS	423				hypothetical protein
PDFLHPBO_00270	CDS	225				hypothetical protein
PDFLHPBO_00271	CDS	972				hypothetical protein
PDFLHPBO_00272	CDS	915				hypothetical protein
PDFLHPBO_00273	CDS	441				hypothetical protein
PDFLHPBO_00274	CDS	168				hypothetical protein
PDFLHPBO_00275	CDS	417				hypothetical protein
PDFLHPBO_00276	CDS	474				hypothetical protein
PDFLHPBO_00277	CDS	186				hypothetical protein
PDFLHPBO_00278	CDS	774				hypothetical protein
PDFLHPBO_00279	CDS	498				hypothetical protein
PDFLHPBO_00280	CDS	3699				hypothetical protein
PDFLHPBO_00281	CDS	957				hypothetical protein
PDFLHPBO_00282	CDS	924				hypothetical protein
PDFLHPBO_00283	CDS	1704				hypothetical protein
PDFLHPBO_00284	CDS	822				hypothetical protein
PDFLHPBO_00285	CDS	240				hypothetical protein
PDFLHPBO_00286	CDS	219				hypothetical protein
PDFLHPBO_00287	CDS	2208				hypothetical protein
PDFLHPBO_00288	CDS	1149				hypothetical protein
PDFLHPBO_00289	CDS	291				hypothetical protein
PDFLHPBO_00290	CDS	225				hypothetical protein
PDFLHPBO_00291	CDS	579				hypothetical protein
PDFLHPBO_00292	CDS	2799				chaperone protein ClpB
PDFLHPBO_00293	CDS	1434				major facilitator superfamily transporter
PDFLHPBO_00294	CDS	375				hypothetical protein
PDFLHPBO_00295	CDS	522				hypothetical protein
PDFLHPBO_00296	CDS	210				cold-shock protein
PDFLHPBO_00297	CDS	1377	dbpA			ATP-dependent RNA helicase DbpA
PDFLHPBO_00298	CDS	2202	yccS		COG1289	Inner membrane protein YccS
PDFLHPBO_00299	CDS	732				amino acid ABC transporter substrate-binding protein
PDFLHPBO_00300	CDS	792				hypothetical protein
PDFLHPBO_00301	CDS	1332				hypothetical protein
PDFLHPBO_00302	CDS	1623				phosphate transporter
PDFLHPBO_00303	CDS	405				acyl-CoA thioesterase
PDFLHPBO_00304	CDS	909				transcriptional regulator
PDFLHPBO_00305	CDS	1182	gcdH			glutaryl-CoA dehydrogenase
PDFLHPBO_00306	CDS	1224	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
PDFLHPBO_00307	CDS	1284				allantoate amidohydrolase
PDFLHPBO_00308	CDS	1491				transporter
PDFLHPBO_00309	CDS	1440	dht			D-hydantoinase/dihydropyrimidinase
PDFLHPBO_00310	CDS	1368				oxidoreductase
PDFLHPBO_00311	CDS	1275		1.3.1.1		dihydropyrimidine dehydrogenase
PDFLHPBO_00312	CDS	1251	codB			cytosine permease
PDFLHPBO_00313	CDS	1272	codA	3.5.4.1		cytosine deaminase
PDFLHPBO_00314	CDS	621				transcriptional regulator
PDFLHPBO_00315	CDS	1479				hypothetical protein
PDFLHPBO_00316	CDS	2193				TonB-dependent receptor
PDFLHPBO_00317	CDS	417				hypothetical protein
PDFLHPBO_00318	CDS	1410	sahH	3.3.1.1		adenosylhomocysteinase
PDFLHPBO_00319	CDS	540				hypothetical protein
PDFLHPBO_00320	CDS	873	metF			5,10-methylenetetrahydrofolate reductase
PDFLHPBO_00321	CDS	1071				hypothetical protein
PDFLHPBO_00322	CDS	1920				ATP-dependent RNA helicase
PDFLHPBO_00323	CDS	1458	oprM_1			outer membrane protein OprM
PDFLHPBO_00324	CDS	3141	mexB			multidrug resistance protein MexB
PDFLHPBO_00325	CDS	1152	mexA			multidrug resistance protein MexA
PDFLHPBO_00326	CDS	444	mexR			multidrug resistance operon repressor MexR
PDFLHPBO_00327	CDS	576	yceI		COG2353	Protein YceI
PDFLHPBO_00328	CDS	570				cytochrome b561
PDFLHPBO_00329	CDS	1491		1.4.5.-		L-amino acid dehydrogenase
PDFLHPBO_00330	CDS	1404	bioA	2.6.1.62		adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA
PDFLHPBO_00331	CDS	723				16S ribosomal RNA methyltransferase RsmE
PDFLHPBO_00332	CDS	1374				hypothetical protein
PDFLHPBO_00333	CDS	612	chpE			chemotactic transduction protein ChpE
PDFLHPBO_00334	CDS	795	chpD			transcriptional regulator
PDFLHPBO_00335	CDS	507	chpC			chemotaxis protein
PDFLHPBO_00336	CDS	1032	chpB			methylesterase
PDFLHPBO_00337	CDS	7419	chpA_1			chemotactic signal transduction system protein
PDFLHPBO_00338	CDS	876	pilK			methyltransferase PilK
PDFLHPBO_00339	CDS	2049	pilJ			twitching motility protein PilJ
PDFLHPBO_00340	CDS	537	pilI			twitching motility protein PilI
PDFLHPBO_00341	CDS	366	pilH			twitching motility protein PilH
PDFLHPBO_00342	CDS	408	pilG			pilus biosynthesis/twitching motility protein PilG
PDFLHPBO_00343	CDS	954	gshB	6.3.2.3		glutathione synthetase
PDFLHPBO_00344	CDS	894	tonB3			transporter TonB
PDFLHPBO_00345	CDS	570				hypothetical protein
PDFLHPBO_00346	CDS	435				Holliday junction resolvase
PDFLHPBO_00347	CDS	513	pyrR	2.4.2.9		bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase
PDFLHPBO_00348	CDS	1005	pyrB	2.1.3.2		aspartate carbamoyltransferase
PDFLHPBO_00349	CDS	1272		3.5.2.3		dihydroorotase
PDFLHPBO_00350	CDS	1185				cystathionine gamma-lyase
PDFLHPBO_00351	CDS	1374				cystathionine beta-synthase
PDFLHPBO_00352	CDS	405				hypothetical protein
PDFLHPBO_00353	CDS	900				cation efflux system protein
PDFLHPBO_00354	CDS	1149	pilU			twitching motility protein PilU
PDFLHPBO_00355	CDS	1035	pilT_1			twitching motility protein PilT
PDFLHPBO_00356	CDS	693	yggS		COG0325	Pyridoxal phosphate homeostasis protein
PDFLHPBO_00357	CDS	822	proC	1.5.1.2		pyrroline-5-carboxylate reductase
PDFLHPBO_00358	CDS	594				hypothetical protein
PDFLHPBO_00359	CDS	171				hypothetical protein
PDFLHPBO_00360	CDS	1968				hypothetical protein
PDFLHPBO_00361	CDS	1140	metX	2.3.1.31		homoserine O-acetyltransferase
PDFLHPBO_00362	CDS	621	metXA		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW
PDFLHPBO_00363	CDS	420				hypothetical protein
PDFLHPBO_00364	CDS	267				hypothetical protein
PDFLHPBO_00365	CDS	1065				hypothetical protein
PDFLHPBO_00366	CDS	1707	hxuB_1		COG2831	Heme/hemopexin transporter protein HuxB
PDFLHPBO_00367	CDS	390				hypothetical protein
PDFLHPBO_00368	CDS	1212				major facilitator superfamily transporter
PDFLHPBO_00369	CDS	2832				oxidoreductase
PDFLHPBO_00370	CDS	540				oxidoreductase
PDFLHPBO_00371	CDS	1248				cytochrome C
PDFLHPBO_00372	CDS	972	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
PDFLHPBO_00373	CDS	576	pucB		COG2068	Purine catabolism protein PucB
PDFLHPBO_00374	CDS	1125	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
PDFLHPBO_00375	CDS	999				C4-dicarboxylate-binding protein
PDFLHPBO_00376	CDS	777				oxidoreductase
PDFLHPBO_00377	CDS	414	mscL			large-conductance mechanosensitive channel
PDFLHPBO_00378	CDS	1542	katB			catalase
PDFLHPBO_00379	CDS	543				hypothetical protein
PDFLHPBO_00380	CDS	255				hypothetical protein
PDFLHPBO_00381	CDS	435				hypothetical protein
PDFLHPBO_00382	CDS	1362	radA			DNA repair protein RadA
PDFLHPBO_00383	CDS	378				Cyclic diguanosine monophosphate-binding protein
PDFLHPBO_00384	CDS	507				hypothetical protein
PDFLHPBO_00385	CDS	2067	btsT		COG1966	Pyruvate/proton symporter BtsT
PDFLHPBO_00386	CDS	204				hypothetical protein
PDFLHPBO_00387	CDS	1005				cobalamin biosynthesis protein CobW
PDFLHPBO_00388	CDS	375				hypothetical protein
PDFLHPBO_00389	CDS	1254	glyA3	2.1.2.1		serine hydroxymethyltransferase
PDFLHPBO_00390	CDS	4248	morA			motility regulator
PDFLHPBO_00391	CDS	564	nfxB			transcriptional regulator NfxB
PDFLHPBO_00392	CDS	1065	mexC			resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexC
PDFLHPBO_00393	CDS	3132	mexD			resistance-nodulation-cell division (RND) multidrug efflux transporter MexD
PDFLHPBO_00394	CDS	1440	oprJ			multidrug efflux outer membrane protein OprJ
PDFLHPBO_00395	CDS	636				transcriptional regulator
PDFLHPBO_00396	CDS	156				hypothetical protein
PDFLHPBO_00397	CDS	1665				ABC transporter ATP-binding protein
PDFLHPBO_00398	CDS	714				ABC transporter ATP-binding protein
PDFLHPBO_00399	CDS	1194				ABC transporter permease
PDFLHPBO_00400	CDS	1482				hypothetical protein
PDFLHPBO_00401	CDS	1278				hypothetical protein
PDFLHPBO_00402	CDS	489	pra			protein activator
PDFLHPBO_00403	CDS	1437	ompP1		COG2067	Outer membrane protein P1
PDFLHPBO_00404	CDS	1338	gdhA	1.4.1.4		glutamate dehydrogenase
PDFLHPBO_00405	CDS	1038	ccpR			cytochrome C551 peroxidase
PDFLHPBO_00406	CDS	378				hypothetical protein
PDFLHPBO_00407	CDS	1026	rtcA	6.5.1.4		RNA 3'-terminal-phosphate cyclase
PDFLHPBO_00408	CDS	813				hypothetical protein
PDFLHPBO_00409	CDS	1215	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
PDFLHPBO_00410	CDS	1146				hypothetical protein
PDFLHPBO_00411	tRNA	74				tRNA-Arg(acg)
PDFLHPBO_00412	CDS	1596	rtcR			transcriptional regulator RtcR
PDFLHPBO_00413	CDS	555	ybiA	3.2.2.-	COG3236	N-glycosidase YbiA
PDFLHPBO_00414	CDS	1857				hypothetical protein
PDFLHPBO_00415	CDS	489				hypothetical protein
PDFLHPBO_00416	CDS	327				hypothetical protein
PDFLHPBO_00417	CDS	2454				ATP-dependent protease
PDFLHPBO_00418	CDS	342				hypothetical protein
PDFLHPBO_00419	CDS	489				hypothetical protein
PDFLHPBO_00420	CDS	306				hypothetical protein
PDFLHPBO_00421	CDS	618	fklB			peptidyl-prolyl cis-trans isomerase FklB
PDFLHPBO_00422	CDS	2028				cytochrome C
PDFLHPBO_00423	CDS	225				hypothetical protein
PDFLHPBO_00424	CDS	969	ispB			octaprenyl-diphosphate synthase
PDFLHPBO_00425	CDS	312	rplU			50S ribosomal protein L21
PDFLHPBO_00426	CDS	258	rpmA			50S ribosomal protein L27
PDFLHPBO_00427	CDS	1221	obg			GTPase ObgE
PDFLHPBO_00428	CDS	1119	proB	2.7.2.11		gamma-glutamyl kinase
PDFLHPBO_00429	CDS	465				hypothetical protein
PDFLHPBO_00430	CDS	276	rpsT			30S ribosomal protein S20
PDFLHPBO_00431	CDS	1497	murJ		COG0728	putative lipid II flippase MurJ
PDFLHPBO_00432	CDS	939	ribF	2.7.1.26		bifunctional riboflavin kinase/FMN adenylyltransferase
PDFLHPBO_00433	CDS	2832	ileS	6.1.1.5		isoleucine--tRNA ligase
