locus_tag	ftype	length_bp	gene	EC_number	COG	product
INHMNHHN_00269	CDS	1002	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
INHMNHHN_00270	CDS	390	rplQ			50S ribosomal protein L17
INHMNHHN_00271	CDS	1449	katA			catalase
INHMNHHN_00272	CDS	465	bfrA			bacterioferritin
INHMNHHN_00273	CDS	2838	uvrA			excinuclease ABC subunit A
INHMNHHN_00274	CDS	1389				major facilitator superfamily transporter
INHMNHHN_00275	CDS	498	ssb			single-stranded DNA-binding protein
INHMNHHN_00276	CDS	1431	pchA	5.4.4.2		salicylate biosynthesis isochorismate synthase
INHMNHHN_00277	CDS	306	pchB			isochorismate-pyruvate lyase
INHMNHHN_00278	CDS	756	pchC			pyochelin biosynthetic protein PchC
INHMNHHN_00279	CDS	1644	pchD			2,3-dihydroxybenzoate-AMP ligase
INHMNHHN_00280	CDS	891	pchR			transcriptional regulator PchR
INHMNHHN_00281	CDS	4317	pchE			dihydroaeruginoic acid synthetase
INHMNHHN_00282	CDS	5430	pchF			pyochelin synthetase
INHMNHHN_00283	CDS	1050	pchG			pyochelin biosynthetic protein PchG
INHMNHHN_00284	CDS	1713				ABC transporter ATP-binding protein
INHMNHHN_00285	CDS	1725				ABC transporter ATP-binding protein
INHMNHHN_00286	CDS	2163	fptA			Fe(III)-pyochelin outer membrane receptor
INHMNHHN_00287	CDS	282				hypothetical protein
INHMNHHN_00288	CDS	1506				hypothetical protein
INHMNHHN_00289	CDS	1245				transporter
INHMNHHN_00290	CDS	1209				FAD-dependent monooxygenase
INHMNHHN_00291	CDS	645	phzG2_1			pyridoxamine 5'-phosphate oxidase
INHMNHHN_00292	CDS	438	exaB			cytochrome C550
INHMNHHN_00293	CDS	1311	exaA_1			quinoprotein ethanol dehydrogenase
INHMNHHN_00294	CDS	963			COG2826	IS30 family transposase ISPpu17
INHMNHHN_00295	CDS	522	exaA_2			quinoprotein ethanol dehydrogenase
INHMNHHN_00296	CDS	648	pipB2		COG1357	Secreted effector protein PipB2
INHMNHHN_00297	CDS	678	eraR			response regulator EraR
INHMNHHN_00298	CDS	651	eraS			sensor kinase EraS
INHMNHHN_00299	CDS	141				hypothetical protein
INHMNHHN_00300	CDS	666				glycerol metabolism activator
INHMNHHN_00301	CDS	864				hypothetical protein
INHMNHHN_00302	CDS	2607	ercS'			sensor histidine kinase
INHMNHHN_00303	CDS	1164				hypothetical protein
INHMNHHN_00304	CDS	1200				hypothetical protein
INHMNHHN_00305	CDS	2286	pqqF			coenzyme PQQ synthesis protein F
INHMNHHN_00306	CDS	1704	eptA_1	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
INHMNHHN_00307	CDS	1314	braZ			branched-chain amino acid transport system 3 carrier protein
INHMNHHN_00308	CDS	240				hypothetical protein
INHMNHHN_00309	CDS	348				hypothetical protein
INHMNHHN_00310	CDS	234				hypothetical protein
INHMNHHN_00311	CDS	501				hypothetical protein
INHMNHHN_00312	CDS	372	hpcD_1	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
INHMNHHN_00313	CDS	336				hypothetical protein
INHMNHHN_00314	CDS	1566				ABC-F family ATPase
INHMNHHN_00315	CDS	267				hypothetical protein
INHMNHHN_00316	CDS	609	azoR2			FMN-dependent NADH-azoreductase
INHMNHHN_00317	CDS	936				transcriptional regulator
INHMNHHN_00318	CDS	684				hypothetical protein
INHMNHHN_00319	CDS	834	bacA	3.6.1.27		undecaprenyl-diphosphatase
INHMNHHN_00320	CDS	576				transporter
INHMNHHN_00321	CDS	609				hypothetical protein
INHMNHHN_00322	CDS	489				hypothetical protein
INHMNHHN_00323	CDS	570				hypothetical protein
INHMNHHN_00324	CDS	1023				hypothetical protein
INHMNHHN_00325	CDS	681				hypothetical protein
INHMNHHN_00326	CDS	753				hypothetical protein
INHMNHHN_00327	CDS	1266				hypothetical protein
INHMNHHN_00328	CDS	927	rbsK			ribokinase
INHMNHHN_00329	CDS	1014	rbsR			ribose operon repressor RbsR
INHMNHHN_00330	CDS	999	rbsC			ribose ABC transporter permease
INHMNHHN_00331	CDS	1533	rbsA			ribose transporter RbsA
INHMNHHN_00332	CDS	960	rbsB			ribose ABC transporter substrate-binding protein
INHMNHHN_00333	CDS	1329				transcriptional regulator
INHMNHHN_00334	CDS	1488				hypothetical protein
INHMNHHN_00335	CDS	1098				hypothetical protein
INHMNHHN_00336	CDS	135				hypothetical protein
INHMNHHN_00337	CDS	1896				hypothetical protein
INHMNHHN_00338	CDS	1140				hypothetical protein
INHMNHHN_00339	CDS	1323				hypothetical protein
INHMNHHN_00340	CDS	1371				hypothetical protein
INHMNHHN_00341	CDS	381				hypothetical protein
INHMNHHN_00342	CDS	2205				hydroxylase large subunit
INHMNHHN_00343	CDS	990				hydroxylase molybdopterin-containing subunit
INHMNHHN_00344	CDS	513				ferredoxin
INHMNHHN_00345	CDS	1296				chemotaxis transducer
INHMNHHN_00346	CDS	297				hypothetical protein
INHMNHHN_00347	CDS	624	rimJ_1			ribosomal protein alanine acetyltransferase
INHMNHHN_00348	CDS	2301	metE	2.1.1.14		5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase
INHMNHHN_00349	CDS	2280				hypothetical protein
INHMNHHN_00350	CDS	327				hypothetical protein
INHMNHHN_00351	CDS	477				hypothetical protein
INHMNHHN_00352	tRNA	90				tRNA-Ser(act)
INHMNHHN_00353	CDS	1962				TonB-dependent receptor
INHMNHHN_00354	CDS	810	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
INHMNHHN_00355	CDS	2028	nrdD	1.17.4.2		anaerobic ribonucleoside triphosphate reductase
INHMNHHN_00356	CDS	147				hypothetical protein
INHMNHHN_00357	CDS	699	nrdG			class III (anaerobic) ribonucleoside-triphosphate reductase activating protein NrdG
INHMNHHN_00358	CDS	1401				oxidoreductase
INHMNHHN_00359	CDS	348				hypothetical protein
INHMNHHN_00360	CDS	1233				amino acid permease
INHMNHHN_00361	CDS	1548				hypothetical protein
INHMNHHN_00362	CDS	1227				hypothetical protein
INHMNHHN_00363	CDS	681				hypothetical protein
INHMNHHN_00364	CDS	507	femI			ECF sigma factor FemI
INHMNHHN_00365	CDS	951	femR			sigma factor regulator FemR
INHMNHHN_00366	CDS	2415	femA			ferric-mycobactin receptor FemA
INHMNHHN_00367	CDS	1152				hypothetical protein
INHMNHHN_00368	CDS	189				hypothetical protein
INHMNHHN_00369	CDS	1212				major facilitator superfamily transporter
INHMNHHN_00370	CDS	1641				hypothetical protein
INHMNHHN_00371	CDS	537				hypothetical protein
INHMNHHN_00372	CDS	648	phzG2_2			pyridoxamine 5'-phosphate oxidase
INHMNHHN_00373	CDS	231				hypothetical protein
INHMNHHN_00374	CDS	2757				sensor/response regulator hybrid protein
INHMNHHN_00375	CDS	1197				hypothetical protein
INHMNHHN_00376	CDS	1758				acetyltransferase
INHMNHHN_00377	CDS	1770				glutamine amidotransferase
INHMNHHN_00378	CDS	474				transcriptional regulator
INHMNHHN_00379	CDS	753				hypothetical protein
INHMNHHN_00380	CDS	1965				tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
INHMNHHN_00381	CDS	1491		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
INHMNHHN_00382	CDS	1185				acyl-CoA thiolase
INHMNHHN_00383	CDS	666				hypothetical protein
INHMNHHN_00384	CDS	1572	mqoA	1.1.5.4		malate:quinone oxidoreductase
INHMNHHN_00385	CDS	210				hypothetical protein
INHMNHHN_00386	CDS	639				antioxidant protein
INHMNHHN_00387	CDS	1002	ssuA_1			Putative aliphatic sulfonates-binding protein
INHMNHHN_00388	CDS	825				ABC transporter permease
INHMNHHN_00389	CDS	750				ABC transporter ATP-binding protein
INHMNHHN_00390	CDS	594				NAD(P)H-dependent FMN reductase
INHMNHHN_00391	CDS	972	ssuA_2			Putative aliphatic sulfonates-binding protein
INHMNHHN_00392	CDS	1149		1.14.14.5		alkanesulfonate monooxygenase
INHMNHHN_00393	CDS	789				ABC transporter permease
INHMNHHN_00394	CDS	825				aliphatic sulfonates ABC transporter ATP-binding subunit
INHMNHHN_00395	CDS	216				molybdopterin-binding protein
INHMNHHN_00396	CDS	339				type III effector protein
INHMNHHN_00397	CDS	312				hypothetical protein
INHMNHHN_00398	CDS	372	folX			D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase
INHMNHHN_00399	CDS	561	folE1	3.5.4.16		GTP cyclohydrolase I
INHMNHHN_00400	CDS	705	folM			short-chain dehydrogenase
INHMNHHN_00401	CDS	558				hypothetical protein
INHMNHHN_00402	CDS	453				flavodoxin
INHMNHHN_00403	CDS	894				transcriptional regulator
INHMNHHN_00404	CDS	390	cidA_1			Holin-like protein CidA
INHMNHHN_00405	CDS	687	yohK_1		COG1346	Inner membrane protein YohK
INHMNHHN_00406	CDS	780				aldolase
INHMNHHN_00407	CDS	897				epoxide hydrolase
INHMNHHN_00408	CDS	294				hypothetical protein
INHMNHHN_00409	CDS	912				short-chain dehydrogenase
INHMNHHN_00410	CDS	771		4.2.1.17		enoyl-CoA hydratase
INHMNHHN_00411	CDS	345				hypothetical protein
INHMNHHN_00412	CDS	1407				oxidoreductase
INHMNHHN_00413	CDS	807				transcriptional regulator
INHMNHHN_00414	CDS	1758	gbt_1			glycine betaine transmethylase
INHMNHHN_00415	CDS	1371				putative protein
INHMNHHN_00416	CDS	2484				transcriptional regulator
INHMNHHN_00417	CDS	813				hypothetical protein
INHMNHHN_00418	CDS	1026	ldh			leucine dehydrogenase
INHMNHHN_00419	CDS	1098				pyruvate dehydrogenase E1 component subunit alpha
INHMNHHN_00420	CDS	1002				pyruvate dehydrogenase E1 component subunit beta
INHMNHHN_00421	CDS	1113				branched-chain alpha-keto acid dehydrogenase subunit E2
INHMNHHN_00422	CDS	399				hypothetical protein
INHMNHHN_00423	CDS	585				hypothetical protein
INHMNHHN_00424	CDS	267				hypothetical protein
INHMNHHN_00425	CDS	270				hypothetical protein
INHMNHHN_00426	CDS	219				hypothetical protein
INHMNHHN_00427	CDS	516				ECF subfamily sigma-70 factor
INHMNHHN_00428	CDS	987				transmembrane sensor
INHMNHHN_00429	CDS	2676	hasR			heme uptake outer membrane receptor HasR
INHMNHHN_00430	CDS	618	hasAp			heme acquisition protein HasA
INHMNHHN_00431	CDS	1791	hasD			transporter HasD
INHMNHHN_00432	CDS	1332	hasE			metalloprotease secretion protein
INHMNHHN_00433	CDS	1356	aprF_1			alkaline protease secretion protein AprF
INHMNHHN_00434	CDS	288				hypothetical protein
INHMNHHN_00435	CDS	486	psiE			Protein PsiE
