	imipenem
Kpn_IMI_R_314	1
Kpn_IMI_R_108	1
Kpn_IMI_R_209	1
Kpn_IMI_R_388	1
Kpn_IMI_R_27	1
Kpn_IMI_R_375	1
Kpn_IMI_R_62	1
Kpn_IMI_R_330	1
Kpn_IMI_R_268	1
Kpn_IMI_R_194	1
Kpn_IMI_R_169	1
Kpn_IMI_R_295	1
Kpn_IMI_R_111	1
Kpn_IMI_R_154	1
Kpn_IMI_R_210	1
Kpn_IMI_R_255	1
Kpn_IMI_R_348	1
Kpn_IMI_R_212	1
Kpn_IMI_R_257	1
Kpn_IMI_R_113	1
Kpn_IMI_R_156	1
Kpn_IMI_R_18	1
Kpn_IMI_R_25	1
Kpn_IMI_R_377	1
Kpn_IMI_R_60	1
Kpn_IMI_R_332	1
Kpn_IMI_R_297	1
Kpn_IMI_R_196	1
Kpn_IMI_R_353	1
Kpn_IMI_R_44	1
Kpn_IMI_R_316	1
Kpn_IMI_R_137	1
Kpn_IMI_R_172	1
Kpn_IMI_R_236	1
Kpn_IMI_R_273	1
Kpn_IMI_R_79	1
Kpn_IMI_R_4	1
Kpn_IMI_R_393	1
Kpn_IMI_R_84	1
Kpn_IMI_R_357	1
Kpn_IMI_R_40	1
Kpn_IMI_R_312	1
Kpn_IMI_R_397	1
Kpn_IMI_R_80	1
Kpn_IMI_R_38	1
Kpn_IMI_R_0	1
Kpn_IMI_R_232	1
Kpn_IMI_R_277	1
Kpn_IMI_R_133	1
Kpn_IMI_R_176	1
Kpn_IMI_R_59	1
Kpn_IMI_R_117	1
Kpn_IMI_R_152	1
Kpn_IMI_R_216	1
Kpn_IMI_R_253	1
Kpn_IMI_R_192	1
Kpn_IMI_R_293	1
Kpn_IMI_R_99	1
Kpn_IMI_R_21	1
Kpn_IMI_R_373	1
Kpn_IMI_R_64	1
Kpn_IMI_R_336	1
Kpn_IMI_R_128	1
Kpn_IMI_R_291	1
Kpn_IMI_R_229	1
Kpn_IMI_R_190	1
Kpn_IMI_R_23	1
Kpn_IMI_R_371	1
Kpn_IMI_R_66	1
Kpn_IMI_R_334	1
Kpn_IMI_R_309	1
Kpn_IMI_R_214	1
Kpn_IMI_R_251	1
Kpn_IMI_R_115	1
Kpn_IMI_R_150	1
Kpn_IMI_R_2	1
Kpn_IMI_R_368	1
Kpn_IMI_R_395	1
Kpn_IMI_R_82	1
Kpn_IMI_R_288	1
Kpn_IMI_R_131	1
Kpn_IMI_R_174	1
Kpn_IMI_R_189	1
Kpn_IMI_R_230	1
Kpn_IMI_R_275	1
Kpn_IMI_R_248	1
Kpn_IMI_R_149	1
Kpn_IMI_R_355	1
Kpn_IMI_R_42	1
Kpn_IMI_R_310	1
Kpn_IMI_R_296	1
Kpn_IMI_R_197	1
Kpn_IMI_R_61	1
Kpn_IMI_R_333	1
Kpn_IMI_R_24	1
Kpn_IMI_R_376	1
Kpn_IMI_R_19	1
Kpn_IMI_R_256	1
Kpn_IMI_R_213	1
Kpn_IMI_R_157	1
Kpn_IMI_R_112	1
Kpn_IMI_R_78	1
Kpn_IMI_R_5	1
Kpn_IMI_R_85	1
Kpn_IMI_R_392	1
Kpn_IMI_R_173	1
Kpn_IMI_R_136	1
Kpn_IMI_R_272	1
Kpn_IMI_R_237	1
Kpn_IMI_R_45	1
Kpn_IMI_R_317	1
Kpn_IMI_R_352	1
Kpn_IMI_R_109	1
Kpn_IMI_R_208	1
Kpn_IMI_R_47	1
Kpn_IMI_R_315	1
Kpn_IMI_R_350	1
Kpn_IMI_R_87	1
Kpn_IMI_R_390	1
Kpn_IMI_R_7	1
Kpn_IMI_R_328	1
Kpn_IMI_R_270	1
Kpn_IMI_R_235	1
Kpn_IMI_R_171	1
Kpn_IMI_R_134	1
Kpn_IMI_R_349	1
Kpn_IMI_R_155	1
Kpn_IMI_R_110	1
Kpn_IMI_R_254	1
Kpn_IMI_R_211	1
Kpn_IMI_R_269	1
Kpn_IMI_R_195	1
Kpn_IMI_R_168	1
Kpn_IMI_R_294	1
Kpn_IMI_R_389	1
Kpn_IMI_R_63	1
Kpn_IMI_R_331	1
Kpn_IMI_R_26	1
Kpn_IMI_R_374	1
Kpn_IMI_R_250	1
Kpn_IMI_R_215	1
Kpn_IMI_R_151	1
Kpn_IMI_R_114	1
Kpn_IMI_R_308	1
Kpn_IMI_R_67	1
Kpn_IMI_R_335	1
Kpn_IMI_R_22	1
Kpn_IMI_R_370	1
Kpn_IMI_R_129	1
Kpn_IMI_R_290	1
Kpn_IMI_R_228	1
Kpn_IMI_R_191	1
Kpn_IMI_R_43	1
Kpn_IMI_R_311	1
Kpn_IMI_R_354	1
Kpn_IMI_R_249	1
Kpn_IMI_R_148	1
Kpn_IMI_R_289	1
Kpn_IMI_R_175	1
Kpn_IMI_R_130	1
Kpn_IMI_R_188	1
Kpn_IMI_R_274	1
Kpn_IMI_R_231	1
Kpn_IMI_R_3	1
Kpn_IMI_R_394	1
Kpn_IMI_R_276	1
Kpn_IMI_R_233	1
Kpn_IMI_R_177	1
Kpn_IMI_R_132	1
Kpn_IMI_R_81	1
Kpn_IMI_R_396	1
Kpn_IMI_R_39	1
Kpn_IMI_R_1	1
Kpn_IMI_R_41	1
Kpn_IMI_R_313	1
Kpn_IMI_R_356	1
Kpn_IMI_R_98	1
Kpn_IMI_R_65	1
Kpn_IMI_R_337	1
Kpn_IMI_R_20	1
Kpn_IMI_R_372	1
Kpn_IMI_R_193	1
Kpn_IMI_R_292	1
Kpn_IMI_R_153	1
Kpn_IMI_R_116	1
Kpn_IMI_R_252	1
Kpn_IMI_R_217	1
Kpn_IMI_R_58	1
Kpn_IMI_R_140	1
Kpn_IMI_R_11	1
Kpn_IMI_R_343	1
Kpn_IMI_R_54	1
Kpn_IMI_R_306	1
Kpn_IMI_R_383	1
Kpn_IMI_R_94	1
Kpn_IMI_R_69	1
Kpn_IMI_R_226	1
Kpn_IMI_R_263	1
Kpn_IMI_R_127	1
Kpn_IMI_R_162	1
Kpn_IMI_R_103	1
Kpn_IMI_R_146	1
Kpn_IMI_R_202	1
Kpn_IMI_R_247	1
Kpn_IMI_R_186	1
Kpn_IMI_R_287	1
Kpn_IMI_R_35	1
Kpn_IMI_R_367	1
Kpn_IMI_R_70	1
Kpn_IMI_R_322	1
Kpn_IMI_R_179	1
Kpn_IMI_R_285	1
Kpn_IMI_R_278	1
Kpn_IMI_R_184	1
Kpn_IMI_R_37	1
Kpn_IMI_R_365	1
Kpn_IMI_R_72	1
Kpn_IMI_R_320	1
Kpn_IMI_R_398	1
Kpn_IMI_R_358	1
Kpn_IMI_R_200	1
Kpn_IMI_R_245	1
Kpn_IMI_R_101	1
Kpn_IMI_R_144	1
Kpn_IMI_R_339	1
Kpn_IMI_R_381	1
Kpn_IMI_R_96	1
Kpn_IMI_R_125	1
Kpn_IMI_R_160	1
Kpn_IMI_R_224	1
Kpn_IMI_R_261	1
Kpn_IMI_R_267	1
Kpn_IMI_R_28	1
Kpn_IMI_R_369	1
Kpn_IMI_R_83	1
Kpn_IMI_S_13	0
Kpn_IMI_S_56	0
Kpn_IMI_S_286	0
Kpn_IMI_S_242	0
Kpn_IMI_S_207	0
Kpn_IMI_S_92	0
Kpn_IMI_S_143	0
Kpn_IMI_S_106	0
Kpn_IMI_S_17	0
Kpn_IMI_S_52	0
Kpn_IMI_S_282	0
Kpn_IMI_S_183	0
Kpn_IMI_S_327	0
Kpn_IMI_S_362	0
Kpn_IMI_S_33	0
Kpn_IMI_S_76	0
Kpn_IMI_S_303	0
Kpn_IMI_S_346	0
Kpn_IMI_S_386	0
Kpn_IMI_S_167	0
Kpn_IMI_S_122	0
Kpn_IMI_S_266	0
Kpn_IMI_S_223	0
Kpn_IMI_S_384	0
Kpn_IMI_S_379	0
Kpn_IMI_S_264	0
Kpn_IMI_S_221	0
Kpn_IMI_S_198	0
Kpn_IMI_S_165	0
Kpn_IMI_S_120	0
Kpn_IMI_S_49	0
Kpn_IMI_S_299	0
Kpn_IMI_S_158	0
Kpn_IMI_S_31	0
Kpn_IMI_S_74	0
Kpn_IMI_S_259	0
Kpn_IMI_S_89	0
Kpn_IMI_S_301	0
Kpn_IMI_S_344	0
Kpn_IMI_S_181	0
Kpn_IMI_S_238	0
Kpn_IMI_S_15	0
Kpn_IMI_S_50	0
Kpn_IMI_S_280	0
Kpn_IMI_S_139	0
Kpn_IMI_S_325	0
Kpn_IMI_S_360	0
Kpn_IMI_S_318	0
Kpn_IMI_S_28	0
Kpn_IMI_S_141	0
Kpn_IMI_S_104	0
Kpn_IMI_S_240	0
Kpn_IMI_S_205	0
Kpn_IMI_S_90	0
Kpn_IMI_S_383	0
Kpn_IMI_S_226	0
Kpn_IMI_S_263	0
Kpn_IMI_S_127	0
Kpn_IMI_S_162	0
Kpn_IMI_S_73	0
Kpn_IMI_S_36	0
Kpn_IMI_S_343	0
Kpn_IMI_S_306	0
Kpn_IMI_S_186	0
Kpn_IMI_S_57	0
Kpn_IMI_S_12	0
Kpn_IMI_S_287	0
Kpn_IMI_S_367	0
Kpn_IMI_S_322	0
Kpn_IMI_S_103	0
Kpn_IMI_S_146	0
Kpn_IMI_S_202	0
Kpn_IMI_S_247	0
Kpn_IMI_S_97	0
Kpn_IMI_S_8	0
Kpn_IMI_S_358	0
Kpn_IMI_S_200	0
Kpn_IMI_S_245	0
Kpn_IMI_S_95	0
Kpn_IMI_S_68	0
Kpn_IMI_S_101	0
Kpn_IMI_S_144	0
Kpn_IMI_S_55	0
Kpn_IMI_S_10	0
Kpn_IMI_S_285	0
Kpn_IMI_S_179	0
Kpn_IMI_S_184	0
Kpn_IMI_S_278	0
Kpn_IMI_S_365	0
Kpn_IMI_S_320	0
Kpn_IMI_S_398	0
Kpn_IMI_S_219	0
Kpn_IMI_S_118	0
Kpn_IMI_S_71	0
Kpn_IMI_S_34	0
Kpn_IMI_S_341	0
Kpn_IMI_S_304	0
Kpn_IMI_S_339	0
Kpn_IMI_S_381	0
Kpn_IMI_S_125	0
Kpn_IMI_S_160	0
Kpn_IMI_S_224	0
Kpn_IMI_S_261	0
Kpn_IMI_S_345	0
Kpn_IMI_S_300	0
Kpn_IMI_S_159	0
Kpn_IMI_S_75	0
Kpn_IMI_S_30	0
Kpn_IMI_S_258	0
Kpn_IMI_S_88	0
Kpn_IMI_S_220	0
Kpn_IMI_S_265	0
Kpn_IMI_S_199	0
Kpn_IMI_S_121	0
Kpn_IMI_S_164	0
Kpn_IMI_S_48	0
Kpn_IMI_S_298	0
Kpn_IMI_S_385	0
Kpn_IMI_S_378	0
Kpn_IMI_S_29	0
Kpn_IMI_S_105	0
Kpn_IMI_S_140	0
Kpn_IMI_S_204	0
Kpn_IMI_S_241	0
Kpn_IMI_S_91	0
Kpn_IMI_S_319	0
Kpn_IMI_S_361	0
Kpn_IMI_S_324	0
Kpn_IMI_S_180	0
Kpn_IMI_S_239	0
Kpn_IMI_S_51	0
Kpn_IMI_S_14	0
Kpn_IMI_S_281	0
Kpn_IMI_S_138	0
Kpn_IMI_S_363	0
Kpn_IMI_S_326	0
Kpn_IMI_S_53	0
Kpn_IMI_S_16	0
Kpn_IMI_S_283	0
Kpn_IMI_S_182	0
Kpn_IMI_S_206	0
Kpn_IMI_S_243	0
Kpn_IMI_S_93	0
Kpn_IMI_S_107	0
Kpn_IMI_S_142	0
Kpn_IMI_S_123	0
Kpn_IMI_S_166	0
Kpn_IMI_S_222	0
Kpn_IMI_S_267	0
Kpn_IMI_S_387	0
Kpn_IMI_S_347	0
Kpn_IMI_S_302	0
Kpn_IMI_S_77	0
Kpn_IMI_S_32	0
Kpn_IMI_S_86	0
Kpn_IMI_S_256	0
Kpn_IMI_S_213	0
Kpn_IMI_S_157	0
Kpn_IMI_S_112	0
Kpn_IMI_S_296	0
Kpn_IMI_S_46	0
Kpn_IMI_S_197	0
Kpn_IMI_S_333	0
Kpn_IMI_S_376	0
Kpn_IMI_S_27	0
Kpn_IMI_S_62	0
Kpn_IMI_S_2	0
Kpn_IMI_S_317	0
Kpn_IMI_S_352	0
Kpn_IMI_S_392	0
Kpn_IMI_S_173	0
Kpn_IMI_S_136	0
Kpn_IMI_S_272	0
Kpn_IMI_S_237	0
Kpn_IMI_S_390	0
Kpn_IMI_S_328	0
Kpn_IMI_S_270	0
Kpn_IMI_S_235	0
Kpn_IMI_S_171	0
Kpn_IMI_S_134	0
Kpn_IMI_S_18	0
Kpn_IMI_S_109	0
Kpn_IMI_S_25	0
Kpn_IMI_S_60	0
Kpn_IMI_S_208	0
Kpn_IMI_S_315	0
Kpn_IMI_S_350	0
Kpn_IMI_S_0	0
Kpn_IMI_S_195	0
Kpn_IMI_S_269	0
Kpn_IMI_S_294	0
Kpn_IMI_S_44	0
Kpn_IMI_S_168	0
Kpn_IMI_S_389	0
Kpn_IMI_S_331	0
Kpn_IMI_S_374	0
Kpn_IMI_S_349	0
Kpn_IMI_S_79	0
Kpn_IMI_S_155	0
Kpn_IMI_S_110	0
Kpn_IMI_S_84	0
Kpn_IMI_S_254	0
Kpn_IMI_S_211	0
Kpn_IMI_S_335	0
Kpn_IMI_S_370	0
Kpn_IMI_S_290	0
Kpn_IMI_S_40	0
Kpn_IMI_S_129	0
Kpn_IMI_S_191	0
Kpn_IMI_S_228	0
Kpn_IMI_S_80	0
Kpn_IMI_S_250	0
Kpn_IMI_S_215	0
Kpn_IMI_S_38	0
Kpn_IMI_S_151	0
Kpn_IMI_S_114	0
Kpn_IMI_S_308	0
Kpn_IMI_S_175	0
Kpn_IMI_S_130	0
Kpn_IMI_S_289	0
Kpn_IMI_S_59	0
Kpn_IMI_S_274	0
Kpn_IMI_S_231	0
Kpn_IMI_S_188	0
Kpn_IMI_S_369	0
Kpn_IMI_S_394	0
Kpn_IMI_S_4	0
Kpn_IMI_S_311	0
Kpn_IMI_S_354	0
Kpn_IMI_S_99	0
Kpn_IMI_S_249	0
Kpn_IMI_S_148	0
Kpn_IMI_S_21	0
Kpn_IMI_S_64	0
Kpn_IMI_S_313	0
Kpn_IMI_S_356	0
Kpn_IMI_S_6	0
Kpn_IMI_S_23	0
Kpn_IMI_S_66	0
Kpn_IMI_S_276	0
Kpn_IMI_S_233	0
Kpn_IMI_S_177	0
Kpn_IMI_S_132	0
Kpn_IMI_S_396	0
Kpn_IMI_S_153	0
Kpn_IMI_S_116	0
Kpn_IMI_S_82	0
Kpn_IMI_S_252	0
Kpn_IMI_S_217	0
Kpn_IMI_S_337	0
Kpn_IMI_S_372	0
Kpn_IMI_S_193	0
Kpn_IMI_S_292	0
Kpn_IMI_S_42	0
Kpn_IMI_S_351	0
Kpn_IMI_S_314	0
Kpn_IMI_S_1	0
Kpn_IMI_S_108	0
Kpn_IMI_S_61	0
Kpn_IMI_S_24	0
Kpn_IMI_S_209	0
Kpn_IMI_S_234	0
Kpn_IMI_S_271	0
Kpn_IMI_S_135	0
Kpn_IMI_S_170	0
Kpn_IMI_S_19	0
Kpn_IMI_S_391	0
Kpn_IMI_S_329	0
Kpn_IMI_S_78	0
Kpn_IMI_S_111	0
Kpn_IMI_S_154	0
Kpn_IMI_S_85	0
Kpn_IMI_S_210	0
Kpn_IMI_S_255	0
Kpn_IMI_S_348	0
Kpn_IMI_S_388	0
Kpn_IMI_S_375	0
Kpn_IMI_S_330	0
Kpn_IMI_S_194	0
Kpn_IMI_S_268	0
Kpn_IMI_S_295	0
Kpn_IMI_S_45	0
Kpn_IMI_S_169	0
Kpn_IMI_S_377	0
Kpn_IMI_S_332	0
Kpn_IMI_S_297	0
Kpn_IMI_S_47	0
Kpn_IMI_S_196	0
Kpn_IMI_S_87	0
Kpn_IMI_S_212	0
Kpn_IMI_S_257	0
Kpn_IMI_S_113	0
Kpn_IMI_S_156	0
Kpn_IMI_S_137	0
Kpn_IMI_S_172	0
Kpn_IMI_S_236	0
Kpn_IMI_S_273	0
Kpn_IMI_S_393	0
Kpn_IMI_S_3	0
Kpn_IMI_S_353	0
Kpn_IMI_S_316	0
Kpn_IMI_S_63	0
Kpn_IMI_S_26	0
Kpn_IMI_S_397	0
Kpn_IMI_S_232	0
Kpn_IMI_S_277	0
Kpn_IMI_S_133	0
Kpn_IMI_S_176	0
Kpn_IMI_S_67	0
Kpn_IMI_S_22	0
Kpn_IMI_S_357	0
Kpn_IMI_S_312	0
Kpn_IMI_S_7	0
Kpn_IMI_S_192	0
Kpn_IMI_S_293	0
Kpn_IMI_S_43	0
Kpn_IMI_S_373	0
Kpn_IMI_S_336	0
Kpn_IMI_S_117	0
Kpn_IMI_S_152	0
Kpn_IMI_S_83	0
Kpn_IMI_S_216	0
Kpn_IMI_S_253	0
Kpn_IMI_S_309	0
Kpn_IMI_S_81	0
Kpn_IMI_S_214	0
Kpn_IMI_S_251	0
Kpn_IMI_S_39	0
Kpn_IMI_S_115	0
Kpn_IMI_S_150	0
Kpn_IMI_S_291	0
Kpn_IMI_S_41	0
Kpn_IMI_S_128	0
Kpn_IMI_S_190	0
Kpn_IMI_S_229	0
Kpn_IMI_S_371	0
Kpn_IMI_S_334	0
Kpn_IMI_S_98	0
Kpn_IMI_S_248	0
Kpn_IMI_S_149	0
Kpn_IMI_S_65	0
Kpn_IMI_S_20	0
Kpn_IMI_S_5	0
Kpn_IMI_S_355	0
Kpn_IMI_S_310	0
Kpn_IMI_S_368	0
Kpn_IMI_S_395	0
Kpn_IMI_S_131	0
Kpn_IMI_S_174	0
Kpn_IMI_S_288	0
Kpn_IMI_S_58	0
Kpn_IMI_S_230	0
Kpn_IMI_S_275	0
Kpn_IMI_S_189	0
Kpn_IMI_0	0
Kpn_IMI_1	0
Kpn_IMI_2	0
Kpn_IMI_3	0
Kpn_IMI_4	0
Kpn_IMI_5	0
Kpn_IMI_6	0
Kpn_IMI_7	0
Kpn_IMI_8	0
Kpn_IMI_9	0
Kpn_IMI_10	0
Kpn_IMI_11	0
Kpn_IMI_12	0
Kpn_IMI_13	0
Kpn_IMI_14	0
Kpn_IMI_15	0
Kpn_IMI_16	0
Kpn_IMI_17	0
Kpn_IMI_18	0
Kpn_IMI_19	0
Kpn_IMI_20	0
Kpn_IMI_21	0
Kpn_IMI_22	0
Kpn_IMI_23	0
Kpn_IMI_24	0
Kpn_IMI_25	0
Kpn_IMI_26	0
Kpn_IMI_27	0
Kpn_IMI_28	0
Kpn_IMI_29	0
Kpn_IMI_30	0
Kpn_IMI_31	0
Kpn_IMI_32	0
Kpn_IMI_33	0
Kpn_IMI_34	0
Kpn_IMI_35	0
Kpn_IMI_36	0
Kpn_IMI_37	0
Kpn_IMI_38	0
Kpn_IMI_39	0
Kpn_IMI_40	0
Kpn_IMI_41	0
Kpn_IMI_42	0
Kpn_IMI_43	0
Kpn_IMI_44	0
Kpn_IMI_45	0
Kpn_IMI_46	0
Kpn_IMI_47	0
Kpn_IMI_48	0
Kpn_IMI_49	0
Kpn_IMI_50	0
Kpn_IMI_51	0
Kpn_IMI_52	0
Kpn_IMI_53	0
Kpn_IMI_54	0
Kpn_IMI_55	0
Kpn_IMI_56	0
Kpn_IMI_57	0
Kpn_IMI_58	0
Kpn_IMI_59	0
Kpn_IMI_60	0
Kpn_IMI_61	0
Kpn_IMI_62	0
Kpn_IMI_63	0
Kpn_IMI_64	0
Kpn_IMI_65	0
Kpn_IMI_66	0
Kpn_IMI_67	0
Kpn_IMI_68	0
Kpn_IMI_69	0
Kpn_IMI_70	0
Kpn_IMI_71	0
Kpn_IMI_72	0
Kpn_IMI_73	0
Kpn_IMI_74	0
Kpn_IMI_75	0
Kpn_IMI_76	0
Kpn_IMI_77	0
Kpn_IMI_78	0
Kpn_IMI_79	0
Kpn_IMI_80	0
Kpn_IMI_81	0
Kpn_IMI_82	0
Kpn_IMI_83	0
Kpn_IMI_84	0
Kpn_IMI_85	0
Kpn_IMI_86	0
Kpn_IMI_87	0
Kpn_IMI_88	0
Kpn_IMI_89	0
Kpn_IMI_90	0
Kpn_IMI_91	0
Kpn_IMI_92	0
Kpn_IMI_93	0
Kpn_IMI_94	0
Kpn_IMI_95	0
Kpn_IMI_96	0
Kpn_IMI_97	0
Kpn_IMI_98	0
Kpn_IMI_99	0
Kpn_IMI_100	0
Kpn_IMI_101	0
Kpn_IMI_102	0
Kpn_IMI_103	0
Kpn_IMI_104	0
Kpn_IMI_105	0
Kpn_IMI_106	0
Kpn_IMI_107	0
Kpn_IMI_108	0
Kpn_IMI_109	0
Kpn_IMI_110	0
Kpn_IMI_111	0
Kpn_IMI_112	0
Kpn_IMI_113	0
Kpn_IMI_114	0
Kpn_IMI_115	0
Kpn_IMI_116	0
Kpn_IMI_117	0
Kpn_IMI_118	0
Kpn_IMI_119	0
Kpn_IMI_120	0
Kpn_IMI_121	0
Kpn_IMI_122	0
Kpn_IMI_123	0
Kpn_IMI_124	0
Kpn_IMI_125	0
Kpn_IMI_126	0
Kpn_IMI_127	0
Kpn_IMI_128	0
Kpn_IMI_129	0
Kpn_IMI_130	0
Kpn_IMI_131	0
Kpn_IMI_132	0
Kpn_IMI_133	0
Kpn_IMI_134	0
Kpn_IMI_135	0
Kpn_IMI_136	0
Kpn_IMI_137	0
Kpn_IMI_138	0
Kpn_IMI_139	0
Kpn_IMI_140	0
Kpn_IMI_141	0
Kpn_IMI_142	0
Kpn_IMI_143	0
Kpn_IMI_144	0
Kpn_IMI_145	0
Kpn_IMI_146	0
Kpn_IMI_147	0
Kpn_IMI_148	0
Kpn_IMI_149	0
Kpn_IMI_150	0
Kpn_IMI_151	0
Kpn_IMI_152	0
Kpn_IMI_153	0
Kpn_IMI_154	0
Kpn_IMI_155	0
Kpn_IMI_156	0
Kpn_IMI_157	0
Kpn_IMI_158	0
Kpn_IMI_159	0
Kpn_IMI_160	0
Kpn_IMI_161	0
Kpn_IMI_162	0
Kpn_IMI_163	0
Kpn_IMI_164	0
Kpn_IMI_165	0
Kpn_IMI_166	0
Kpn_IMI_167	0
Kpn_IMI_168	0
Kpn_IMI_169	0
Kpn_IMI_170	0
Kpn_IMI_171	0
Kpn_IMI_172	0
Kpn_IMI_173	0
Kpn_IMI_174	0
Kpn_IMI_175	0
Kpn_IMI_176	0
Kpn_IMI_177	0
Kpn_IMI_178	0
Kpn_IMI_179	0
Kpn_IMI_180	0
Kpn_IMI_181	0
Kpn_IMI_182	0
Kpn_IMI_183	0
Kpn_IMI_184	0
Kpn_IMI_185	0
Kpn_IMI_186	0
Kpn_IMI_187	0
Kpn_IMI_188	0
Kpn_IMI_189	0
Kpn_IMI_190	0
Kpn_IMI_191	0
Kpn_IMI_192	0
Kpn_IMI_193	0
Kpn_IMI_194	0
Kpn_IMI_195	0
Kpn_IMI_196	0
Kpn_IMI_197	0
Kpn_IMI_198	0
Kpn_IMI_199	0
Kpn_IMI_200	0
Kpn_IMI_201	0
Kpn_IMI_202	0
Kpn_IMI_203	0
Kpn_IMI_204	0
Kpn_IMI_205	0
