	piperacillin
Eco_PIP_R_269	1
Eco_PIP_R_9	1
Eco_PIP_R_294	1
Eco_PIP_R_168	1
Eco_PIP_R_155	1
Eco_PIP_R_110	1
Eco_PIP_R_254	1
Eco_PIP_R_211	1
Eco_PIP_R_349	1
Eco_PIP_R_11	1
Eco_PIP_R_54	1
Eco_PIP_R_256	1
Eco_PIP_R_213	1
Eco_PIP_R_157	1
Eco_PIP_R_112	1
Eco_PIP_R_13	1
Eco_PIP_R_56	1
Eco_PIP_R_333	1
Eco_PIP_R_376	1
Eco_PIP_R_96	1
Eco_PIP_R_296	1
Eco_PIP_R_197	1
Eco_PIP_R_317	1
Eco_PIP_R_352	1
Eco_PIP_R_173	1
Eco_PIP_R_136	1
Eco_PIP_R_272	1
Eco_PIP_R_237	1
Eco_PIP_R_392	1
Eco_PIP_R_37	1
Eco_PIP_R_72	1
Eco_PIP_R_313	1
Eco_PIP_R_356	1
Eco_PIP_R_396	1
Eco_PIP_R_33	1
Eco_PIP_R_76	1
Eco_PIP_R_276	1
Eco_PIP_R_233	1
Eco_PIP_R_177	1
Eco_PIP_R_132	1
Eco_PIP_R_17	1
Eco_PIP_R_52	1
Eco_PIP_R_153	1
Eco_PIP_R_116	1
Eco_PIP_R_252	1
Eco_PIP_R_217	1
Eco_PIP_R_193	1
Eco_PIP_R_292	1
Eco_PIP_R_337	1
Eco_PIP_R_372	1
Eco_PIP_R_92	1
Eco_PIP_R_290	1
Eco_PIP_R_129	1
Eco_PIP_R_191	1
Eco_PIP_R_228	1
Eco_PIP_R_90	1
Eco_PIP_R_335	1
Eco_PIP_R_370	1
Eco_PIP_R_28	1
Eco_PIP_R_15	1
Eco_PIP_R_50	1
Eco_PIP_R_308	1
Eco_PIP_R_250	1
Eco_PIP_R_215	1
Eco_PIP_R_151	1
Eco_PIP_R_114	1
Eco_PIP_R_369	1
Eco_PIP_R_89	1
Eco_PIP_R_31	1
Eco_PIP_R_74	1
Eco_PIP_R_394	1
Eco_PIP_R_175	1
Eco_PIP_R_130	1
Eco_PIP_R_289	1
Eco_PIP_R_274	1
Eco_PIP_R_231	1
Eco_PIP_R_188	1
Eco_PIP_R_249	1
Eco_PIP_R_148	1
Eco_PIP_R_49	1
Eco_PIP_R_311	1
Eco_PIP_R_354	1
Eco_PIP_R_105	1
Eco_PIP_R_140	1
Eco_PIP_R_204	1
Eco_PIP_R_241	1
Eco_PIP_R_180	1
Eco_PIP_R_239	1
Eco_PIP_R_281	1
Eco_PIP_R_138	1
Eco_PIP_R_39	1
Eco_PIP_R_81	1
Eco_PIP_R_361	1
Eco_PIP_R_324	1
Eco_PIP_R_307	1
Eco_PIP_R_342	1
Eco_PIP_R_382	1
Eco_PIP_R_27	1
Eco_PIP_R_62	1
Eco_PIP_R_2	1
Eco_PIP_R_262	1
Eco_PIP_R_227	1
Eco_PIP_R_163	1
Eco_PIP_R_126	1
Eco_PIP_R_46	1
Eco_PIP_R_147	1
Eco_PIP_R_102	1
Eco_PIP_R_246	1
Eco_PIP_R_203	1
Eco_PIP_R_187	1
Eco_PIP_R_286	1
Eco_PIP_R_323	1
Eco_PIP_R_366	1
Eco_PIP_R_86	1
Eco_PIP_R_284	1
Eco_PIP_R_178	1
Eco_PIP_R_185	1
Eco_PIP_R_279	1
Eco_PIP_R_84	1
Eco_PIP_R_321	1
Eco_PIP_R_364	1
Eco_PIP_R_399	1
Eco_PIP_R_79	1
Eco_PIP_R_44	1
Eco_PIP_R_359	1
Eco_PIP_R_244	1
Eco_PIP_R_201	1
Eco_PIP_R_145	1
Eco_PIP_R_100	1
Eco_PIP_R_338	1
Eco_PIP_R_25	1
Eco_PIP_R_60	1
Eco_PIP_R_380	1
Eco_PIP_R_161	1
Eco_PIP_R_124	1
Eco_PIP_R_0	1
Eco_PIP_R_260	1
Eco_PIP_R_225	1
Eco_PIP_R_200	1
Eco_PIP_R_245	1
Eco_PIP_R_101	1
Eco_PIP_R_144	1
Eco_PIP_R_45	1
Eco_PIP_R_358	1
Eco_PIP_R_85	1
Eco_PIP_R_365	1
Eco_PIP_R_320	1
Eco_PIP_R_398	1
Eco_PIP_R_78	1
Eco_PIP_R_285	1
Eco_PIP_R_179	1
Eco_PIP_R_184	1
Eco_PIP_R_278	1
Eco_PIP_R_19	1
Eco_PIP_R_341	1
Eco_PIP_R_304	1
Eco_PIP_R_219	1
Eco_PIP_R_118	1
Eco_PIP_R_125	1
Eco_PIP_R_160	1
Eco_PIP_R_224	1
Eco_PIP_R_261	1
Eco_PIP_R_1	1
Eco_PIP_R_339	1
Eco_PIP_R_61	1
Eco_PIP_R_24	1
Eco_PIP_S_161	0
Eco_PIP_S_124	0
Eco_PIP_S_47	0
Eco_PIP_S_260	0
Eco_PIP_S_225	0
Eco_PIP_S_301	0
Eco_PIP_S_344	0
Eco_PIP_S_3	0
Eco_PIP_S_83	0
Eco_PIP_S_158	0
Eco_PIP_S_259	0
Eco_PIP_S_198	0
Eco_PIP_S_43	0
Eco_PIP_S_264	0
Eco_PIP_S_221	0
Eco_PIP_S_299	0
Eco_PIP_S_165	0
Eco_PIP_S_120	0
Eco_PIP_S_384	0
Eco_PIP_S_379	0
Eco_PIP_S_141	0
Eco_PIP_S_104	0
Eco_PIP_S_240	0
Eco_PIP_S_205	0
Eco_PIP_S_67	0
Eco_PIP_S_22	0
Eco_PIP_S_318	0
Eco_PIP_S_325	0
Eco_PIP_S_360	0
Eco_PIP_S_238	0
Eco_PIP_S_181	0
Eco_PIP_S_139	0
Eco_PIP_S_280	0
Eco_PIP_S_327	0
Eco_PIP_S_362	0
Eco_PIP_S_282	0
Eco_PIP_S_183	0
Eco_PIP_S_58	0
Eco_PIP_S_65	0
Eco_PIP_S_20	0
Eco_PIP_S_242	0
Eco_PIP_S_207	0
Eco_PIP_S_98	0
Eco_PIP_S_143	0
Eco_PIP_S_106	0
Eco_PIP_S_167	0
Eco_PIP_S_122	0
Eco_PIP_S_266	0
Eco_PIP_S_223	0
Eco_PIP_S_41	0
Eco_PIP_S_386	0
Eco_PIP_S_303	0
Eco_PIP_S_346	0
Eco_PIP_S_39	0
Eco_PIP_S_81	0
Eco_PIP_S_1	0
Eco_PIP_S_365	0
Eco_PIP_S_320	0
Eco_PIP_S_398	0
Eco_PIP_S_179	0
Eco_PIP_S_285	0
Eco_PIP_S_278	0
Eco_PIP_S_184	0
Eco_PIP_S_200	0
Eco_PIP_S_245	0
Eco_PIP_S_27	0
Eco_PIP_S_62	0
Eco_PIP_S_101	0
Eco_PIP_S_144	0
Eco_PIP_S_358	0
Eco_PIP_S_125	0
Eco_PIP_S_160	0
Eco_PIP_S_46	0
Eco_PIP_S_224	0
Eco_PIP_S_261	0
Eco_PIP_S_339	0
Eco_PIP_S_381	0
Eco_PIP_S_341	0
Eco_PIP_S_304	0
Eco_PIP_S_219	0
Eco_PIP_S_6	0
Eco_PIP_S_86	0
Eco_PIP_S_118	0
Eco_PIP_S_343	0
Eco_PIP_S_306	0
Eco_PIP_S_84	0
Eco_PIP_S_4	0
Eco_PIP_S_79	0
Eco_PIP_S_226	0
Eco_PIP_S_263	0
Eco_PIP_S_44	0
Eco_PIP_S_127	0
Eco_PIP_S_162	0
Eco_PIP_S_383	0
Eco_PIP_S_103	0
Eco_PIP_S_146	0
Eco_PIP_S_25	0
Eco_PIP_S_60	0
Eco_PIP_S_202	0
Eco_PIP_S_247	0
Eco_PIP_S_367	0
Eco_PIP_S_322	0
Eco_PIP_S_186	0
Eco_PIP_S_18	0
Eco_PIP_S_287	0
Eco_PIP_S_21	0
Eco_PIP_S_64	0
Eco_PIP_S_206	0
Eco_PIP_S_243	0
Eco_PIP_S_99	0
Eco_PIP_S_107	0
Eco_PIP_S_142	0
Eco_PIP_S_283	0
Eco_PIP_S_182	0
Eco_PIP_S_59	0
Eco_PIP_S_363	0
Eco_PIP_S_326	0
Eco_PIP_S_38	0
Eco_PIP_S_80	0
Eco_PIP_S_0	0
Eco_PIP_S_347	0
Eco_PIP_S_302	0
Eco_PIP_S_387	0
Eco_PIP_S_123	0
Eco_PIP_S_166	0
Eco_PIP_S_222	0
Eco_PIP_S_267	0
Eco_PIP_S_40	0
Eco_PIP_S_385	0
Eco_PIP_S_378	0
Eco_PIP_S_199	0
Eco_PIP_S_42	0
Eco_PIP_S_220	0
Eco_PIP_S_265	0
Eco_PIP_S_298	0
Eco_PIP_S_121	0
Eco_PIP_S_164	0
Eco_PIP_S_2	0
Eco_PIP_S_82	0
Eco_PIP_S_159	0
Eco_PIP_S_258	0
Eco_PIP_S_345	0
Eco_PIP_S_300	0
Eco_PIP_S_239	0
Eco_PIP_S_180	0
Eco_PIP_S_138	0
Eco_PIP_S_281	0
Eco_PIP_S_361	0
Eco_PIP_S_324	0
Eco_PIP_S_319	0
Eco_PIP_S_105	0
Eco_PIP_S_140	0
Eco_PIP_S_204	0
Eco_PIP_S_241	0
Eco_PIP_S_23	0
Eco_PIP_S_66	0
Eco_PIP_S_315	0
Eco_PIP_S_350	0
Eco_PIP_S_109	0
Eco_PIP_S_97	0
Eco_PIP_S_208	0
Eco_PIP_S_57	0
Eco_PIP_S_12	0
Eco_PIP_S_270	0
Eco_PIP_S_235	0
Eco_PIP_S_171	0
Eco_PIP_S_134	0
Eco_PIP_S_390	0
Eco_PIP_S_328	0
Eco_PIP_S_155	0
Eco_PIP_S_110	0
Eco_PIP_S_254	0
Eco_PIP_S_211	0
Eco_PIP_S_73	0
Eco_PIP_S_36	0
Eco_PIP_S_349	0
Eco_PIP_S_389	0
Eco_PIP_S_331	0
Eco_PIP_S_374	0
Eco_PIP_S_269	0
Eco_PIP_S_195	0
Eco_PIP_S_168	0
Eco_PIP_S_294	0
Eco_PIP_S_333	0
Eco_PIP_S_376	0
Eco_PIP_S_296	0
Eco_PIP_S_197	0
Eco_PIP_S_71	0
Eco_PIP_S_34	0
Eco_PIP_S_256	0
Eco_PIP_S_213	0
Eco_PIP_S_157	0
Eco_PIP_S_112	0
Eco_PIP_S_173	0
Eco_PIP_S_136	0
Eco_PIP_S_272	0
Eco_PIP_S_237	0
Eco_PIP_S_55	0
Eco_PIP_S_10	0
Eco_PIP_S_392	0
Eco_PIP_S_317	0
Eco_PIP_S_352	0
Eco_PIP_S_68	0
Eco_PIP_S_95	0
Eco_PIP_S_396	0
Eco_PIP_S_276	0
Eco_PIP_S_233	0
Eco_PIP_S_51	0
Eco_PIP_S_14	0
Eco_PIP_S_177	0
Eco_PIP_S_132	0
Eco_PIP_S_91	0
Eco_PIP_S_29	0
Eco_PIP_S_313	0
Eco_PIP_S_356	0
Eco_PIP_S_48	0
Eco_PIP_S_193	0
Eco_PIP_S_292	0
Eco_PIP_S_337	0
Eco_PIP_S_372	0
Eco_PIP_S_8	0
Eco_PIP_S_153	0
Eco_PIP_S_116	0
Eco_PIP_S_88	0
Eco_PIP_S_75	0
Eco_PIP_S_30	0
Eco_PIP_S_252	0
Eco_PIP_S_217	0
Eco_PIP_S_308	0
Eco_PIP_S_250	0
Eco_PIP_S_215	0
Eco_PIP_S_77	0
Eco_PIP_S_32	0
Eco_PIP_S_151	0
Eco_PIP_S_114	0
Eco_PIP_S_129	0
Eco_PIP_S_290	0
Eco_PIP_S_228	0
Eco_PIP_S_191	0
Eco_PIP_S_335	0
Eco_PIP_S_370	0
Eco_PIP_S_249	0
Eco_PIP_S_148	0
Eco_PIP_S_93	0
Eco_PIP_S_311	0
Eco_PIP_S_354	0
Eco_PIP_S_369	0
Eco_PIP_S_394	0
Eco_PIP_S_289	0
Eco_PIP_S_175	0
Eco_PIP_S_130	0
Eco_PIP_S_53	0
Eco_PIP_S_16	0
Eco_PIP_S_188	0
Eco_PIP_S_274	0
Eco_PIP_S_231	0
Eco_PIP_S_35	0
Eco_PIP_S_70	0
Eco_PIP_S_212	0
Eco_PIP_S_257	0
Eco_PIP_S_113	0
Eco_PIP_S_156	0
Eco_PIP_S_297	0
Eco_PIP_S_196	0
Eco_PIP_S_377	0
Eco_PIP_S_332	0
Eco_PIP_S_69	0
Eco_PIP_S_94	0
Eco_PIP_S_353	0
Eco_PIP_S_316	0
Eco_PIP_S_393	0
Eco_PIP_S_137	0
Eco_PIP_S_172	0
Eco_PIP_S_236	0
Eco_PIP_S_273	0
Eco_PIP_S_11	0
Eco_PIP_S_54	0
Eco_PIP_S_391	0
Eco_PIP_S_329	0
Eco_PIP_S_13	0
Eco_PIP_S_56	0
Eco_PIP_S_234	0
Eco_PIP_S_271	0
Eco_PIP_S_135	0
Eco_PIP_S_170	0
Eco_PIP_S_108	0
Eco_PIP_S_96	0
Eco_PIP_S_209	0
Eco_PIP_S_351	0
Eco_PIP_S_314	0
Eco_PIP_S_268	0
Eco_PIP_S_194	0
Eco_PIP_S_169	0
Eco_PIP_S_295	0
Eco_PIP_S_388	0
Eco_PIP_S_375	0
Eco_PIP_S_330	0
Eco_PIP_S_348	0
Eco_PIP_S_111	0
Eco_PIP_S_154	0
Eco_PIP_S_210	0
Eco_PIP_S_255	0
Eco_PIP_S_37	0
Eco_PIP_S_72	0
Eco_PIP_S_371	0
Eco_PIP_S_334	0
Eco_PIP_S_128	0
Eco_PIP_S_291	0
Eco_PIP_S_229	0
Eco_PIP_S_190	0
Eco_PIP_S_214	0
Eco_PIP_S_251	0
Eco_PIP_S_33	0
Eco_PIP_S_76	0
Eco_PIP_S_115	0
Eco_PIP_S_150	0
Eco_PIP_S_309	0
Eco_PIP_S_288	0
Eco_PIP_S_131	0
Eco_PIP_S_174	0
Eco_PIP_S_17	0
Eco_PIP_S_52	0
Eco_PIP_S_189	0
Eco_PIP_S_230	0
Eco_PIP_S_275	0
Eco_PIP_S_368	0
Eco_PIP_S_395	0
Eco_PIP_S_355	0
Eco_PIP_S_310	0
Eco_PIP_S_248	0
Eco_PIP_S_149	0
Eco_PIP_S_92	0
Eco_PIP_S_357	0
Eco_PIP_S_312	0
Eco_PIP_S_90	0
Eco_PIP_S_28	0
Eco_PIP_S_232	0
Eco_PIP_S_277	0
Eco_PIP_S_15	0
Eco_PIP_S_50	0
Eco_PIP_S_133	0
Eco_PIP_S_176	0
Eco_PIP_S_397	0
Eco_PIP_S_9	0
Eco_PIP_S_117	0
Eco_PIP_S_152	0
Eco_PIP_S_89	0
Eco_PIP_S_31	0
Eco_PIP_S_74	0
Eco_PIP_S_216	0
Eco_PIP_S_253	0
Eco_PIP_S_373	0
Eco_PIP_S_336	0
Eco_PIP_S_49	0
Eco_PIP_S_192	0
Eco_PIP_S_293	0
Eco_PIP_0	0
Eco_PIP_1	0
Eco_PIP_2	0
Eco_PIP_3	0
Eco_PIP_4	0
Eco_PIP_5	0
Eco_PIP_6	0
Eco_PIP_7	0
Eco_PIP_8	0
Eco_PIP_9	0
Eco_PIP_10	0
Eco_PIP_11	0
Eco_PIP_12	0
Eco_PIP_13	0
Eco_PIP_14	0
Eco_PIP_15	0
Eco_PIP_16	0
Eco_PIP_17	0
Eco_PIP_18	0
Eco_PIP_19	0
Eco_PIP_20	0
Eco_PIP_21	0
Eco_PIP_22	0
Eco_PIP_23	0
Eco_PIP_24	0
Eco_PIP_25	0
Eco_PIP_26	0
Eco_PIP_27	0
Eco_PIP_28	0
Eco_PIP_29	0
Eco_PIP_30	0
Eco_PIP_31	0
Eco_PIP_32	0
Eco_PIP_33	0
Eco_PIP_34	0
Eco_PIP_35	0
Eco_PIP_36	0
Eco_PIP_37	0
Eco_PIP_38	0
Eco_PIP_39	0
Eco_PIP_40	0
Eco_PIP_41	0
Eco_PIP_42	0
Eco_PIP_43	0
Eco_PIP_44	0
Eco_PIP_45	0
Eco_PIP_46	0
Eco_PIP_47	0
Eco_PIP_48	0
Eco_PIP_49	0
Eco_PIP_50	0
Eco_PIP_51	0
Eco_PIP_52	0
Eco_PIP_53	0
Eco_PIP_54	0
Eco_PIP_55	0
Eco_PIP_56	0
Eco_PIP_57	0
Eco_PIP_58	0
Eco_PIP_59	0
Eco_PIP_60	0
Eco_PIP_61	0
Eco_PIP_62	0
Eco_PIP_63	0
Eco_PIP_64	0
Eco_PIP_65	0
Eco_PIP_66	0
Eco_PIP_67	0
Eco_PIP_68	0
Eco_PIP_69	0
Eco_PIP_70	0
Eco_PIP_71	0
Eco_PIP_72	0
Eco_PIP_73	0
Eco_PIP_74	0
Eco_PIP_75	0
Eco_PIP_76	0
Eco_PIP_77	0
Eco_PIP_78	0
Eco_PIP_79	0
Eco_PIP_80	0
Eco_PIP_81	0
Eco_PIP_82	0
Eco_PIP_83	0
Eco_PIP_84	0
Eco_PIP_85	0
Eco_PIP_86	0
Eco_PIP_87	0
Eco_PIP_88	0
Eco_PIP_89	0
Eco_PIP_90	0
Eco_PIP_91	0
Eco_PIP_92	0
Eco_PIP_93	0
Eco_PIP_94	0
Eco_PIP_95	0
Eco_PIP_96	0
Eco_PIP_97	0
Eco_PIP_98	0
Eco_PIP_99	0
Eco_PIP_100	0
Eco_PIP_101	0
Eco_PIP_102	0
Eco_PIP_103	0
Eco_PIP_104	0
Eco_PIP_105	0
Eco_PIP_106	0
Eco_PIP_107	0
Eco_PIP_108	0
Eco_PIP_109	0
Eco_PIP_110	0
Eco_PIP_111	0
Eco_PIP_112	0
Eco_PIP_113	0
Eco_PIP_114	0
Eco_PIP_115	0
Eco_PIP_116	0
Eco_PIP_117	0
Eco_PIP_118	0
Eco_PIP_119	0
Eco_PIP_120	0
Eco_PIP_121	0
Eco_PIP_122	0
Eco_PIP_123	0
Eco_PIP_124	0
Eco_PIP_125	0
Eco_PIP_126	0
Eco_PIP_127	0
Eco_PIP_128	0
Eco_PIP_129	0
Eco_PIP_130	0
Eco_PIP_131	0
Eco_PIP_132	0
Eco_PIP_133	0
Eco_PIP_134	0
Eco_PIP_135	0
Eco_PIP_136	0
Eco_PIP_137	0
Eco_PIP_138	0
Eco_PIP_139	0
Eco_PIP_140	0
Eco_PIP_141	0
Eco_PIP_142	0
Eco_PIP_143	0
Eco_PIP_144	0
Eco_PIP_145	0
Eco_PIP_146	0
Eco_PIP_147	0
Eco_PIP_148	0
Eco_PIP_149	0
Eco_PIP_150	0
Eco_PIP_151	0
Eco_PIP_152	0
Eco_PIP_153	0
Eco_PIP_154	0
Eco_PIP_155	0
Eco_PIP_156	0
Eco_PIP_157	0
Eco_PIP_158	0
Eco_PIP_159	0
Eco_PIP_160	0
Eco_PIP_161	0
Eco_PIP_162	0
Eco_PIP_163	0
Eco_PIP_164	0
Eco_PIP_165	0
Eco_PIP_166	0
Eco_PIP_178	0
Eco_PIP_179	0
Eco_PIP_180	0
Eco_PIP_181	0
Eco_PIP_182	0
Eco_PIP_183	0
Eco_PIP_184	0
Eco_PIP_185	0
Eco_PIP_186	0
Eco_PIP_187	0
Eco_PIP_188	0
Eco_PIP_189	0
Eco_PIP_190	0
Eco_PIP_191	0
Eco_PIP_192	0
Eco_PIP_193	0
Eco_PIP_194	0
Eco_PIP_195	0
Eco_PIP_196	0
Eco_PIP_197	0
Eco_PIP_198	0
Eco_PIP_199	0
Eco_PIP_200	0
Eco_PIP_201	0
Eco_PIP_202	0
Eco_PIP_203	0
Eco_PIP_204	0
Eco_PIP_205	0
Eco_PIP_206	0
Eco_PIP_207	0
Eco_PIP_208	0
Eco_PIP_209	0
Eco_PIP_210	0
Eco_PIP_211	0
Eco_PIP_212	0
Eco_PIP_213	0
Eco_PIP_214	0
Eco_PIP_215	0
Eco_PIP_216	0
Eco_PIP_217	0
Eco_PIP_218	0
Eco_PIP_219	0
Eco_PIP_220	0
Eco_PIP_221	0
Eco_PIP_222	0
Eco_PIP_223	0
Eco_PIP_224	0
Eco_PIP_225	0
Eco_PIP_226	0
Eco_PIP_227	0
Eco_PIP_235	0
Eco_PIP_236	0
Eco_PIP_237	0
Eco_PIP_238	0
Eco_PIP_239	0
Eco_PIP_240	0
Eco_PIP_241	0
Eco_PIP_242	0
Eco_PIP_243	0
Eco_PIP_244	0
Eco_PIP_245	0
Eco_PIP_246	0
Eco_PIP_247	0
Eco_PIP_248	0
Eco_PIP_249	0
Eco_PIP_S_382	0
Eco_PIP_S_262	0
Eco_PIP_S_227	0
Eco_PIP_S_45	0
Eco_PIP_S_163	0
Eco_PIP_S_126	0
Eco_PIP_S_85	0
Eco_PIP_S_5	0
Eco_PIP_S_78	0
Eco_PIP_S_307	0
Eco_PIP_S_342	0
Eco_PIP_S_187	0
Eco_PIP_S_19	0
Eco_PIP_S_286	0
Eco_PIP_S_323	0
Eco_PIP_S_366	0
Eco_PIP_S_147	0
Eco_PIP_S_102	0
Eco_PIP_S_61	0
Eco_PIP_S_24	0
Eco_PIP_S_246	0
Eco_PIP_S_203	0
Eco_PIP_S_359	0
Eco_PIP_S_244	0
Eco_PIP_S_201	0
Eco_PIP_S_63	0
Eco_PIP_S_26	0
Eco_PIP_S_145	0
Eco_PIP_S_100	0
Eco_PIP_S_178	0
Eco_PIP_S_284	0
Eco_PIP_S_279	0
Eco_PIP_S_185	0
Eco_PIP_S_321	0
Eco_PIP_S_364	0
Eco_PIP_S_399	0
Eco_PIP_S_218	0
Eco_PIP_S_7	0
Eco_PIP_S_87	0
Eco_PIP_S_119	0
Eco_PIP_S_305	0
Eco_PIP_S_340	0
Eco_PIP_S_338	0
Eco_PIP_S_380	0
