	TET
SRR3319987	1
SRR3774326	1
SRR3138686	1
SRR3726394	1
SRR3350801	1
SRR3611607	1
SRR3543510	1
SRR3479992	1
SRR3774210	1
SRR3928612	1
SRR3726432	1
SRR4018129	1
SRR3350898	1
SRR3543505	1
SRR3201111	1
SRR3928600	1
SRR3611598	1
SRR3241809	1
SRR3611597	1
SRR3209814	1
SRR3215120	1
SRR3726402	1
SRR3201123	1
SRR3995968	1
SRR3611760	1
SRR3479997	1
SRR3771471	1
SRR3171750	1
SRR3545759	1
SRR3183468	1
SRR3350802	1
SRR4018137	1
SRR3953117	1
SRR3183483	1
SRR3583311	1
SRR3321624	1
SRR3611705	1
SRR3350812	1
SRR3666741	1
SRR3183482	1
SRR3350813	1
SRR3928616	1
SRR3196127	1
SRR3185263	1
SRR3928608	1
SRR3194383	1
SRR3726439	1
SRR3350811	1
SRR3953096	1
SRR3543491	1
SRR3183476	1
SRR3583303	1
SRR3215132	1
SRR3183472	1
SRR3350887	1
SRR3726428	1
SRR3147791	1
SRR3995970	1
SRR3321641	1
SRR3201101	1
SRR3545883	1
SRR3543480	1
SRR3479996	1
SRR3543504	1
SRR3214706	1
SRR3321623	1
SRR3321643	1
SRR3543496	1
SRR3928619	1
SRR3928603	1
SRR3148213	1
SRR4018125	1
SRR3196683	1
SRR3611608	1
SRR3928679	1
SRR3214711	1
SRR3611742	1
SRR3666712	1
SRR3611637	1
SRR3611618	1
SRR3928684	1
SRR3583315	1
SRR3543485	1
SRR3545867	1
SRR3319983	1
SRR3402105	1
SRR3350890	1
SRR3201102	1
SRR3321626	1
SRR3350836	1
SRR3928681	1
SRR3321642	1
SRR3196129	1
SRR3214704	1
SRR3350809	1
SRR3774251	1
SRR3171747	1
SRR4018136	1
SRR3201125	1
SRR3402093	1
SRR3321651	1
SRR3350897	1
SRR3183457	1
SRR3171757	1
SRR3215127	1
SRR3543481	1
SRR3666678	1
SRR3953114	1
SRR3321639	1
SRR3319973	1
SRR3297734	1
SRR3995983	1
SRR3726440	1
SRR3201098	1
SRR3928605	1
SRR3171748	1
SRR3138668	1
SRR3995973	1
SRR3350821	1
SRR3209758	1
SRR3666681	1
SRR3953090	1
SRR3995971	1
SRR3194380	1
SRR3196686	1
SRR3402097	1
SRR3953109	1
SRR3214714	1
SRR3209797	1
SRR3148303	1
SRR3475856	1
SRR3953095	1
SRR3402095	1
SRR3196141	1
SRR3611763	1
SRR3611730	1
SRR3545862	1
SRR3183451	1
SRR3611749	1
SRR3215112	1
SRR3148216	1
SRR4018341	1
SRR3350799	1
SRR3201108	1
SRR3995979	1
SRR4005443	1
SRR3611728	1
SRR3196687	1
SRR3209760	1
SRR3726395	1
SRR3666717	1
SRR3138683	1
SRR3320062	1
SRR3995964	1
SRR3321648	1
SRR3183459	1
SRR3726397	1
SRR3321647	1
SRR3201119	1
SRR3995974	1
SRR3774212	1
SRR3321628	1
SRR3479999	1
SRR3297732	1
SRR3545923	1
SRR3779203	1
SRR3350838	1
SRR3138681	1
SRR3201120	1
SRR3726437	1
SRR3611758	1
SRR3185981	1
SRR3138673	1
SRR3726398	1
SRR3774324	1
SRR3138669	1
SRR3183463	1
SRR3185904	1
SRR3214710	1
SRR3194381	1
SRR3350788	1
SRR3350808	1
SRR3953113	1
SRR3319970	1
SRR3611732	1
SRR3545921	1
SRR3545908	1
SRR3185979	1
SRR3402092	1
SRR4018358	1
SRR3402080	1
SRR3183449	1
SRR3138666	1
SRR3148313	1
SRR4018124	1
SRR3297731	1
SRR3995984	1
SRR3583302	1
SRR3171761	0
SRR3666677	0
SRR3953110	0
SRR3201124	0
SRR3479989	0
SRR3319968	0
SRR3583322	0
SRR3611753	0
SRR3201112	0
SRR3321620	0
SRR3215121	0
SRR3995976	0
SRR3321633	0
SRR3479925	0
SRR3201100	0
SRR3925096	0
SRR3199584	0
SRR3726334	0
SRR3543507	0
SRR3215118	0
SRR3611744	0
SRR3148212	0
SRR3319986	0
SRR3611765	0
SRR3726393	0
SRR3350833	0
SRR3611703	0
SRR3611727	0
SRR3475830	0
SRR3995455	0
SRR3995980	0
SRR3480023	0
SRR3543493	0
SRR3928604	0
SRR3201105	0
SRR3726441	0
SRR3928599	0
SRR4018128	0
SRR3774343	0
SRR3199489	0
SRR3545886	0
SRR3196134	0
SRR3350889	0
SRR4018333	0
SRR3611752	0
SRR3183458	0
SRR3726400	0
SRR3583304	0
SRR3138672	0
SRR3583309	0
SRR3185980	0
SRR3185902	0
SRR3350904	0
SRR3545936	0
SRR3171758	0
SRR3209757	0
SRR3666711	0
SRR9207847	0
SRR3319988	0
SRR3321622	0
SRR3321635	0
SRR3209759	0
SRR3726436	0
SRR3774344	0
SRR3611746	0
SRR3925104	0
SRR3583323	0
SRR3402079	0
SRR3953105	0
SRR3545864	0
SRR3319994	0
SRR3402096	0
SRR3928674	0
SRR3148243	0
SRR3543498	0
SRR3138675	0
SRR3402082	0
SRR3183462	0
SRR3575114	0
SRR3185903	0
SRR3995969	0
SRR3543492	0
SRR3201107	0
SRR3480035	0
SRR3545861	0
SRR3183467	0
SRR3215113	0
SRR3545868	0
SRR3350893	0
SRR3402091	0
SRR3350834	0
SRR3953115	0
SRR3479932	0
SRR3666718	0
SRR4018337	0
SRR3138670	0
SRR3710221	0
SRR3995959	0
SRR3928620	0
SRR3543479	0
SRR3928614	0
SRR3183471	0
SRR3583318	0
SRR3215134	0
SRR3928602	0
SRR3148332	0
SRR4018323	0
SRR3196130	0
SRR3479923	0
SRR3583321	0
SRR3583312	0
SRR3995967	0
SRR3319985	0
SRR3545893	0
SRR4018335	0
SRR3402101	0
SRR3148323	0
SRR3350839	0
SRR3611736	0
SRR3185256	0
SRR3726438	0
SRR3214705	0
SRR3350906	0
SRR3543488	0
SRR4018127	0
SRR3543484	0
SRR4018338	0
SRR3201117	0
SRR3774213	0
SRR3995965	0
SRR3545750	0
SRR3321631	0
SRR3215117	0
SRR3138671	0
SRR3185905	0
SRR3575117	0
SRR3185255	0
SRR3148215	0
SRR3321655	0
SRR3545907	0
SRR9207844	0
SRR3774252	0
SRR3319956	0
SRR4018133	0
SRR3928601	0
SRR3774368	0
SRR3543501	0
SRR3196133	0
SRR3402085	0
SRR3928606	0
SRR3215116	0
SRR3611687	0
SRR15053977	0
SRR15053978	0
SRR15053979	0
SRR15053980	0
SRR15053981	0
SRR15053984	0
SRR15053985	0
SRR15053987	0
SRR15053992	0
SRR15054001	0
SRR15054002	0
SRR15054003	0
SRR15054008	0
SRR15054009	0
SRR15054010	0
SRR15054011	0
SRR15054013	0
SRR15054014	0
SRR15054015	0
SRR15054021	0
SRR15054024	0
SRR15054025	0
SRR15054028	0
SRR15054030	0
SRR15054032	0
SRR15054033	0
SRR15054034	0
SRR15054036	0
SRR15054038	0
SRR15054040	0
SRR15054041	0
SRR15054046	0
SRR15054048	0
SRR15054049	0
SRR15054054	0
SRR15054055	0
SRR15054056	0
SRR15054059	0
SRR15054062	0
SRR15054063	0
SRR15054065	0
SRR15054069	0
SRR15054071	0
SRR15054072	0
SRR15054073	0
SRR15054075	0
SRR15054079	0
SRR15054080	0
SRR15054082	0
SRR15054084	0
SRR15054088	0
SRR15054091	0
SRR15054094	0
SRR15054096	0
SRR15054097	0
SRR15054102	0
SRR15054103	0
SRR15054106	0
SRR15054108	0
