	GEN
SRR3933057	0
SRR2566858	0
SRR2005891	0
SRR2533324	0
SRR1778032	0
SRR3664887	0
SRR2670707	0
SRR3098266	0
SRR2567032	0
SRR2566933	0
SRR2567177	0
SRR3295677	0
SRR1195631	0
SRR3664788	0
SRR4044420	0
SRR2566956	0
SRR2566985	0
SRR3665099	0
SRR2567059	0
SRR2407744	0
SRR2567021	0
SRR5573075	0
SRR2567004	0
SRR2889978	0
SRR2567062	0
SRR3664883	0
SRR3115236	0
SRR3933059	0
SRR3271890	0
SRR1583119	0
SRR4044587	0
SRR3295705	0
SRR2567144	0
SRR1203017	0
SRR3665094	0
SRR1767784	0
SRR1200764	0
SRR3198626	0
SRR3096080	0
SRR1849358	0
SRR3330384	0
SRR2567178	0
SRR2407756	0
SRR2566865	0
SRR1181525	0
SRR3664862	0
SRR1582177	0
SRR2648195	0
SRR3665313	0
SRR3932946	0
SRR2407661	0
SRR3664829	0
SRR4449957	0
SRR1363285	0
SRR2973754	0
SRR2566926	0
SRR2567193	0
SRR3210384	0
SRR1185819	0
SRR2064116	0
SRR2566979	0
SRR2407757	0
SRR4280637	0
SRR2567040	0
SRR3509890	0
SRR3664794	0
SRR1203014	0
SRR4280562	0
SRR2407748	0
SRR3664704	0
SRR3295657	0
SRR3664878	0
SRR2407768	0
SRR1713636	0
SRR5573052	0
SRR3664667	0
SRR2567196	0
SRR3096028	0
SRR3665130	0
SRR2407629	0
SRR2002476	0
SRR3242326	0
SRR3665276	0
SRR2017874	0
SRR3289806	0
SRR3295590	0
SRR2566929	0
SRR4044442	0
SRR3664616	0
SRR4280598	0
SRR2062220	0
SRR3116161	0
SRR3295747	0
SRR1203034	0
SRR3932907	0
SRR2973708	0
SRR1300555	0
SRR3664709	0
SRR2143475	0
SRR3932977	0
SRR3664833	0
SRR1609691	0
SRR5573042	0
SRR3295833	0
SRR3664782	0
SRR1973650	0
SRR1849407	0
SRR3033302	0
SRR2567001	0
SRR1820097	0
SRR2993935	0
SRR3933078	0
SRR2226943	0
SRR3765052	0
SRR1946913	0
SRR3295830	0
SRR3295506	0
SRR1951852	0
SRR2407764	0
SRR2567051	0
SRR3664962	0
SRR1923642	0
SRR3099653	0
SRR3664678	0
SRR3295921	0
SRR3191437	0
SRR3242354	0
SRR2566946	0
SRR3933012	0
SRR5573134	0
SRR3664791	0
SRR2566885	0
SRR2407598	0
SRR4280641	0
SRR3295608	0
SRR3057227	0
SRR3664844	0
SRR3242342	0
SRR3664897	0
SRR3295880	0
SRR2533321	0
SRR2082955	0
SRR3932905	0
SRR3330385	0
SRR1300613	0
SRR1646948	0
SRR2407585	0
SRR5573113	0
SRR2407782	0
SRR2566981	0
SRR1767789	0
SRR2962888	0
SRR3188261	0
SRR3664726	0
SRR2567113	0
SRR3110299	0
SRR3664927	0
SRR1299286	0
SRR3665148	0
SRR3295634	0
SRR1783194	0
SRR1556982	0
SRR3765054	1
SRR1783221	1
SRR3294534	1
SRR2912654	1
SRR1783160	1
SRR3665078	1
SRR5573056	1
SRR3223752	1
SRR3932939	1
SRR3933029	1
SRR3180038	1
