	ERY
SRR4417324	1
ERR051948	1
SRR2072341	1
ERR023438	1
ERR124249	1
ERR051896	1
SRR398894	1
ERR016670	1
SRR2072371	1
ERR129060	1
ERR023451	1
ERR016713	1
ERR016668	1
ERR051801	1
SRR2072251	1
ERR016681	1
ERR016840	1
SRR413966	1
SRR2072312	1
SRR4417329	0
SRR4417380	0
ERR069773	0
SRR2072357	0
ERR129188	0
ERR065971	0
SRR4417408	0
ERR129205	0
SRR2072248	0
SRR4417391	0
SRR4417397	0
SRR4417302	0
SRR4417370	0
SRR2072224	0
SRR4417299	0
ERR016843	0
ERR069713	0
ERR069782	0
ERR124252	0
SRR2072296	0
SRR2072227	0
ERR068046	0
ERR069789	0
ERR065342	0
ERR069708	0
SRR2072343	0
SRR2072281	0
ERR069786	0
SRR4417317	0
SRR4417291	0
ERR124258	0
ERR023428	1
ERR129142	0
SRR4417367	0
ERR065327	0
SRR4417359	0
SRR4417343	0
SRR307616	0
SRR4417305	0
SRR4417354	0
ERR129117	0
ERR069759	0
SRR2072263	0
ERR129161	0
ERR129093	0
ERR129041	0
ERR065969	0
ERR069712	0
SRR4417297	0
ERR124265	0
SRR4417314	0
ERR124277	0
SRR4417372	0
ERR069760	0
ERR067976	0
SRR4417390	0
ERR067995	0
SRR2072335	0
SRR2072235	0
SRR2072336	0
SRR2072229	0
ERR129177	0
SRR4417425	0
ERR067986	0
ERR065348	0
ERR069691	0
ERR016847	0
SRR4417401	0
SRR4417419	0
ERR129172	0
SRR4417422	0
ERR016723	1
SRR4417288	0
SRR4417383	0
SRR4417346	0
ERR067979	0
SRR2072291	0
ERR069837	0
ERR124278	0
ERR065296	0
SRR2072300	0
SRR4417412	0
SRR4417296	0
ERR069707	0
SRR4417336	0
ERR065317	0
ERR124253	0
ERR068033	0
SRR4417421	0
SRR4417373	0
SRR4417424	0
SRR2072250	0
ERR124220	0
ERR129152	0
SRR2072214	0
SRR2072338	0
ERR065339	0
ERR129063	0
ERR065355	0
ERR129215	0
ERR124279	0
SRR4417309	0
SRR2072319	0
ERR129163	0
SRR2072380	0
SRR4417368	0
SRR2072361	0
ERR129076	0
SRR4417365	0
SRR4417374	0
ERR069792	0
ERR069819	0
SRR4417340	0
SRR345192	0
SRR2072368	0
ERR069765	0
ERR129067	0
SRR4417417	0
SRR2072334	0
ERR069824	0
SRR4417330	0
ERR069762	0
SRR2072265	0
ERR069791	0
SRR4417347	0
ERR129140	0
ERR129118	0
ERR068019	0
ERR065304	0
SRR2072342	0
SRR4417341	0
SRR2072242	0
ERR069820	0
SRR2072274	0
SRR4417377	0
ERR129029	0
ERR129047	0
ERR067961	0
ERR129082	0
SRR4417386	0
ERR129079	0
ERR124281	0
ERR069815	0
SRR4417319	0
ERR069741	0
ERR129090	0
ERR068031	0
ERR124271	0
ERR065311	0
SRR2072324	0
SRR4417415	0
ERR067967	0
ERR129139	0
ERR129171	0
SRR4417304	0
SRR4417356	0
SRR2072344	0
ERR016837	1
ERR067974	0
ERR129104	0
SRR4417381	0
ERR067975	0
ERR065295	0
SRR2072211	0
SRR4417292	0
SRR4417387	0
SRR4417322	0
ERR129187	0
SRR2072278	0
ERR129201	0
SRR2072303	0
ERR129158	0
ERR129208	0
SRR4417310	0
ERR068021	0
SRR2072210	0
ERR129098	0
ERR124238	0
ERR065307	0
ERR069693	0
ERR065959	0
ERR129066	0
SRR4417307	0
SRR4417298	0
ERR069835	0
SRR2072228	0
ERR129044	0
ERR023434	0
SRR4417394	0
SRR4417300	0
SRR4417312	0
SRR4417426	0
ERR067985	0
ERR129042	0
ERR065316	0
SRR4417410	0
ERR129176	0
ERR069749	0
SRR4417357	0
ERR069705	0
SRR2072292	0
SRR2072370	0
ERR069801	0
SRR4417355	0
ERR023450	1
ERR065293	0
SRR325169	0
ERR129055	0
SRR2072293	0
ERR124311	0
ERR124308	0
ERR124251	0
ERR069683	0
SRR4417400	0
SRR4417335	0
ERR016725	0
ERR069766	0
ERR069822	0
SRR4417378	0
SRR4417318	0
SRR4417345	0
ERR067960	0
ERR124317	0
SRR4417369	0
ERR069716	0
ERR069830	0
SRR4417353	0
ERR069755	0
SRR2072372	0
ERR068023	0
SRR4417404	0
ERR068005	0
ERR067962	0
ERR065310	0
SRR4417303	0
SRR4417294	0
SRR4417290	0
ERR124269	0
ERR069812	0
ERR129051	0
ERR129169	0
SRR2072239	0
ERR124247	0
SRR2072288	0
ERR069780	0
SRR4417328	0
ERR069781	0
ERR124244	0
ERR069806	0
ERR129073	0
ERR124225	0
ERR065958	0
SRR4417323	0
SRR4417416	0
ERR065326	0
ERR068000	0
ERR129179	0
ERR124299	0
ERR069748	0
ERR016736	0
SRR4417413	0
ERR124256	0
ERR065318	0
ERR069767	0
ERR065300	0
ERR065964	0
SRR2072254	0
ERR069732	0
ERR069757	0
SRR351488	0
ERR067983	0
ERR124223	0
ERR124237	0
ERR065325	0
SRR2072351	0
ERR069809	0
ERR124227	0
SRR4417403	0
ERR129099	0
ERR067988	0
ERR069796	0
ERR129135	0
ERR068029	0
ERR124226	0
SRR2072316	0
ERR124243	0
ERR069704	0
ERR023457	0
ERR129134	0
SRR2072299	0
ERR068044	0
ERR016733	1
SRR4417364	0
SRR2072240	0
SRR4417333	0
ERR129144	0
ERR065328	0
ERR129038	0
ERR124302	0
ERR069799	0
ERR016839	0
SRR4417287	0
ERR068039	0
ERR129037	0
ERR129136	0
ERR065312	0
SRR4417407	0
SRR4417428	0
ERR065301	0
ERR068012	0
ERR069709	1
ERR067982	1
ERR068007	1
ERR024276	1
ERR065297	1
ERR068003	1
ERR124294	1
ERR069706	1
ERR129204	1
ERR067969	1
ERR069710	1
ERR069724	1
ERR069694	1
ERR069698	1
ERR068032	1
ERR068036	1
ERR068035	1
ERR068001	1
ERR065340	1
ERR124286	1
ERR067963	1
ERR065309	1
ERR068030	1
ERR065320	1
ERR067999	1
ERR069700	1
ERR065353	1
ERR069714	1
ERR068004	1
ERR065352	1
ERR068028	1
ERR068026	1
ERR067990	1
ERR124319	1
ERR065314	1
ERR065332	1
ERR016745	1
ERR067970	1
ERR069720	1
ERR065294	1
ERR067966	1
ERR068038	1
ERR068043	1
ERR067998	1
ERR065337	1
ERR067978	1
ERR069725	1
ERR068049	1
ERR069761	1
ERR069699	1
ERR065344	1
