	meropenem
GCA_000792925.1	0
GCA_000792945.1	0
GCA_000792965.1	0
GCA_000792975.1	0
GCA_000793005.1	0
GCA_000793025.1	0
GCA_000793045.1	0
GCA_000793085.1	0
GCA_000793105.1	0
GCA_000793185.1	0
GCA_000793205.1	0
GCA_000793225.1	0
GCA_000793245.1	0
GCA_000793255.1	0
GCA_000793285.1	0
GCA_000793295.1	0
GCA_000793315.1	0
GCA_000793385.1	0
GCA_000793395.1	0
GCA_000793415.1	0
GCA_000793445.1	0
GCA_000793585.1	0
GCA_000793615.1	0
GCA_000793725.1	0
GCA_000793805.1	0
GCA_000793825.1	0
GCA_000793845.1	0
GCA_000793865.1	0
GCA_000793885.1	0
GCA_000793905.1	0
GCA_000793915.1	0
GCA_000793955.1	0
GCA_000793985.1	0
GCA_000794085.1	0
GCA_000794095.1	0
GCA_000794165.1	0
GCA_000794175.1	0
GCA_000794185.1	0
GCA_000794265.1	0
GCA_000794425.1	0
GCA_000794455.1	0
GCA_000794485.1	0
GCA_000794625.1	0
GCA_000794665.1	0
GCA_000794675.1	0
GCA_000794705.1	0
GCA_000794745.1	0
GCA_000794845.1	0
GCA_000794865.1	0
GCA_000794995.1	0
GCA_000795025.1	0
GCA_000795065.1	0
GCA_000795085.1	0
GCA_000795105.1	0
GCA_000795115.1	0
GCA_000795145.1	0
GCA_000795165.1	0
GCA_000795185.1	0
GCA_000795225.1	0
GCA_000795285.1	0
GCA_000795305.1	0
GCA_000795325.1	0
GCA_000795345.1	0
GCA_000795385.1	0
GCA_000795425.1	0
GCA_000795485.1	0
GCA_000795565.1	0
GCA_000795585.1	0
GCA_000795735.1	0
GCA_000795985.1	0
GCA_000796005.1	0
GCA_000796065.1	0
GCA_000796085.1	0
GCA_000796095.1	0
GCA_000796145.1	0
GCA_000796175.1	0
GCA_000796205.1	0
GCA_000796255.1	0
GCA_000796325.1	0
GCA_000796385.1	0
GCA_000796425.1	0
GCA_000796445.1	0
GCA_000796465.1	0
GCA_000796475.1	0
GCA_000796525.1	0
GCA_000796545.1	0
GCA_000796555.1	0
GCA_000796765.1	0
GCA_000796825.1	0
GCA_000796865.1	0
GCA_000796955.1	0
GCA_000797005.1	0
GCA_000797045.1	0
GCA_000797055.1	0
GCA_000797105.1	0
GCA_000797225.1	0
GCA_000797245.1	0
GCA_000797265.1	0
GCA_000797285.1	0
GCA_000797305.1	0
GCA_000797325.1	0
GCA_000797345.1	0
GCA_000797355.1	0
GCA_003260415.1	0
GCA_003288435.1	0
GCA_003968325.1	0
GCA_003968375.1	0
GCA_003968525.1	0
GCA_003968565.1	0
GCA_003968625.1	0
GCA_003968935.1	0
GCA_003968965.1	0
GCA_003969065.1	0
GCA_003969075.1	0
GCA_003969105.1	0
GCA_003969155.1	0
GCA_003969165.1	0
GCA_003969195.1	0
GCA_003969225.1	0
GCA_003969255.1	0
GCA_003969265.1	0
GCA_003969315.1	0
GCA_003969355.1	0
GCA_003969365.1	0
GCA_003969395.1	0
GCA_003969405.1	0
GCA_003969415.1	0
GCA_003969445.1	0
GCA_003969475.1	0
GCA_003969555.1	0
GCA_003969565.1	0
GCA_003969615.1	0
GCA_003969635.1	0
GCA_003969725.1	0
GCA_003969785.1	0
GCA_003969795.1	0
GCA_003969825.1	0
GCA_003969985.1	0
GCA_003970055.1	0
GCA_003970635.1	0
GCA_003977895.1	0
GCA_003977915.1	0
GCA_003977935.1	0
GCA_003977945.1	0
GCA_003977965.1	0
GCA_003978035.1	0
GCF_000710625.1	0
SRR4417534	0
SRR4417535	0
SRR4417536	0
SRR4417541	0
SRR4417543	0
SRR4417545	0
SRR4417546	0
SRR4417547	0
SRR4417548	0
SRR4417555	0
SRR4417557	0
SRR4417559	0
SRR4417561	0
SRR4417562	0
SRR4417563	0
