	ciprofloxacin
SRR3928674	0
SRR3928679	0
SRR3928681	0
SRR3928684	0
SRR3953090	0
SRR3953095	0
SRR3953096	0
SRR3953098	0
SRR3953105	0
SRR3953110	0
SRR3953113	0
SRR3953115	0
SRR3953117	0
SRR3995455	0
SRR3995456	0
SRR3995457	0
SRR3995955	0
SRR3995959	0
SRR3995960	0
SRR3995962	0
SRR3995963	0
SRR3995964	0
SRR3995965	0
SRR3995966	0
SRR3995967	0
SRR3995968	0
SRR3995969	0
SRR3995970	0
SRR3995971	0
SRR3995973	0
SRR3995974	0
SRR3995975	0
SRR3995976	0
SRR3995979	0
SRR3995980	0
SRR3995981	0
SRR3995982	0
SRR3995983	0
SRR3995984	0
SRR4018125	0
SRR4018126	0
SRR4018127	0
SRR4018128	0
SRR4018129	0
SRR4018133	0
SRR4018137	0
SRR4018323	0
SRR4018333	0
SRR4018335	0
SRR4018336	0
SRR4018337	0
SRR4018338	0
SRR4018358	0
SRR3611618	0
