	meropenem
SRR5385465	1
SRR5385467	1
SRR5385471	1
SRR5385475	1
SRR5385478	1
SRR5385481	1
SRR5385482	1
SRR5385485	1
SRR5385488	1
SRR5385492	1
SRR5385494	1
SRR5385500	1
SRR5385503	1
SRR5385507	1
SRR5385510	1
SRR5385521	1
SRR5385522	1
SRR5385523	1
SRR5385524	1
SRR5385526	1
SRR5385528	1
SRR5385621	1
SRR5385622	1
SRR5385623	1
SRR5385624	1
SRR5385625	1
SRR5385626	1
SRR5385628	1
SRR5385629	1
SRR5385630	1
SRR5385631	1
SRR5385634	1
SRR5385635	1
SRR5385641	1
SRR5385643	1
SRR5385646	1
SRR5385647	1
SRR5385648	1
SRR5385654	1
SRR5385655	1
SRR5385659	1
SRR5385661	1
SRR5385662	1
SRR5385663	1
SRR5385666	1
SRR5385669	1
SRR5385672	1
SRR5385675	1
SRR5385676	1
SRR5385677	1
SRR5385678	1
SRR5385679	1
SRR5385684	1
SRR5385688	1
SRR5385696	1
SRR5385698	1
SRR5385703	1
SRR5385704	1
SRR5385705	1
SRR5385707	1
SRR5385711	1
SRR5385716	1
SRR5385730	1
SRR5385733	1
SRR5385734	1
SRR5385735	1
SRR5385738	1
SRR5385747	1
SRR5385748	1
SRR5385749	1
SRR5385759	1
SRR5385769	1
SRR5385772	1
SRR5385774	1
SRR5385776	1
SRR5385783	1
SRR5385784	1
SRR5385786	1
SRR5385788	1
SRR5385789	1
SRR5385799	1
SRR5385800	1
SRR5385803	1
SRR5385804	1
SRR5385810	1
SRR5385813	1
SRR5385815	1
SRR5385819	1
SRR5385824	1
SRR5385826	1
SRR5385830	1
SRR5385833	1
SRR5385835	1
SRR5385838	1
SRR5385848	1
SRR5385851	1
SRR5385854	1
SRR5385857	1
SRR5385860	1
SRR5385861	1
SRR5385864	1
SRR5385865	1
SRR5385868	1
SRR5385869	1
SRR5385872	1
SRR5385874	1
SRR5385878	1
SRR5385883	1
SRR5385884	1
SRR5385885	1
SRR5385887	1
SRR5385888	1
SRR5385894	1
SRR5385903	1
SRR5385904	1
SRR5385907	1
SRR5385910	1
SRR5385914	1
SRR5385917	1
SRR5385918	1
SRR5385920	1
SRR5385925	1
SRR5385930	1
SRR5385933	1
SRR5385943	1
SRR5385944	1
SRR5385945	1
SRR5385947	1
SRR5385950	1
SRR5385951	1
SRR5385953	1
SRR5385957	1
SRR5385963	1
SRR5385967	1
SRR5385971	1
SRR5385975	1
SRR5385976	1
SRR5385978	1
SRR5385982	1
SRR5385987	1
SRR5385988	1
SRR5385993	1
SRR5386000	1
SRR5386025	1
SRR5386028	1
SRR5386032	1
SRR5386034	1
SRR5386035	1
SRR5386050	1
SRR5386056	1
SRR5386058	1
SRR5386059	1
SRR5386064	1
SRR5386066	1
SRR5386072	1
SRR5386075	1
SRR5386079	1
SRR5386087	1
SRR5386088	1
SRR5386091	1
SRR5386092	1
SRR5386094	1
SRR5386102	1
SRR5386105	1
SRR5386108	1
SRR5386109	1
SRR5386116	1
SRR5386121	1
SRR5386125	1
SRR5386126	1
SRR5386127	1
SRR5386129	1
SRR5386133	1
SRR5386135	1
SRR5386139	1
SRR5386140	1
SRR5386149	1
SRR5386161	1
SRR5386163	1
SRR5386167	1
SRR5386174	1
SRR5386179	1
SRR5386185	1
SRR5386195	1
SRR5386196	1
SRR5386197	1
SRR5386200	1
SRR5386205	1
SRR5386216	1
SRR5386225	1
SRR5386229	1
SRR5386236	1
SRR5386237	1
SRR5386243	1
SRR5386245	1
SRR5386251	1
SRR5386252	1
SRR5386256	1
SRR5386258	1
SRR5386261	1
SRR5386272	1
SRR5386277	1
SRR5386279	1
SRR5386281	1
SRR5386283	1
SRR5386287	1
SRR5386289	1
SRR5386300	1
SRR5386307	1
SRR5386318	1
SRR5386319	1
SRR5386331	1
SRR5386333	1
SRR5386337	1
SRR5386340	1
SRR5386341	1
SRR5386342	1
SRR5386352	1
SRR5386353	1
SRR5386354	1
SRR5386363	1
SRR5386366	1
SRR5386369	1
SRR5386371	1
SRR5386373	1
SRR5386379	1
SRR5386383	1
SRR5386387	1
SRR5386394	1
SRR5386399	1
SRR5386401	1
SRR5386403	1
SRR5386406	1
SRR5386409	1
SRR5386421	1
SRR5386425	1
SRR5386428	1
SRR5386437	1
SRR5386441	1
SRR5386450	1
SRR5386452	1
SRR5386457	1
SRR5386459	1
SRR5386462	1
SRR5386465	1
SRR5386472	1
SRR5386474	1
SRR5386478	1
SRR5386484	1
SRR5386485	1
SRR5386488	1
SRR5386489	1
SRR5386491	1
SRR5386492	1
SRR5386496	1
SRR5386498	1
SRR5386502	1
SRR5386506	1
SRR5386507	1
SRR5386508	1
SRR5386522	1
SRR5386523	1
SRR5386528	1
SRR5386530	1
SRR5386537	1
SRR5386538	1
SRR5386543	1
SRR5386546	1
SRR5386549	1
SRR5386555	1
SRR5386556	1
SRR5386560	1
SRR5386563	1
SRR5386568	1
SRR5386573	1
SRR5386575	1
SRR5386578	1
SRR5386581	1
SRR5386585	1
SRR5386586	1
SRR5386587	1
SRR5386597	1
SRR5386601	1
SRR5386616	1
SRR5386617	1
SRR5386618	1
SRR5386624	1
SRR5386628	1
SRR5386629	1
SRR5386636	1
SRR5386645	1
SRR5386652	1
SRR5386655	1
SRR5386656	1
SRR5386658	1
SRR5386659	1
SRR5386662	1
SRR5386666	1
SRR5386668	1
SRR5386671	1
SRR5386675	1
SRR5386676	1
SRR5386677	1
SRR5386678	1
SRR5386680	1
SRR5386682	1
SRR5386690	1
SRR5386696	1
SRR5386706	1
SRR5386708	1
SRR5386710	1
SRR5386711	1
SRR5386713	1
SRR5386716	1
SRR5386719	1
SRR5386720	1
SRR5386721	1
SRR5386723	1
SRR5386740	1
SRR5386743	1
SRR5386744	1
SRR5386746	1
SRR5386755	1
SRR5386757	1
SRR5386759	1
SRR5386760	1
SRR5386762	1
SRR5386767	1
SRR5386769	1
SRR5386770	1
SRR5386775	1
SRR5386780	1
SRR5386811	1
SRR5386828	1
SRR5386833	1
SRR5386844	1
SRR5386846	1
SRR5386847	1
SRR5386858	1
SRR5386926	1
SRR5386932	1
SRR5386947	1
SRR5386949	1
SRR5386954	1
SRR5386955	1
SRR5386958	1
SRR5386966	1
SRR5386968	1
SRR5386969	1
SRR5386970	1
SRR5386971	1
SRR5386972	1
SRR5386981	1
SRR5386982	1
SRR5386983	1
SRR5386984	1
SRR5386987	1
SRR5387004	1
SRR5387014	1
SRR5387019	1
SRR5387020	1
SRR5387021	1
SRR5387022	1
SRR5387023	1
SRR5387025	1
SRR5387026	1
SRR5387028	1
SRR5387030	1
SRR5387033	1
SRR5387036	1
SRR5387154	1
SRR5387155	1
SRR5387156	1
SRR5387158	1
SRR5387159	1
SRR5387161	1
SRR5387164	1
SRR5387165	1
SRR5387169	1
SRR5387177	1
SRR5387178	1
SRR5387179	1
SRR5387181	1
SRR5387189	1
SRR5387191	1
SRR5387192	1
SRR5387199	1
SRR5387202	1
SRR5387203	1
SRR5387208	1
SRR5387211	1
SRR5387212	1
SRR5387214	1
SRR5387215	1
SRR5387218	1
SRR5387222	1
SRR5387229	1
SRR5387235	1
SRR5387241	1
SRR5387243	1
SRR5387250	1
SRR5387255	1
SRR5387256	1
SRR5387257	1
SRR5387261	1
SRR5387268	1
SRR5387269	1
SRR5387273	1
SRR5387274	1
SRR5387277	1
SRR5387278	1
SRR5387282	1
SRR5387287	1
SRR5387293	1
SRR5387305	1
SRR5387308	1
SRR5387313	1
SRR5387314	1
SRR5387318	1
SRR5387324	1
SRR5387330	1
SRR5387331	1
SRR5387332	1
SRR5387335	1
SRR5387339	1
SRR5387342	1
SRR5387346	1
SRR5387347	1
SRR5387349	1
SRR5387358	1
SRR5387359	1
SRR5387360	1
SRR5387384	1
SRR5387388	1
SRR5387398	1
SRR5387404	1
SRR5387407	1
SRR5387414	1
SRR5387422	1
SRR5387425	1
SRR5420060	1
SRR5806877	1
SRR5862474	1
SRR5862477	1
SRR5862478	1
SRR5901128	1
SRR5973244	1
SRR5973265	1
SRR5973279	1
SRR5973280	1
SRR5973287	1
SRR5973289	1
SRR5973322	1
SRR5973336	1
SRR5973337	1
SRR5973342	1
SRR5973359	1
SRR5973379	1
SRR5973392	1
SRR5973396	1
SRR6310474	1
SRR3981084	1
SRR3981086	1
SRR3981087	1
SRR3982097	1
SRR3982229	1
SRR3982253	1
SRR3982316	1
SRR3982346	1
SRR3987112	1
SRR3987118	1
SRR3987119	1
SRR3987120	1
SRR3987121	1
SRR3987122	1
SRR3987123	1
SRR3987124	1
SRR3987125	1
SRR3987126	1
SRR3987127	1
SRR3987128	1
SRR3987129	1
SRR3987135	1
SRR3996238	1
SRR3996239	1
SRR3996240	1
SRR3996241	1
SRR3996242	1
SRR3996245	1
SRR3996248	1
SRR3996250	1
SRR3996251	1
SRR3996252	1
SRR3996253	1
SRR3996254	1
SRR3996260	1
SRR3996261	1
SRR4017813	1
SRR4017826	1
SRR4017827	1
SRR4017828	1
SRR4017829	1
SRR4017831	1
SRR4017833	1
SRR4017834	1
SRR4017835	1
SRR4017836	1
SRR4017837	1
SRR4017840	1
SRR4017843	1
SRR4017847	1
SRR4017848	1
SRR4017849	1
SRR4017850	1
SRR4017851	1
SRR4017856	1
SRR4017885	1
SRR4017890	1
SRR4017892	1
SRR4017893	1
SRR4017894	1
SRR4017895	1
SRR4017897	1
SRR4017898	1
SRR4017902	1
SRR4017906	1
SRR4017915	1
SRR4017916	1
SRR4017918	1
SRR4017919	1
SRR4017921	1
SRR4017922	1
SRR4017924	1
SRR4017925	1
SRR4017927	1
SRR4017928	1
SRR4035115	1
SRR4035116	1
SRR4035118	1
SRR4035123	1
SRR4035124	1
SRR4035125	1
SRR4035126	1
SRR4065638	1
SRR4065639	1
SRR4065640	1
SRR4065641	1
SRR4065642	1
SRR4065644	1
SRR4065646	1
SRR4065647	1
SRR4065652	1
SRR4065653	1
SRR4065663	1
SRR4065668	1
SRR4065669	1
SRR4065678	1
SRR4065679	1
SRR4065680	1
SRR4065689	1
SRR4065699	1
SRR4065700	1
SRR4065702	1
SRR5387146	1
SRR5387147	1
GCA_003074015.1	0
GCA_003186535.1	0
GCA_003204175.1	0
GCA_900180485	0
GCA_900180505	0
GCA_900180515	0
GCA_900180525	0
GCA_900180535	0
GCA_900180545	0
GCA_900180555	0
GCA_900180575	0
GCA_900180595	0
GCA_900180615	0
GCA_900180625	0
GCA_900180645	0
GCA_900180655	0
GCA_900180705	0
GCA_900180715	0
GCA_900180735	0
GCA_900180745	0
GCA_900180765	0
GCA_900180775	0
GCA_900180785	0
GCA_900180795	0
GCA_900180815	0
GCA_900180825	0
GCA_900180835	0
GCA_900180885	0
GCA_900180905	0
GCA_900180925	0
GCA_900180935	0
GCA_900180955	0
GCA_900180975	0
GCA_900181005	0
GCA_900181015	0
GCA_900181035	0
GCA_900181075	0
GCA_900181085	0
GCA_900181095	0
GCA_900181125	0
GCA_900181135	0
GCA_900181175	0
GCA_900181195	0
GCA_900181205	0
GCA_900181215	0
GCA_900181235	0
GCA_900181245	0
GCA_900181275	0
GCA_900181295	0
GCA_900181305	0
GCA_900181315	0
GCA_900181325	0
GCA_900181335	0
GCA_900181345	0
GCA_900181355	0
GCA_900181365	0
GCA_900181385	0
GCA_900181395	0
GCA_900181405	0
GCA_900181415	0
GCA_900181425	0
GCA_900181435	0
GCA_900181445	0
GCA_900181465	0
GCA_900181475	0
GCA_900181485	0
GCA_900181495	0
GCA_900181505	0
GCA_900181515	0
GCA_900181525	0
GCA_900181535	0
GCA_900181545	0
GCA_900181575	0
GCA_900181585	0
GCA_900181595	0
GCA_900181605	0
GCA_900181615	0
GCA_900181625	0
GCA_900181635	0
GCA_900181655	0
GCA_900181665	0
GCA_900181675	0
GCA_900181705	0
GCA_900181715	0
GCA_900181735	0
GCA_900181765	0
GCA_900181805	0
GCA_900181835	0
GCA_900181855	0
GCA_900181875	0
GCA_900181895	0
GCA_900181985	0
GCA_900182025	0
GCA_900182045	0
GCA_900182055	0
GCA_900182065	0
GCA_900182075	0
GCA_900182095	0
GCA_900182115	0
GCA_900182155	0
GCA_900182165	0
GCA_900182215	0
GCA_900182225	0
GCA_900182505	0
GCF_001874725.1	0
GCF_001874865.1	0
SRR2544779	0
SRR3057130	0
SRR3168635	0
SRR3222198	0
SRR3982100	0
SRR4019406	0
SRR4245474	0
SRR4294843	0
SRR4294848	0
SRR5120227	0
SRR5120229	0
SRR5237403	0
SRR5341978	0
SRR5385399	0
SRR5385401	0
SRR5385404	0
SRR5385407	0
SRR5385409	0
SRR5385410	0
SRR5385411	0
SRR5385413	0
SRR5385415	0
SRR5385416	0
SRR5385419	0
SRR5385420	0
SRR5385421	0
SRR5385424	0
SRR5385425	0
SRR5385426	0
SRR5385428	0
SRR5385429	0
SRR5385430	0
SRR5385433	0
SRR5385435	0
SRR5385440	0
SRR5385442	0
SRR5385443	0
SRR5385444	0
SRR5385448	0
SRR5385452	0
SRR5385453	0
SRR5385456	0
SRR5385457	0
SRR5385460	0
SRR5385464	0
SRR5385466	0
SRR5385469	0
SRR5385470	0
SRR5385472	0
SRR5385473	0
SRR5385476	0
SRR5385480	0
SRR5385483	0
SRR5385486	0
SRR5385487	0
SRR5385489	0
SRR5385490	0
SRR5385493	0
SRR5385495	0
SRR5385496	0
SRR5385497	0
SRR5385498	0
SRR5385499	0
SRR5385502	0
SRR5385504	0
SRR5385505	0
SRR5385506	0
SRR5385508	0
SRR5385509	0
SRR5385511	0
SRR5385512	0
SRR5385513	0
SRR5385514	0
SRR5385515	0
SRR5385516	0
SRR5385517	0
SRR5385518	0
SRR5385519	0
SRR5385525	0
SRR5385527	0
SRR5385529	0
SRR5385530	0
SRR5385532	0
SRR5385533	0
SRR5385534	0
SRR5385535	0
SRR5385536	0
SRR5385537	0
SRR5385538	0
SRR5385627	0
SRR5385632	0
SRR5385633	0
SRR5385636	0
SRR5385637	0
SRR5385638	0
SRR5385639	0
SRR5385640	0
SRR5385642	0
SRR5385645	0
SRR5385650	0
SRR5385652	0
SRR5385656	0
SRR5385657	0
SRR5385658	0
SRR5385664	0
SRR5385667	0
SRR5385668	0
SRR5385670	0
SRR5385673	0
SRR5385674	0
SRR5385680	0
SRR5385681	0
SRR5385682	0
SRR5385689	0
SRR5385690	0
SRR5385691	0
SRR5385692	0
SRR5385693	0
SRR5385694	0
SRR5385695	0
SRR5385697	0
SRR5385700	0
SRR5385701	0
SRR5385706	0
SRR5385708	0
SRR5385709	0
SRR5385710	0
SRR5385712	0
SRR5385713	0
SRR5385714	0
SRR5385715	0
SRR5385717	0
SRR5385718	0
SRR5385719	0
SRR5385720	0
SRR5385721	0
SRR5385722	0
SRR5385723	0
SRR5385724	0
SRR5385725	0
SRR5385726	0
SRR5385727	0
SRR5385728	0
SRR5385729	0
SRR5385731	0
SRR5385732	0
SRR5385736	0
SRR5385737	0
SRR5385739	0
SRR5385741	0
SRR5385742	0
SRR5385743	0
SRR5385744	0
SRR5385745	0
SRR5385746	0
SRR5385751	0
SRR5385755	0
SRR5385756	0
SRR5385757	0
SRR5385758	0
SRR5385760	0
SRR5385761	0
SRR5385762	0
SRR5385763	0
SRR5385766	0
SRR5385767	0
SRR5385768	0
SRR5385771	0
SRR5385773	0
SRR5385775	0
SRR5385777	0
SRR5385780	0
SRR5385782	0
SRR5385785	0
SRR5385787	0
SRR5385790	0
SRR5385791	0
SRR5385792	0
SRR5385793	0
SRR5385795	0
SRR5385796	0
SRR5385797	0
SRR5385798	0
SRR5385801	0
SRR5385802	0
SRR5385805	0
SRR5385806	0
SRR5385807	0
SRR5385809	0
SRR5385811	0
SRR5385812	0
SRR5385814	0
SRR5385816	0
SRR5385818	0
SRR5385820	0
SRR5385821	0
SRR5385822	0
SRR5385823	0
SRR5385825	0
SRR5385829	0
SRR5385831	0
SRR5385832	0
SRR5385834	0
SRR5385836	0
SRR5385837	0
SRR5385839	0
SRR5385841	0
SRR5385842	0
SRR5385843	0
SRR5385846	0
SRR5385847	0
SRR5385849	0
SRR5385852	0
SRR5385855	0
SRR5385856	0
SRR5385858	0
SRR5385862	0
SRR5385863	0
SRR5385866	0
SRR5385867	0
SRR5385870	0
SRR5385871	0
SRR5385873	0
SRR5385879	0
SRR5385880	0
SRR5385882	0
SRR5385886	0
SRR5385889	0
SRR5385890	0
SRR5385891	0
SRR5385892	0
SRR5385895	0
SRR5385896	0
SRR5385897	0
SRR5385898	0
SRR5385899	0
SRR5385900	0
SRR5385901	0
SRR5385905	0
SRR5385906	0
SRR5385908	0
SRR5385909	0
SRR5385915	0
SRR5385916	0
SRR5385919	0
SRR5385922	0
SRR5385923	0
SRR5385924	0
SRR5385926	0
SRR5385927	0
SRR5385928	0
SRR5385929	0
SRR5385931	0
SRR5385932	0
SRR5385935	0
SRR5385936	0
SRR5385937	0
SRR5385939	0
SRR5385940	0
SRR5385941	0
SRR5385946	0
SRR5385949	0
SRR5385952	0
SRR5385954	0
SRR5385955	0
SRR5385956	0
SRR5385958	0
SRR5385959	0
SRR5385960	0
SRR5385962	0
SRR5385964	0
SRR5385965	0
SRR5385966	0
SRR5385968	0
SRR5385969	0
SRR5385970	0
SRR5385972	0
SRR5385974	0
SRR5385977	0
SRR5385979	0
SRR5385980	0
SRR5385981	0
SRR5385983	0
SRR5385984	0
SRR5385985	0
SRR5385986	0
SRR5385989	0
SRR5385990	0
SRR5385991	0
SRR5385992	0
SRR5385994	0
SRR5385995	0
SRR5385996	0
SRR5385998	0
SRR5385999	0
SRR5386001	0
SRR5386002	0
SRR5386003	0
SRR5386004	0
SRR5386005	0
SRR5386006	0
SRR5386026	0
SRR5386027	0
SRR5386029	0
SRR5386030	0
SRR5386031	0
SRR5386033	0
SRR5386036	0
SRR5386037	0
SRR5386038	0
SRR5386039	0
SRR5386040	0
SRR5386041	0
SRR5386042	0
SRR5386043	0
SRR5386044	0
SRR5386045	0
SRR5386046	0
SRR5386047	0
SRR5386048	0
SRR5386049	0
SRR5386051	0
SRR5386052	0
SRR5386053	0
SRR5386054	0
SRR5386057	0
SRR5386061	0
SRR5386062	0
SRR5386063	0
SRR5386065	0
SRR5386067	0
SRR5386068	0
SRR5386069	0
SRR5386070	0
SRR5386071	0
SRR5386077	0
SRR5386078	0
SRR5386080	0
SRR5386081	0
SRR5386082	0
SRR5386083	0
SRR5386084	0
SRR5386086	0
SRR5386093	0
SRR5386095	0
SRR5386096	0
SRR5386097	0
SRR5386098	0
SRR5386099	0
SRR5386100	0
SRR5386101	0
SRR5386103	0
SRR5386104	0
SRR5386106	0
SRR5386107	0
SRR5386110	0
SRR5386111	0
SRR5386112	0
SRR5386113	0
SRR5386114	0
SRR5386118	0
SRR5386119	0
SRR5386120	0
SRR5386122	0
SRR5386123	0
SRR5386124	0
SRR5386130	0
SRR5386131	0
SRR5386132	0
SRR5386134	0
SRR5386136	0
SRR5386137	0
SRR5386141	0
SRR5386142	0
SRR5386143	0
SRR5386144	0
SRR5386145	0
SRR5386146	0
SRR5386148	0
SRR5386151	0
SRR5386152	0
SRR5386153	0
SRR5386154	0
SRR5386155	0
SRR5386156	0
SRR5386160	0
SRR5386164	0
SRR5386166	0
SRR5386168	0
SRR5386170	0
SRR5386171	0
SRR5386172	0
SRR5386176	0
SRR5386177	0
SRR5386178	0
SRR5386181	0
SRR5386182	0
SRR5386183	0
SRR5386186	0
SRR5386187	0
SRR5386190	0
SRR5386191	0
SRR5386192	0
SRR5386193	0
SRR5386194	0
SRR5386198	0
SRR5386199	0
SRR5386201	0
SRR5386202	0
SRR5386203	0
SRR5386204	0
SRR5386206	0
SRR5386208	0
SRR5386209	0
SRR5386210	0
SRR5386211	0
SRR5386212	0
SRR5386213	0
SRR5386215	0
SRR5386217	0
SRR5386218	0
SRR5386220	0
SRR5386221	0
SRR5386222	0
SRR5386223	0
SRR5386224	0
SRR5386226	0
SRR5386227	0
SRR5386228	0
SRR5386230	0
SRR5386231	0
SRR5386232	0
SRR5386233	0
SRR5386234	0
SRR5386235	0
SRR5386239	0
SRR5386240	0
SRR5386241	0
SRR5386242	0
SRR5386246	0
SRR5386248	0
SRR5386249	0
SRR5386254	0
SRR5386255	0
SRR5386257	0
SRR5386259	0
SRR5386262	0
SRR5386265	0
SRR5386266	0
SRR5386267	0
SRR5386268	0
SRR5386269	0
SRR5386270	0
SRR5386271	0
SRR5386273	0
SRR5386274	0
SRR5386275	0
SRR5386276	0
SRR5386280	0
SRR5386282	0
SRR5386284	0
SRR5386285	0
SRR5386288	0
SRR5386290	0
SRR5386292	0
SRR5386293	0
SRR5386295	0
SRR5386296	0
SRR5386297	0
SRR5386298	0
SRR5386299	0
SRR5386301	0
SRR5386302	0
SRR5386303	0
SRR5386304	0
SRR5386305	0
SRR5386306	0
SRR5386309	0
SRR5386311	0
SRR5386312	0
SRR5386313	0
SRR5386314	0
SRR5386315	0
SRR5386317	0
SRR5386322	0
SRR5386323	0
SRR5386324	0
SRR5386325	0
SRR5386326	0
SRR5386327	0
SRR5386328	0
SRR5386329	0
SRR5386330	0
SRR5386332	0
SRR5386334	0
SRR5386335	0
SRR5386336	0
SRR5386338	0
SRR5386339	0
SRR5386343	0
SRR5386344	0
SRR5386346	0
SRR5386347	0
SRR5386349	0
SRR5386350	0
SRR5386351	0
SRR5386355	0
SRR5386356	0
SRR5386358	0
SRR5386359	0
SRR5386361	0
SRR5386362	0
SRR5386364	0
SRR5386365	0
SRR5386367	0
SRR5386368	0
SRR5386370	0
SRR5386372	0
SRR5386374	0
SRR5386375	0
SRR5386376	0
SRR5386377	0
SRR5386378	0
SRR5386380	0
SRR5386381	0
SRR5386386	0
SRR5386388	0
SRR5386389	0
SRR5386390	0
SRR5386391	0
SRR5386392	0
SRR5386393	0
SRR5386395	0
SRR5386397	0
SRR5386398	0
SRR5386404	0
SRR5386405	0
SRR5386407	0
SRR5386408	0
SRR5386410	0
SRR5386411	0
SRR5386412	0
SRR5386413	0
SRR5386414	0
SRR5386415	0
SRR5386416	0
SRR5386417	0
SRR5386418	0
SRR5386420	0
SRR5386422	0
SRR5386423	0
SRR5386424	0
SRR5386426	0
SRR5386427	0
SRR5386430	0
SRR5386431	0
SRR5386432	0
SRR5386433	0
SRR5386435	0
SRR5386436	0
SRR5386438	0
SRR5386439	0
SRR5386440	0
SRR5386442	0
SRR5386443	0
SRR5386448	0
SRR5386449	0
SRR5386451	0
SRR5386453	0
SRR5386454	0
SRR5386456	0
SRR5386458	0
SRR5386461	0
SRR5386464	0
SRR5386466	0
SRR5386467	0
SRR5386468	0
SRR5386469	0
SRR5386475	0
SRR5386476	0
SRR5386477	0
SRR5386479	0
SRR5386480	0
SRR5386481	0
SRR5386486	0
SRR5386487	0
SRR5386490	0
SRR5386495	0
SRR5386497	0
SRR5386499	0
SRR5386500	0
SRR5386501	0
SRR5386503	0
SRR5386504	0
SRR5386509	0
SRR5386511	0
SRR5386513	0
SRR5386514	0
SRR5386515	0
SRR5386516	0
SRR5386519	0
SRR5386520	0
SRR5386521	0
SRR5386524	0
SRR5386525	0
SRR5386526	0
SRR5386529	0
SRR5386532	0
SRR5386534	0
SRR5386535	0
SRR5386536	0
SRR5386539	0
SRR5386540	0
SRR5386542	0
SRR5386544	0
SRR5386545	0
SRR5386547	0
SRR5386548	0
SRR5386550	0
SRR5386552	0
SRR5386553	0
SRR5386557	0
SRR5386561	0
SRR5386562	0
SRR5386567	0
SRR5386569	0
SRR5386571	0
SRR5386572	0
SRR5386574	0
SRR5386577	0
SRR5386579	0
SRR5386580	0
SRR5386582	0
SRR5386584	0
SRR5386588	0
SRR5386589	0
SRR5386590	0
SRR5386591	0
SRR5386593	0
SRR5386594	0
SRR5386595	0
SRR5386596	0
SRR5386599	0
SRR5386600	0
SRR5386602	0
SRR5386612	0
SRR5386613	0
SRR5386614	0
SRR5386615	0
SRR5386619	0
SRR5386620	0
SRR5386621	0
SRR5386622	0
SRR5386623	0
SRR5386625	0
SRR5386626	0
SRR5386627	0
SRR5386630	0
SRR5386631	0
SRR5386632	0
SRR5386633	0
SRR5386634	0
SRR5386635	0
SRR5386637	0
SRR5386638	0
SRR5386639	0
SRR5386640	0
SRR5386641	0
SRR5386642	0
SRR5386643	0
SRR5386646	0
SRR5386647	0
SRR5386648	0
SRR5386649	0
SRR5386651	0
SRR5386653	0
SRR5386654	0
SRR5386660	0
SRR5386661	0
SRR5386664	0
SRR5386665	0
SRR5386672	0
SRR5386673	0
SRR5386674	0
SRR5386681	0
SRR5386684	0
SRR5386686	0
SRR5386687	0
SRR5386692	0
SRR5386693	0
SRR5386694	0
SRR5386695	0
SRR5386697	0
SRR5386699	0
SRR5386700	0
SRR5386701	0
SRR5386703	0
SRR5386705	0
